True Evidence,Generated Evidence,Hops,Label,Topics,Precision,Recall,F1 Score
"[Brandeis Award (privacy)] The Brandeis Award is named in honor of Louis Brandeis and awarded by Patient Privacy Rights, a health privacy watchdog. [Louis Brandeis] Louis Dembitz Brandeis ( ; November 13, 1856 – October 5, 1941) was an American lawyer and associate justice on the Supreme Court of the United States from 1916 to 1939.","[Patient Privacy Rights] Patient Privacy Rights is a nonprofit organization dedicated to protecting the privacy and security of patients health information. [Brandeis Award] The Brandeis Award by Patient Privacy Rights is named after Louis D. Brandeis (1856-1941), Associate Justice of the Supreme Court of the United States from 1916 to 1939.",2,REFUTES,"Louis Brandeis, Brandeis Award (privacy)",0.9212192296981812,0.8986442685127258,0.9097917079925537
"[Polar Bear (cocktail)] A Polar Bear, After Eight or Peppermint Paddy (a play on ""Peppermint Pattie"") is a mint chocolate cocktail that tastes like a York Peppermint Pattie or an After Eight wafer. [Daiquiri] Daiquiri ( ; Spanish: ""daiquirí"" ] ) is a family of cocktails whose main ingredients are rum, citrus juice (typically lime juice), and sugar or other sweetener.","[Polar Bear] The Polar Bear is a cocktail made with gin, orange juice, grenadine, and soda water. [Daiquiri] The Daiquiri is a classic cocktail made with rum, lime juice, simple syrup, and crushed ice.",2,REFUTES,"Daiquiri, Polar Bear (cocktail)",0.8967056274414062,0.8370254039764404,0.865838348865509
"[FC Dynamo Kyiv] Football Club Dynamo Kyiv (Ukrainian: Футбольний клуб «Динамо» Київ , ] ) is a Ukrainian professional football club based in Kiev. [FC Dynamo Kyiv] Their home is the 70,050 capacity Olimpiyskiy National Sports Complex. [Olimpiyskiy National Sports Complex] The Olympic National Sports Complex (also known as Olympic Stadium; Ukrainian: Національний спортивний комплекс ""Олімпійський"" ) is a multi-use sports and recreation facility in Kiev, Ukraine, located on the slopes of the city's central Cherepanov Hill, Pechersk Raion.","[Olimpiyskiy National Sports Complex] The Olimpiyskiy National Sports Complex ( Ukrainian: ; Russian: ; English: Olympic Sports Complex) is a multi-purpose recreation and sports facility located in Kyiv, Ukraine. It was opened in 1961 and has hosted numerous international sporting events, including the 1980 Summer Olympics, the 2018 European Championships, and the 2019 European Games. The facility is home to several sports clubs, including Dynamo Kyiv, a professional football club that has won several domestic and international titles.",2,REFUTES,"FC Dynamo Kyiv, Olimpiyskiy National Sports Complex",0.8816539645195007,0.7753869295120239,0.8251129984855652
"[Red Velvet discography] The discography of the South Korean girl group Red Velvet consists of one studio album, five extended plays, and twelve singles. [S.M. Entertainment] It is currently one of the largest entertainment companies in South Korea.","[Red Velvet (group)] Red Velvet (Korean: ; Hanja: ; RR: Sebunbureot; also known as Red Velvet, Red Velvet, or Red VELVET) is a South Korean pop girl group formed by SM Entertainment in 2001. [SM Entertainment] SM Entertainment (Korean: ; Hanja: ; RR: SM Entertainment) is a South Korean entertainment company, established in 1995 by Lee Soo-man. It is one of the largest entertainment companies in South Korea and is known for producing popular K-pop groups such as H.O.T., Wanna One, BoA, TVXQ, Super Junior, Girls' Generation, SHINee, Exo, and Red Velvet.",2,REFUTES,"Red Velvet discography, S.M. Entertainment",0.8295515775680542,0.8938112258911133,0.8604834079742432
"[Edwin Forrest] His feud with the British actor William Charles Macready was the cause of the deadly Astor Place Riot of 1849. [Astor Place Riot] The Astor Place Riot occurred on May 10, 1849, at the now-demolished Astor Opera House in Manhattan, New York City and left at least 25 dead and more than 120 injured.","[The Astor Place Riot] The Astor Place Riot was a violent confrontation that took place on May 10, 1849, in the heart of Manhattan, New York City, between the city's police force and a group of about 1,500 working-class men, most of whom were Irish immigrants. [Edwin Forrest] Edwin Forrest (February 18, 1806 – November 19, 1872) was an American actor and playwright. [Horace H. Fuller] Horace H. Fuller (1808 – March 22, 1877) was an American actor and playwright.",2,REFUTES,"Astor Place Riot, Edwin Forrest",0.8799521327018738,0.8970392942428589,0.8884136080741882
"[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic high fantasy adventure film directed by Peter Jackson and produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer. [Metro-Goldwyn-Mayer] Metro-Goldwyn-Mayer Studios Inc. (abbreviated as MGM or M-G-M, also known as Metro-Goldwyn-Mayer Pictures, Metro-Goldwyn-Mayer or simply Metro, and for a former interval known as Metro-Goldwyn-Mayer/United Artists, or MGM/UA) is an American media company, involved primarily in the production and distribution of feature films and television programs.","[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 fantasy adventure film directed by Peter Jackson and produced by WingNut Films and New Line Cinema, in association with MGM (Metro-Goldwyn-Mayer) Studios Inc. [Metro-Goldwyn-Mayer Studios Inc.] Metro-Goldwyn-Mayer Studios Inc. is an American media company that has produced numerous films and television shows, including The Hobbit: The Desolation of Smaug.",2,REFUTES,"The Hobbit: The Desolation of Smaug, Metro-Goldwyn-Mayer",0.9510587453842163,0.8990038633346558,0.9242990016937256
"[WJAR] WJAR (more commonly known as NBC 10) is the NBC-affiliated television station for the state of Rhode Island and Bristol County, Massachusetts licensed to Providence. [WJAR] Owned by Sinclair Broadcast Group, the station shares studios on Kenney Drive in Cranston with ZGS Communications-owned Telemundo affiliate WRIW-CD. [Sinclair Broadcast Group] Sinclair Broadcast Group is an American telecommunications company that is owned by the family of company founder Julian Sinclair Smith.","[WJAR] WJAR (channel 10) is the NBC-affiliated television station in Providence, Rhode Island, United States. [NBC 10] NBC 10 (formerly known as WJAR) is the NBC-affiliated television station in Providence, Rhode Island, United States.",2,REFUTES,"Sinclair Broadcast Group, WJAR",0.9216940999031067,0.8486195802688599,0.8836486339569092
"[The Desire to Live] The Desire to Live (Spanish: ""El Deseo de vivir"" ) is a 1973 Argentine romantic musical film directed by Julio Saraceni and starring Sandro and Elena Sedova. [Sandro de América] Roberto Sánchez-Ocampo (August 19, 1945 – January 4, 2010), better known by his artist names Sandro/Sandro de América (""Sandro of America""), ""Gitano"" (gypsy), and the Argentine Elvis, was a notable Argentine singer and actor.","[Aashiqui 2] Aashiqui 2 (2013) is a Bollywood musical romantic drama film directed by Dev Kohli. [Julio Saraceni] Julio Breda Saraceni ( ; 1925 – 2010) was an Argentine film director, producer and screenwriter. He is best known for directing the 1969 film, The Battle of the River Plate.",2,REFUTES,"The Desire to Live, Sandro de América",0.8737086653709412,0.8299145698547363,0.8512486815452576
"[Horse Creek (McKenzie River)] It begins in the Cascade Range in the Three Sisters Wilderness of the Willamette National Forest. [Cascade Range] The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California.","[Cascade Range] The Cascade Range is a major mountain range that includes volcanoes, mountain peaks, and valleys along the western edge of North America. [Horse Creek] Horse Creek is a stream in the U.S. state of Montana. It is a left tributary of the Bitterroot River and flows through the Bitterroot National Forest.",2,REFUTES,"Horse Creek (McKenzie River), Cascade Range",0.8879462480545044,0.8801220655441284,0.8840168714523315
"[Miklos Wright] Miklos Wright is an American film editor. [Miklos Wright] His most notable works include ""Open Range"" and ""Mr. Brooks"", both of which starred Kevin Costner, along with doing multiple episodes of ""Southland (TV Series)"" and ""Chicago PD (TV Series)"". [Open Range (2003 film)] The film was the final on-screen appearance of Jeter, who died before it was released, and the film was dedicated to Jeter's memory, and to that of Costner's parents, Bill and Sharon.","[Bea Arthur] Bea Arthur ( ; January 10, 1922 – April 20, 2009) was an American actress, comedian, and singer. [Miklos Wright] Miklos Wright ( ; ] ; born September 12, 1944) is a Hungarian-American film editor, producer and director, best known for his work on the film The Odd Couple (1968).",2,REFUTES,"Miklos Wright, Open Range (2003 film)",0.8477811813354492,0.8452587723731995,0.8465180993080139
