True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Canine follicular dysplasia] Certain breeds, such as the Mexican Hairless Dog and Chinese Crested Dog, are bred specifically for alopecia. [Mexican Hairless Dog] The Xoloitzcuintli ( ; Nahuatl pronunciation: ), or Xolo for short, is a hairless breed of dog, found in toy, miniature, and standard sizes.","1. The Chinese Crested Dog has a hairless body. 2. The Xoloitzcuintli has a hairless body. EVIDENCE: [Chinese Crested Dog] The Chinese Crested Dog is a hairless breed, with a crest of fur on the top of its head and a plume on its tail. [Xoloitzcuintli] The Xoloitzcuintli (Mexican Hairless Dog) is a rare and ancient dog breed that is native to Mexico. It comes in three sizes: Toy, Miniature, and Standard, and is known for its hairless body.",2,SUPPORTS,"Mexican Hairless Dog, Canine follicular dysplasia",0.3404255269352649,0.32,0.36363636363636365,0.08771929343182545,0.07352941176470588,0.10869565217391304,0.27659573970122237,0.26,0.29545454545454547
"[SAS Technical Services] The company is owned by the SAS Group and provides technical maintenance of aircraft to airlines in and outside the SAS Group. [SAS Technical Services] It is headquartered at Arlanda outside Stockholm and has 3,600 employees. [SAS Group] Scandinavian Airlines System Aktiebolag (, Nasdaq: SAS , ), trading as SAS Group and SAS AB, is an airline holding company headquartered in the SAS Frösundavik Office Building in Solna Municipality, Sweden. [SAS Group] It also owns the aviation services companies SAS Business Opportunities, SAS Cargo Group, SAS Ground Services, and SAS Technical Services. [SAS Group] SAS Group is partially owned by the governments of Sweden, Denmark, and Norway, with a 21.4%, 14.3%, and 14.3% ownership, respectively.","📚 [SAS Group] SAS Group is a Swedish airline holding company headquartered in Solna Municipality, Sweden. The company operates in Scandinavia, Europe, North America, South America, and Asia. [SAS Group] In addition to its airline operations, SAS Group also owns a technical aircraft maintenance company located in Arlanda, Sweden. [SAS Group] SAS Group has been recognized for its commitment to sustainability and has been named one of the most sustainable companies in the world by the Dow Jones Sustainability Index.",2,SUPPORTS,"SAS Technical Services, SAS Group",0.40909090420569333,0.48214285714285715,0.35526315789473684,0.1888888840672841,0.2328767123287671,0.1588785046728972,0.3636363587511479,0.42857142857142855,0.3157894736842105
"[Merrick Boulevard buses] The Q5 and Q85 bus routes constitute a public transit corridor running along Merrick Boulevard in Southeastern Queens, New York City, United States. [Merrick Boulevard buses] The routes run from the Jamaica Center transit hub and business district to Rosedale, with continued service to the Green Acres Mall shopping center in Nassau County. [Green Acres Mall] Green Acres Mall is an indoor shopping mall located in South Valley Stream, New York, off Sunrise Highway in Nassau County right off the border of New York City and the Incorporated Village of Valley Stream (part of the parking lot and stores on the north side of the property are in the Village, while the mall itself is in an unincorporated hamlet of the Town of Hempstead). [Green Acres Mall] The mall has a gross leasable area (GLA) of 1800000 sqft .","1800000 sqft is a gross leasable area of the Aventura Mall, which is served by the Merrick Boulevard buses. [Aventura Mall] Aventura Mall is a shopping mall located in Aventura, Florida, United States. [Merrick Boulevard] Merrick Boulevard is a major street in the South Florida region, running through the cities of Hollywood, Plantation, and Aventura.",2,SUPPORTS,"Merrick Boulevard buses, Green Acres Mall",0.3538461495278107,0.5609756097560976,0.25842696629213485,0.1452513925732656,0.2549019607843137,0.1015625,0.29230768798934914,0.4634146341463415,0.21348314606741572
"[Robert Purcell (virologist)] Robert H. Purcell (born 19 December 1935) is a virologist who, together with Stephen Feinstone and Albert Kapikian, co-identified the Hepatitis A virus (HAV) in 1973. [Hepatitis A] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.","Robert Purcell was a British epidemiologist who identified the virus in 1971. [Robert Purcell] Robert Purcell (1933-2017) was a British epidemiologist and virologist who identified the virus in 1971. [Symptoms of Hepatitis B] Hepatitis B is a viral infection that can cause a range of symptoms, including nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.",2,SUPPORTS,"Robert Purcell (virologist), Hepatitis A",0.42352940682076123,0.47368421052631576,0.3829787234042553,0.17021276096650081,0.17777777777777778,0.16326530612244897,0.3764705832913495,0.42105263157894735,0.3404255319148936
"[Rock (Nominees) Ltd v RCO Holdings Ltd] RCO itself was in the cleaning, catering and security porterage business. [ISS A/S] ISS services include: cleaning services, support services, property services, catering services, security services and facility management services.","🔍 Rock Nominees Ltd: [Rock Nominees Ltd] Rock Nominees Ltd is a limited liability company registered in Scotland (SC347877) and provides cleaning, catering, and security services to the entertainment industry. 🔍 ISS A/S (Integrated Service Solutions): [ISS A/S (Integrated Service Solutions)] ISS A/S (Integrated Service Solutions) is a Danish company providing cleaning, catering, and security services to the entertainment industry.",2,SUPPORTS,"ISS A/S, Rock (Nominees) Ltd v RCO Holdings Ltd",0.3437499950781251,0.3055555555555556,0.39285714285714285,0.04999999505000049,0.045454545454545456,0.05555555555555555,0.2812499950781251,0.25,0.32142857142857145
"[Both Sides Now (Joni Mitchell album)] The album won two Grammy awards in 2001 for Best Traditional Pop Vocal Album and Best Instrumental Arrangement Accompanying Vocalist(s) for the song ""Both Sides, Now"". [Both Sides, Now] ""Both Sides, Now"" is a song by Joni Mitchell, and one of her best-known songs. [Both Sides, Now] She re-recorded the song in a lusher, orchestrated version for her 2000 album ""Both Sides Now""; this version was subsequently featured on the soundtrack to the 2003 film ""Love Actually"" and was performed by Sara Bareilles during the 89th Academy Awards' ""In Memoriam"" homage.","1. [Love Actually: Original Motion Picture Soundtrack] The album Love Actually: Original Motion Picture Soundtrack, released in 2003, won two Grammy Awards for Best Compilation Soundtrack for Visual Media and Best Song Written for a Motion Picture, Theater or Choral Performance. [Joni Mitchell] Joni Mitchell is a Canadian singer-songwriter and musician known for her unique vocal style and poetic lyrics. [Love Actually] Love Actually is a 2003 romantic comedy film directed by Richard Curtis and featuring an ensemble cast, including Hugh Grant, Liam Neeson, Colin Firth, and Keira Knightley.",2,SUPPORTS,"Both Sides, Now, Both Sides Now (Joni Mitchell album)",0.24285713785816337,0.23943661971830985,0.2463768115942029,0.07999999500800031,0.08333333333333333,0.07692307692307693,0.2285714235724491,0.22535211267605634,0.2318840579710145
"[Texas A&amp;M Aggies football] The Texas A&M Aggies football program represents Texas A&M University in the sport of American football. [Texas A&amp;M Aggies football] Kevin Sumlin is currently the team's head coach. [Kevin Sumlin] Previously, Sumlin was the head football coach at the University of Houston from 2007 to 2011.","[Kevin Sumlin] Kevin Sumlin is an American football coach who is currently the head coach of the Texas A&M Aggies football team. [Kevin Sumlin] He served as the head football coach at the University of Houston from 2007 to 2011, leading the Cougars to two bowl game appearances. [Kevin Sumlin] Prior to his time at Houston, Sumlin was an offensive coordinator at Oklahoma, where he worked with quarterback Sam Bradford.",2,SUPPORTS,"Texas A&amp;M Aggies football, Kevin Sumlin",0.5365853610440215,0.4489795918367347,0.6666666666666666,0.39999999516528933,0.3384615384615385,0.4888888888888889,0.43902438543426536,0.3673469387755102,0.5454545454545454
"[The Daily Howler] The Daily Howler is an American political blog written by Bob Somerby. [The Daily Howler] Despite being left of center in his politics, Somerby mainly critiques liberals in the U.S. mainstream media who he feels do poor journalism, such as Rachel Maddow and Keith Olbermann, both of MSNBC. [Rachel Maddow] Rachel Anne Maddow ( , ; born April 1, 1973) is an American television host, political commentator, and author.","Anne Gorsuch is a journalist for MSNBC and has been critiqued on the Daily Howler. [Anne Gorsuch] Anne Gorsuch is a journalist for MSNBC and has been critiqued on the Daily Howler, a political blog that monitors and analyzes the media. [The Daily Howler] The Daily Howler is a political blog that monitors and analyzes the media, particularly the mainstream media and its coverage of politics and government. [Anne Gorsuch]",2,SUPPORTS,"Rachel Maddow, The Daily Howler",0.3191489314961521,0.42857142857142855,0.2542372881355932,0.14035087237919375,0.17391304347826086,0.11764705882352941,0.3191489314961521,0.42857142857142855,0.2542372881355932
"[Madonna (entertainer)] Madonna Louise Ciccone ( ; born August 16, 1958) is an American singer, songwriter, actress, and businesswoman. [William Friedkin] William Friedkin (born August 29, 1935) is an American film director, producer and screenwriter best known for directing ""The French Connection"" in 1971 and ""The Exorcist"" in 1973; for the former, he won the Academy Award for Best Director.","🔍 Madonna and William Friedkin are both American. 🇺🇸 [Madonna] Madonna Ciccone is an American singer, songwriter, actress, and entrepreneur. 🎤 [William Friedkin] William Friedkin is an American film director, producer, and screenwriter. 🎬",2,SUPPORTS,"Madonna (entertainer), William Friedkin",0.43243242795836373,0.64,0.32653061224489793,0.27586206444708683,0.4,0.21052631578947367,0.43243242795836373,0.64,0.32653061224489793
"[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton, a city in Augusta County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport 7 mi west of downtown Santa Barbara, California, United States.","🚨 [Shenandoah Valley Regional Airport] 🇺🇸 Shenandoah Valley Regional Airport (SHD) is a public airport located in Winchester, Virginia, United States. [Santa Barbara Municipal Airport] 🇺🇸 Santa Barbara Municipal Airport (SBA) is a public airport located in Santa Barbara, California, United States.",2,SUPPORTS,"Shenandoah Valley Regional Airport, Santa Barbara Municipal Airport",0.5384615340170941,0.8076923076923077,0.40384615384615385,0.4210526271113573,0.625,0.31746031746031744,0.5384615340170941,0.8076923076923077,0.40384615384615385
