True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Brandeis Award (privacy)] The Brandeis Award is named in honor of Louis Brandeis and awarded by Patient Privacy Rights, a health privacy watchdog. [Louis Brandeis] Louis Dembitz Brandeis ( ; November 13, 1856 – October 5, 1941) was an American lawyer and associate justice on the Supreme Court of the United States from 1916 to 1939.","1. [Patient Privacy Rights] Patient Privacy Rights is a nonprofit organization dedicated to protecting the privacy and security of patients medical records. [Brandeis Award] The Brandeis Award is given annually by Patient Privacy Rights to recognize individuals or organizations that have made significant contributions to the field of patient privacy and security. [Ruth Bader Ginsburg] Ruth Bader Ginsburg (; born March 15, 1933) is an American lawyer and civil rights activist who was appointed by President Bill Clinton to serve as an Associate Justice of the Supreme Court of the United States. [Supreme Court] The Supreme Court of the United States is the highest federal court in the United States. Established in 1789, it has the power of judicial review over the federal government and its laws, and it interprets the United States Constitution.",2,REFUTES,"Brandeis Award (privacy), Louis Brandeis",0.3333333287534132,0.25842696629213485,0.46938775510204084,0.16091953590632854,0.11764705882352941,0.2545454545454545,0.3043478215070364,0.23595505617977527,0.42857142857142855
"[Polar Bear (cocktail)] A Polar Bear, After Eight or Peppermint Paddy (a play on ""Peppermint Pattie"") is a mint chocolate cocktail that tastes like a York Peppermint Pattie or an After Eight wafer. [Daiquiri] Daiquiri ( ; Spanish: ""daiquirí"" ] ) is a family of cocktails whose main ingredients are rum, citrus juice (typically lime juice), and sugar or other sweetener.","The Polar Bear is a mixed drink made with gin, orange juice, grenadine, and a splash of soda water. [Polar Bear (drink)] The Daiquiri is a classic cocktail made with rum, lime juice, and simple syrup. [Daiquiri (cocktail)] The Polar Bear is not a cocktail. The Daiquiri is a cocktail.",2,REFUTES,"Daiquiri, Polar Bear (cocktail)",0.28915662188996955,0.4,0.22641509433962265,0.040816321699292536,0.05,0.034482758620689655,0.2650602363478009,0.36666666666666664,0.20754716981132076
"[FC Dynamo Kyiv] Football Club Dynamo Kyiv (Ukrainian: Футбольний клуб «Динамо» Київ , ] ) is a Ukrainian professional football club based in Kiev. [FC Dynamo Kyiv] Their home is the 70,050 capacity Olimpiyskiy National Sports Complex. [Olimpiyskiy National Sports Complex] The Olympic National Sports Complex (also known as Olympic Stadium; Ukrainian: Національний спортивний комплекс ""Олімпійський"" ) is a multi-use sports and recreation facility in Kiev, Ukraine, located on the slopes of the city's central Cherepanov Hill, Pechersk Raion.","[Olimpiyskiy National Sports Complex] The Olimpiyskiy National Sports Complex ( Ukrainian: Олімпійський національний спортивний комплекс ; Russian: Олимпийский национальный спортивный комплекс) is a multi-purpose recreation and sports facility located in Kyiv, Ukraine. [Dynamo Kyiv] Dynamo Kyiv ( Ukrainian: Дніпро ; Russian: Днепро ) is a professional football club based in Kyiv, Ukraine, that currently competes in the Ukrainian Premier League.",2,REFUTES,"Olimpiyskiy National Sports Complex, FC Dynamo Kyiv",0.5225225175911046,0.5918367346938775,0.46774193548387094,0.2239999950924801,0.25925925925925924,0.19718309859154928,0.4684684635370507,0.5306122448979592,0.41935483870967744
"[Red Velvet discography] The discography of the South Korean girl group Red Velvet consists of one studio album, five extended plays, and twelve singles. [S.M. Entertainment] It is currently one of the largest entertainment companies in South Korea.","[Red Velvet] Red Velvet (Korean: 레드벨벳; RR: Reddeulbeob) is a South Korean pop boy band formed by SM Entertainment in 2015. [SM Entertainment] SM Entertainment (Korean: SM엔터테인먼트; RR: SM-eunseong-min-mang-ese-t) is a South Korean entertainment company established in 1995 by Lee Soo-man. [Red Velvet] Red Velvet was formed in 2001 by the largest entertainment company in South Korea, SM Entertainment.",2,REFUTES,"Red Velvet discography, S.M. Entertainment",0.3188405747195968,0.3055555555555556,0.3333333333333333,0.11627906486479199,0.10204081632653061,0.13513513513513514,0.28985506747321993,0.2777777777777778,0.30303030303030304
"[Edwin Forrest] His feud with the British actor William Charles Macready was the cause of the deadly Astor Place Riot of 1849. [Astor Place Riot] The Astor Place Riot occurred on May 10, 1849, at the now-demolished Astor Opera House in Manhattan, New York City and left at least 25 dead and more than 120 injured.","[Edwin Forrest] Edwin Forrest (February 13, 1812 – April 28, 1849) was an American actor, known for his performances on the stage. [Horace H. Fuller] Horace H. Fuller (1808 – April 28, 1849) was an American actor and playwright, best known for his performances in comedic roles. [Astor Place Riot] The Astor Place Riot was a violent confrontation that occurred on May 10, 1849, in Manhattan, New York City, between followers of actor Edwin Forrest and those of actor Horace H. Fuller.",2,REFUTES,"Astor Place Riot, Edwin Forrest",0.43137254408881204,0.38596491228070173,0.4888888888888889,0.23140495375452505,0.20588235294117646,0.2641509433962264,0.4117647009515571,0.3684210526315789,0.4666666666666667
"[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic high fantasy adventure film directed by Peter Jackson and produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer. [Metro-Goldwyn-Mayer] Metro-Goldwyn-Mayer Studios Inc. (abbreviated as MGM or M-G-M, also known as Metro-Goldwyn-Mayer Pictures, Metro-Goldwyn-Mayer or simply Metro, and for a former interval known as Metro-Goldwyn-Mayer/United Artists, or MGM/UA) is an American media company, involved primarily in the production and distribution of feature films and television programs.","Metro-Goldwyn-Mayer Studios Inc. is an American media company that has been producing films since 1924. [The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic fantasy adventure film directed by Peter Jackson and produced by New Line Cinema, WingNut Films, and MGM (Metro-Goldwyn-Mayer). [WingNut Films] WingNut Films is a New Zealand-based film production company founded by Peter Jackson and Fran Walsh in 1987. [New Line Cinema] New Line Cinema is an American film studio that was founded in 1935 and is known for producing a wide range of films, including comedy, drama, horror, and science fiction.",2,REFUTES,"The Hobbit: The Desolation of Smaug, Metro-Goldwyn-Mayer",0.5692307642414202,0.5441176470588235,0.5967741935483871,0.34117646561314885,0.31868131868131866,0.3670886075949367,0.4923076873183432,0.47058823529411764,0.5161290322580645
"[WJAR] WJAR (more commonly known as NBC 10) is the NBC-affiliated television station for the state of Rhode Island and Bristol County, Massachusetts licensed to Providence. [WJAR] Owned by Sinclair Broadcast Group, the station shares studios on Kenney Drive in Cranston with ZGS Communications-owned Telemundo affiliate WRIW-CD. [Sinclair Broadcast Group] Sinclair Broadcast Group is an American telecommunications company that is owned by the family of company founder Julian Sinclair Smith.","[WJAR] WJAR (channel 10) is an NBC-affiliated television station serving the Providence, Rhode Island area. [NBC 10] NBC 10 (formerly known as WJAR) is an NBC-affiliated television station serving the Providence, Rhode Island area.",2,REFUTES,"Sinclair Broadcast Group, WJAR",0.3544303756192918,0.6086956521739131,0.25,0.15384615006883234,0.30434782608695654,0.10294117647058823,0.3291139199230893,0.5652173913043478,0.23214285714285715
"[The Desire to Live] The Desire to Live (Spanish: ""El Deseo de vivir"" ) is a 1973 Argentine romantic musical film directed by Julio Saraceni and starring Sandro and Elena Sedova. [Sandro de América] Roberto Sánchez-Ocampo (August 19, 1945 – January 4, 2010), better known by his artist names Sandro/Sandro de América (""Sandro of America""), ""Gitano"" (gypsy), and the Argentine Elvis, was a notable Argentine singer and actor.",[Julio Saraceni] Julio Saraceni (24 May 1905 – 27 October 1995) was an Argentine film director. [Aashiqui 2] Aashiqui 2 (transl. Music of Love 2) is a 2013 Indian romantic musical drama film directed by Ahmed Khan and produced by Sanjay Leela Bhansali.,2,REFUTES,"Sandro de América, The Desire to Live",0.2857142808475636,0.34146341463414637,0.24561403508771928,0.09259258783950641,0.11904761904761904,0.07575757575757576,0.2857142808475636,0.34146341463414637,0.24561403508771928
"[Horse Creek (McKenzie River)] It begins in the Cascade Range in the Three Sisters Wilderness of the Willamette National Forest. [Cascade Range] The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California.","Horse Creek is a stream in the U.S. state of Oregon. [Cascade Range] The Cascade Range is a major mountain range in Western North America, extending from southern British Columbia, Canada, through Washington, Oregon, and Northern California, United States. [Horse Creek] Horse Creek is a stream in the U.S. state of Oregon. Its source is located in the foothills of the Cascade Range.",2,REFUTES,"Horse Creek (McKenzie River), Cascade Range",0.5882352891183392,0.5813953488372093,0.5952380952380952,0.33684210027700834,0.32,0.35555555555555557,0.5882352891183392,0.5813953488372093,0.5952380952380952
"[Miklos Wright] Miklos Wright is an American film editor. [Miklos Wright] His most notable works include ""Open Range"" and ""Mr. Brooks"", both of which starred Kevin Costner, along with doing multiple episodes of ""Southland (TV Series)"" and ""Chicago PD (TV Series)"". [Open Range (2003 film)] The film was the final on-screen appearance of Jeter, who died before it was released, and the film was dedicated to Jeter's memory, and to that of Costner's parents, Bill and Sharon.","Bea Arthur starred in the 1972 film ""The Star Maker"". Miklos Wright was the film editor on the 1972 film ""The Star Maker"". Miklos Wright is a film editor and actor. Miklos Wright was born on June 22, 1930 in Los Angeles, California, USA. Bea Arthur starred in the 1972 film ""The Star Maker"". Miklos Wright was the film editor on the 1972 film ""The Star Maker"".",2,REFUTES,"Miklos Wright, Open Range (2003 film)",0.2068965474435197,0.3333333333333333,0.15,0.09345793958948401,0.14705882352941177,0.0684931506849315,0.2068965474435197,0.3333333333333333,0.15
