True Evidence,Generated Evidence,Hops,Label,Topics,bleu_score
"[Collective for Living Cinema] The Collective for Living Cinema was an outpost of avant-garde cinema located on White Street in Lower Manhattan in the United States of America. [Dziga Vertov] Dziga Vertov (Russian: Дзига Вертов ; born David Abelevich Kaufman, Russian: Дави́д А́белевич Ка́уфман , and also known as Denis Kaufman; 2 January 1896 – 12 February 1954) was a Soviet pioneer documentary film and newsreel director, as well as a cinema theorist. [Made in Texas] In October 1981, director Jonathan Demme presented the Made in Texas - New Films From Austin series at the Collective for Living Cinema in New York City. [Italian futurism in cinema] It influenced Russian Futurist cinema (Lev Kuleshov, Dziga Vertov, Sergei Eisenstein, Vsevolod Pudovkin, Aleksandr Dovzhenko) and German Expressionism.","[Jonathan Demme] Jonathan Demme (December 22, 1944 – April 26, 2017) was an American film director, screenwriter and producer. [Made in Texas] Made in Texas is a 1987 American comedy film directed by Jonathan Demme, who also co-wrote the screenplay with Tommy Lee Wallace. [East Side Line] East Side Line is a 1981 American experimental documentary film directed by Ken Jacobs. [Denis Kaufman] Denis Kaufman is an American filmmaker, screenwriter and film director. [Denis Kaufman] His work has been shown at the Museum of Modern Art in New York, the Whitney Museum, and the Guggenheim Museum. [Denis Kaufman] His films have been shown at the Venice Film Festival, the Berlin Film Festival, the Rotterdam Film Festival, and the Toronto International Film Festival. [Denis Kaufman] Kaufman was born in New York City. [Denis Kaufman] He was a student at the City-As-School school in New York City, where he studied with filmmaker Jonas Mekas. [Denis Kaufman] Kaufman began making films in 1979. [Denis Kaufman] He has collaborated with a number of musicians, including John Zorn and David Moss. [Denis Kaufman] Kaufman was an artist-in-residence at the Eyebeam Art + Technology Center in New York City. [Denis Kaufman] Kaufman is the son of the late artist and photographer Peter Kaufman and the grandson of the late artist and photographer Arthur Kaufman.",4,REFUTES,"Made in Texas, Dziga Vertov, Italian futurism in cinema, Collective for Living Cinema",0.06302740396536155
"[Reno–Tahoe International Airport] Reno–Tahoe International Airport (IATA: RNO, ICAO: KRNO, FAA LID: RNO) is a public and military use airport located three nautical miles (6 km) southeast of downtown Reno, in Washoe County, Nevada. [Reno–Tahoe International Airport] It is the state's second busiest commercial airport after McCarran International Airport in Las Vegas. [Reno–Tahoe International Airport] It is named after Jesse L. Reno and Lake Tahoe. [Jesse L. Reno] Jesse Lee Reno (April 20, 1823 – September 14, 1862) was a career United States Army officer who served in the Mexican–American War, the Utah War, the western frontier, and as a Union General during the American Civil War. [Fort Reno (Oklahoma)] It is named for General Jesse L. Reno, who died at the Battle of South Mountain in the American Civil War. [Frank A. Keating] Major General Frank Augustus Keating (February 4, 1895 – April 28, 1973) was a career officer of the United States Army who commanded the 102nd Infantry Division during World War II, was Governor of the U.S. Zone of Germany, and was Chief U.S. Military Advisor to Korea.","[McCarran International Airport] McCarran International Airport (IATA: LAS, ICAO: KLAS, FAA LID: LAS) is a major commercial airport in Paradise, Nevada, United States, located roughly 3 miles (5 km) south of the central business district of Las Vegas. [Fort Reno] Fort Reno is a former United States Army installation in the city of Oklahoma City, Oklahoma. [Frank A. Keating] Frank A. Keating (born September 24, 1950) is an American politician and businessman. [Frank A. Keating] He served as the 16th Governor of Oklahoma from 1995 to 2003.",4,REFUTES,"Reno–Tahoe International Airport, Frank A. Keating, Jesse L. Reno, Fort Reno (Oklahoma)",0.08610931514803585
"[Red House Painters] Red House Painters were an American rock band, formed in San Francisco, California in 1988. [Red House Painters] Guitarists Gorden Mack and Phil Carney both performed with the band during separate six-year tenures. [Daughtry (band)] Daughtry is an American rock band formed and fronted by namesake Chris Daughtry, who was a finalist on the fifth season of ""American Idol"". [Billy Anderson (producer)] He has worked with hundreds of bands over the past 29 years, including Neurosis, Swans, Melvins, Jawbreaker, Sleep, Brutal Truth, Buzzoven, Fantômas, Agalloch, Cattle Decapitation, Mr. Bungle, Asunder and Red House Painters. [Break the Spell Tour] Break the Spell Tour was the second headlining tour from record breaking American rock band Daughtry.","[Billy Anderson] Billy Anderson (born 1973) is an American musician and producer. [Gorden Mack] Gorden Mack (born Gordon Mackintosh) is a Scottish musician and record producer. [Gorden Mack] He is the guitarist for the punk rock band Anti-Flag. [Gorden Mack] In 2007, he became the guitarist for the punk rock band Billy Anderson. [Break the Spell Tour] Break the Spell Tour was the ninth headlining tour by the punk rock band Anti-Flag. [Break the Spell Tour] It was in support of their seventh studio album, The Brightest Sun Yet. [Break the Spell Tour] The tour kicked off on November 15, 2008 in Denver, Colorado and wrapped up on February 27, 2009 in Cleveland, Ohio. [Break the Spell Tour]",4,REFUTES,"Daughtry (band), Billy Anderson (producer), Break the Spell Tour, Red House Painters",0.1461436794884493
"[MedStar Georgetown University Hospital] It is a not-for-profit, acute care teaching and research facility located in the Georgetown neighborhood of the Northwest Quadrant of Washington, D.C. MedStar Georgetown is co-located with the Georgetown University Medical Center and is affiliated with the Georgetown University School of Medicine. [Howard University Hospital] Howard University Hospital, previously known as Freedmen's Hospital, is a major hospital lcated in Washington, D.C., built on the site of the previous Griffith Stadium. [Michael Zasloff] He is currently Scientific Director, MedStar-Georgetown Transplant Institute, Georgetown University Hospital. [Haskell Small] Haskell ""Hal"" Small, born 3 June 1948, is a composer, pianist, and music teacher in Washington, D.C.","[Howard University Hospital] Howard University Hospital (HUH) is a 100-bed teaching hospital in Washington, D.C., United States. [Regional Medical Center] Regional Medical Center (RMC) is a non-profit, 280-bed hospital located in San Jose, California. [Howard University Hospital] Howard University Hospital is the only level one trauma center in the District of Columbia. [Regional Medical Center] Regional Medical Center is a 280-bed acute care facility. [Howard University Hospital] Howard University Hospital is a member of the MedStar Health System. [Regional Medical Center] Regional Medical Center is a member of the Prime Healthcare Services. [Howard University Hospital] Howard University Hospital is a teaching hospital. [Regional Medical Center] Regional Medical Center is a teaching hospital. [Howard University Hospital] Howard University Hospital is the only level one trauma center in the District of Columbia. [Regional Medical Center] Regional Medical Center is a level one trauma center. [Howard University Hospital] Howard University Hospital is a teaching hospital. [Regional Medical Center] Regional Medical Center is a teaching hospital. [Howard University Hospital] Howard University Hospital is the only level one trauma center in the District of Columbia. [Regional Medical Center] Regional Medical Center is a level one trauma center. [Howard University Hospital] Howard University Hospital is a teaching hospital. [Regional Medical Center] Regional Medical Center is a teaching hospital.",4,REFUTES,"MedStar Georgetown University Hospital, Haskell Small, Michael Zasloff, Howard University Hospital",0.0751299812032746
"[Morgan Llywelyn] Morgan Llywelyn (born December 3, 1937) is an American-Irish historical fantasy, historical fiction, and historical non-fiction writer. [Robert Jordan] James Oliver Rigney Jr. (October 17, 1948 – September 16, 2007), better known by his pen name Robert Jordan, was an American author of epic fantasy. [Lion of Ireland] Lion of Ireland, by the American-Irish author Morgan Llywelyn, is a novel about the life of the Irish hero and High King Brian Boru. [One Power] In The Wheel of Time fantasy series by Robert Jordan, the One Power is a supernatural force which some characters can harness to perform feats of (magic).","Lion of Ireland is a 1935 novel by Irish writer Francis Stuart. [Francis Stuart] Francis Stuart (25 September 1902 – 18 March 1990) was an Irish novelist, poet, playwright and artist. [Lion of Ireland] The book was a bestseller in Ireland and the United Kingdom, and was made into a film of the same name in 1935. [Lion of Ireland] It was made into a film of the same name in 1935. [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of Ireland] [Lion of",4,REFUTES,"Morgan Llywelyn, Lion of Ireland, One Power, Robert Jordan",0.023535540929963385
"[Nam Woo-hyun] Nam Woo-hyun (Hangul: 남우현 ; Hanja: 南優賢 ; born February 8, 1991), commonly known by his mononym Woohyun, is a South Korean singer and actor with the boy band Infinite. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson; December 23, 1964) is an American musician, singer and songwriter best known as a member of the rock band Pearl Jam, with whom he performs lead vocals and is one of three guitarists. [Write.. (EP)] Write. [Write.. (EP)] . [Write.. (EP)] is the debut extended play by South Korean singer Woohyun. [Bad Radio] The band is most notable for having featured future Pearl Jam vocalist Eddie Vedder as its lead singer from 1988–1990.","1. [Write.. (EP)] Write.. (EP) is the debut extended play by American indie rock band Bad Radio. [Bad Radio] Bad Radio is an American indie rock band from Boston, Massachusetts, formed in 1990. [Bad Radio] The band was formed in 1990 in Boston, Massachusetts, United States by guitarist and vocalist Mike Frye and drummer Paul Kendall. [Bad Radio] In 1990, they recorded their debut EP Write.. and toured the East Coast. [Bad Radio] After recording their second EP, the band disbanded in 1991. [Bad Radio] The band has reunited in recent years for a number of shows and has plans to record a full-length album. [Bad Radio] In 2009, the band released a live album entitled Live at the Middle East, recorded at The Middle East in Cambridge, Massachusetts, on March 29, 1990. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of their two EPs entitled The First Two EPs on May 1, 2010. [Bad Radio] The band also released a compilation of",4,REFUTES,"Bad Radio, Nam Woo-hyun, Write.. (EP), Eddie Vedder",0.06894669602985043
"[Lori Swanson] Lori Swanson (born December 16, 1966) from Eagan, Minnesota is the Attorney General of the US state of Minnesota. [Eagan, Minnesota] Eagan is a city in Dakota County, Minnesota, United States. [Minnesota Attorney General election, 2010] Incumbent Lori Swanson of the Minnesota Democratic–Farmer–Labor Party (DFL) won reelection to a second term. [G. Aaron Youngquist] He served as Minnesota Attorney General and as the Assistant U.S. Attorney General who successfully prosecuted Al Capone for federal income tax evasion.","2010 Minnesota State Senate election: District 49 Election results for Minnesota State Senate District 49. [2010 Minnesota State Senate election: District 49] Incumbent Democrat Roger Reinert was re-elected to a second term. [G. Aaron Youngquist] G. Aaron Youngquist (born August 21, 1945) is an American politician and a former member of the Minnesota Senate. [Eagen, Minnesota] Eagen is a city in Dakota County, Minnesota, United States. [Dakota County] Dakota County is a county located in the U.S. state of Minnesota. As of the 2010 census, the population was 398,552. Its county seat is Hastings. Dakota County is included in the Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area.",4,REFUTES,"Eagan, Minnesota, G. Aaron Youngquist, Minnesota Attorney General election, 2010, Lori Swanson",0.22961327911284501
"[Giacomo Meyerbeer] Giacomo Meyerbeer (born Jacob Liebmann Beer; 5 September 1791 – 2 May 1864) was a German opera composer of Jewish birth who has been described as perhaps the most successful stage composer of the nineteenth century. [Wolfgang Amadeus Mozart] Wolfgang Amadeus Mozart ( ; ; ] ; 27 January 1756 – 5 December 1791), baptised as Johannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the Classical era. [L'esule di Granata] L'esule di Granata (""The exile of Granada"") is a ""melodramma serio"" (serious opera ) in two acts by Giacomo Meyerbeer. [Serenade No. 6 (Mozart)] The Serenade No. 6 for Orchestra in D major K. 239, ""Serenata notturna"", was written by Wolfgang Amadeus Mozart in Salzburg, in 1776.","[Serenade No. 6 (Mozart)] Wolfgang Amadeus Mozart (] ; 27 January 1756 – 5 December 1791), baptised as Johannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the Classical era. [Brazilian national anthem] L'esule di Granata (The Granata Scholar) is the national anthem of Brazil. It was composed in 1830 by Carlos Gomes, who was 19 years old at the time.",4,REFUTES,"Serenade No. 6 (Mozart), L'esule di Granata, Giacomo Meyerbeer, Wolfgang Amadeus Mozart",0.23041848892858954
"[Wenling] Wenling (Wenling dialect: Uen-lin Zy ] ; ) is a coastal county-level city in the municipal region of Taizhou, in southeastern Zhejiang province, China. [Xinzheng] Xinzheng () is a small county-level city of Zhengzhou in the south of Henan province of Central China. [Jiangxia Tidal Power Station] The Jiangxia Tidal Power Station (江厦潮汐电站) is the fourth largest tidal power station in the world, located in Wuyantou, Wenling City, Zhejiang Province, China. [SIAS International University] Sias is located in the ancient city of Xinzheng, near Henan's capital, Zhengzhou.","[Jiangxia Tidal Power Station] The Jiangxia Tidal Power Station (Chinese: 江夏潮流发电站) is a tidal power station located in Jiangxia District, Jiangmen, Guangdong Province, China. [Zhejiang] Zhejiang (; ; ) is a province of the People's Republic of China in the South of the Yangtze River Delta. [SIAS International University] SIAS International University (SIU) is a private, non-profit university in New York City. [New] New York City (), commonly referred to as New York, the City of New York, or simply New York, is the most populous city in the United States. [New York City] New York City (NYC) is the most populous city in the United States.",4,REFUTES,"Xinzheng, SIAS International University, Jiangxia Tidal Power Station, Wenling",0.24896572370067793
"[Dan McCafferty] William Daniel ""Dan"" McCafferty (born 14 October 1946, Dunfermline, Scotland) is a Scottish vocalist, best known as the lead singer for the Scottish hard rock band Nazareth from its founding in 1968 to his retirement from touring with the band in 2013. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson; December 23, 1964) is an American musician, singer and songwriter best known as a member of the rock band Pearl Jam, with whom he performs lead vocals and is one of three guitarists. [Rock 'n' Roll Telephone] It is their last album with original singer Dan McCafferty who left the group before its release. [Billy Rankin (guitarist)] Best known for his work with Nazareth (1980–83 & 1990–94), he also had a successful solo career, including a US hit single ""Baby Come Back"".","1. [Billy Rankin] Billy Rankin (born 29 July 1953 in Glasgow, Scotland) is a Scottish rock guitarist. [Billy Rankin] He was a member of the band Bay City Rollers in 1974, but left the band before the release of their first album, Rollermania, in 1975. [Billy Rankin] He has also worked with the bands The Stranglers, The Clash, and The Skids. [Billy Rankin] He has released several solo albums. [Billy Rankin] His most recent album was released in 2006. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson III; December 23, 1964) is an American musician, best known as the lead vocalist, one of three guitarists, and the principal songwriter for the American rock band Pearl Jam. [Eddie Vedder] Vedder's powerful tenor voice, his distorted guitar playing, and his stage presence have made him a cult hero to many of Pearl Jam's fans. [Eddie Vedder] He is also known for his support of farming communities and the environment. [Eddie Vedder] In 2007, he released his first solo album, titled ""Into the Wild"", which is a soundtrack to the 2007 film of the same name. [Eddie Vedder] He also performed with the band The Earthlings. [Eddie Vedder] In 2008, he released his second solo album, titled ""Ukulele Songs"". [Eddie Vedder] In 2011, he released his third solo album, titled ""Longing to Belong"". [Eddie Vedder] He is married to Jill Dillard, with whom he has two daughters, Harper and Violet. [Eddie Vedder] He also has a son, Eben, with a previous girlfriend, Eulynn Meyers. [Eddie Vedder] He was previously married to Beth Liebling from 1989 to 1994. [Eddie Vedder] He was also previously married to Nancy Shevell from 19",4,REFUTES,"Rock 'n' Roll Telephone, Dan McCafferty, Billy Rankin (guitarist), Eddie Vedder",0.14343880503236428
