True Evidence,Generated Evidence,Hops,Label,Topics
"[Duke University] Duke University is a private research university located in Durham, North Carolina. [Duke University] Founded by Methodists and Quakers in the present-day town of Trinity in 1838, the school moved to Durham in 1892. [Tufts University] Tufts College was founded in 1852 by Christian Universalists who worked for years to open a nonsectarian institution of higher learning. [James David Barber] From 1977 to 1995, he taught political science at Duke University. [Donald Sur] After receiving his doctorate from Harvard in 1972, he settled in Boston, Massachusetts, where many of his works were premiered and where he taught at several local universities, including Harvard, MIT, and Tufts.","[James David Barber] James David Barber (February 28, 1923 – March 25, 2002) was an American political scientist. [Donald Sur] Donald Sur (January 29, 1929 – June 28, 2014) was an American political scientist and professor at Boston University.",4,SUPPORTS,"James David Barber, Duke University, Tufts University, Donald Sur"
"[Lianzhou] Lianzhou (), formerly Lian County or Lianxian (postal: Linhsien), is a county-level city in northern Guangdong Province, China, under the administration of the prefecture-level city of Qingyuan. [Yancheng] Yancheng () is a prefecture-level city in northeastern Jiangsu province, People's Republic of China. [Lianjiang River] The river rises in Momianshi (磨面石) of Xingzi Town (星子镇) in Lianzhou county, and it runs generally northwest to southeast through Lianzhou, Yangshan and Yingde counties. [Zuoxiao Zuzhou] Zuoxiao Zuzhou () (b. Yancheng, March 4, 1970), real name Wu Hongjin, (吴红巾),is a Chinese musician and artist.","[Zuoxiao Zuzhou] Zuoxiao Zuzhou ( ; born 1964 in Jiansu) is a Chinese mathematician who works on the theory of dynamical systems and its applications to problems in physics, engineering, and other fields. [Lianjiang River] The Lianjiang River (Chinese: ; pinyin: Liàngjiāng Jiāng) is a river in eastern China, flowing through the provinces of Jiangsu, Zhejiang, and Fujian.",4,SUPPORTS,"Yancheng, Lianzhou, Zuoxiao Zuzhou, Lianjiang River"
"[Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and actor. [Ozzy Osbourne] He was fired from Black Sabbath in 1979 and went on to have a successful solo career, releasing 11 studio albums, the first seven of which were all awarded multi-platinum certifications in the US. [Curt Smith] As a solo artist, he has released four solo albums. [Change (Tears for Fears song)] Written by Roland Orzabal and sung by bassist Curt Smith, it was the band's fourth single release. [Mothers Talk] ""Mothers Talk"" is a 1984 song by the British band Tears for Fears.","[Mothers Talk] Mothers Talk is a song by the American rock band, The Cult, from their album Electric. [The Cult] The Cult is an American rock band formed in 1981. [Change (song)] ""Change"" is a song by the American rock band, The Cult, from their album Electric. [John Michael ""Ozzy"" Osbourne] John Michael ""Ozzy"" Osbourne (; born December 3, 1948) is a British heavy metal singer, songwriter, and former television personality. He rose to prominence in the early 1980s as the lead singer of the heavy metal band Black Sabbath and is often referred to as the ""Godfather of Heavy Metal"".",4,SUPPORTS,"Curt Smith, Ozzy Osbourne, Mothers Talk, Change (Tears for Fears song)"
"[A Wrinkle in Time (2018 film)] A Wrinkle in Time is an upcoming American science-fiction fantasy adventure film directed by Ava DuVernay and written by Jennifer Lee. [Home on the Range (2004 film)] Home on the Range is a 2004 American animated musical western comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. [Storm Reid] She is set to portray Meg Murry in ""A Wrinkle in Time"" (2018). [Chris Buck] He also worked as a supervising animator on ""Home on the Range"" (2004) and ""Pocahontas"" (1995).","[Storm Reid] Storm Reid (born January 1, 2003) is an American child actor, best known for his role as Mazikeen ""Max"" Malik in the HBO series In Treatment. [Chris Buck] Christopher Eric ""Chris"" Buck (born April 13, 1959) is an American animator, director, and producer. [Spider-Man 2 (film)] Spider-Man 2 is a 2004 superhero film directed by Sam Raimi and written by Alvin Sargent from a story by Raimi, Sargent, and Stan Lee. [Spider-Man 2 (film)] The film stars Tobey Maguire, Kirsten Dunst, James Franco, and Alfred Molina.",4,SUPPORTS,"Storm Reid, Home on the Range (2004 film), A Wrinkle in Time (2018 film), Chris Buck"
"[Patrick McEnroe] Patrick John McEnroe (born July 1, 1966) is a former professional tennis player and the former captain of the United States Davis Cup team. [Billie Jean King] Billie Jean King (""née"" Moffitt; born November 22, 1943) is an American former World No. 1 professional tennis player. [1990 Newsweek Champions Cup – Doubles] Becker partnered Guy Forget, and they won the title, defeating Jim Grabb and Patrick McEnroe 4–6, 6–4, 6–3 in the final. [Larry King (tennis)] Larry King (born January 30, 1945) is an American attorney, a real estate broker, a promoter, one of the founders of World Team Tennis, and the former husband of tennis star Billie Jean King.","[Larry King] Larry King (born Lawrence Harvey Zeiger; November 15, 1933) is an American television and radio host, producer, and personality. [Larry King's ex-wife] Shawn King (born April 26, 1965) is the wife of Larry King. [Male player] Todd Martin (born September 10, 1960) is an American former professional tennis player. [1990 Newsweek Champions Cup – Doubles] The 1990 Newsweek Champions Cup – Doubles was a tennis tournament played on outdoor hard courts at the Del Mar Tennis Center in San Diego, California, USA, in March 1990.",4,SUPPORTS,"Larry King (tennis), Patrick McEnroe, 1990 Newsweek Champions Cup – Doubles, Billie Jean King"
"[Ray Wilson (musician)] Raymond Wilson (born 8 September 1968) is a Scottish musician, best known as vocalist in the post-grunge band Stiltskin, and in Genesis from 1996 to 1998. [Billy Idol] William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and actor. [Live and Acoustic (Ray Wilson album)] Live and Acoustic is the first live CD release from Ray Wilson. [Eyes Without a Face (song)] ""Eyes Without a Face"" is a song by English rock musician Billy Idol, from his second album ""Rebel Yell"" (1983).","[Billy Idol] William Michael ""Billy"" Idol (born September 3, 1955) is an English musician and singer-songwriter whose music spans several decades and multiple styles. [Rebel Yell (song)] ""Rebel Yell"" is a song by the Irish rock band, the Irish Rovers, released in 1983. [Live and Acoustic] Live and Acoustic is a CD released by the Irish rock band, The Irish Rovers, in 1990.",4,SUPPORTS,"Eyes Without a Face (song), Billy Idol, Live and Acoustic (Ray Wilson album), Ray Wilson (musician)"
"[Leaked in London] It was brought up because the band's third album, ""Infinity on High"", was leaked onto the internet on January 19, 2007, three weeks before its official scheduled release. [Infinity on High] Infinity on High is the third studio album by American rock band Fall Out Boy, released on February 6, 2007 by Island Records as the follow-up to the band's commercially successful 2005 album ""From Under the Cork Tree"". [The Take Over, the Breaks Over] """"The Take Over, the Breaks Over"""" (rendered with quotation marks as part of its title on the album track listing) is a song by American rock band Fall Out Boy and the fourth single from their third studio album ""Infinity on High"" (2007). [America's Suitehearts] ""America's Suitehearts"" is a song by American rock band Fall Out Boy and the second single taken from their fourth studio album, ""Folie à Deux"" (2008).","[American Suitehearts] American Suitehearts is a single by the American indie rock band The Strokes, released on February 6, 2007. [The Take Over, the Breaks Over] The Take Over, the Breaks Over is a song by American indie rock band The Strokes, released in 2007.",4,SUPPORTS,"The Take Over, the Breaks Over, Leaked in London, America's Suitehearts, Infinity on High"
"[Maine School Administrative District 3] Maine School Administrative District 3 (MSAD 3) is an operating school district within Maine, covering the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity. [Unity, Maine] The population was 2,099 at the 2010 census. [Mount View High School (Maine)] The school is a part of Maine School Administrative District 3, and serves students from the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity and Waldo. [High Tide at Noon] ""High Tide at Noon"" was based on the first of a series of novels by Elisabeth Ogilvie, set in Maine.","[Mount View High School] Mount View High School is a public high school in Thorndike, Maine, United States. [High Tide at Noon] High Tide at Noon is a 2016 American drama film directed by Kyle Patrick Ledoux and written by Ledoux and Michael J. Paterra. [Waldo County] Waldo County is a county located in the state of Maine in the United States.",4,SUPPORTS,"High Tide at Noon, Unity, Maine, Mount View High School (Maine), Maine School Administrative District 3"
"[2009 St. Petersburg Bowl] The 2009 St. Petersburg Bowl presented by Beef 'O' Brady's, formerly known as the St. Petersburg Bowl, was the second edition of the college football bowl game and was played at Tropicana Field in St. Petersburg, Florida. [2009 St. Petersburg Bowl] Rutgers defeated UCF 45–24 in a game where Mohamed Sanu, the game's MVP, caught 4 passes for 97 yards and a touchdown in addition to rushing 14 times for 47 yards and two touchdowns. [Mohamed Sanu] Mohamed Sanu Sr. (born August 22, 1989) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [2009 Rutgers Scarlet Knights football team] The Scarlet Knights finished the season 9–4, 3–4 in Big East play and won the St. Petersburg Bowl, 45–24, over UCF. [2009 Big East Conference football season] The Big East Conference consists of 8 football members: Cincinnati, Connecticut, Louisville, Pittsburgh, Rutgers, South Florida, Syracuse, and West Virginia.","[Mohamed Sanu] Mohamed Sanu Sr. (born March 16, 1990) is a former American football wide receiver who played in the National Football League (NFL) for the Atlanta Falcons, New Orleans Saints, and Cincinnati Bengals. [2009 Big East Conference football season] The 2009 Big East Conference football season was the 40th season of the NCAA Division I-A football league. The season began on September 1 and concluded with the 2009 Champs Sports Bowl on December 19. [2009 Champs Sports Bowl] The 2009 Champs Sports Bowl was the 13th edition of the college football bowl game, and was played on December 19, 2009, at the Florida Citrus Bowl in Orlando, Florida. The game featured the University of Miami, led by quarterback Jacory Harris, against the University of Notre Dame, led by quarterback Jimmy Clausen. Sanu was the game's MVP.",4,SUPPORTS,"2009 Big East Conference football season, 2009 Rutgers Scarlet Knights football team, Mohamed Sanu, 2009 St. Petersburg Bowl"
"[Louise (opera)] Louise is an opera (""roman musical"" ) in four acts by Gustave Charpentier to an original French libretto by the composer, with some contributions by Saint-Pol-Roux, a symbolist poet and inspiration of the surrealists. [Le roi malgré lui] Le roi malgré lui (""King in Spite of Himself"" or ""The reluctant king"") is an opéra-comique in three acts by Emmanuel Chabrier of 1887 with an original libretto by Emile de Najac and Paul Burani. [Julien (opera)] ""Julien"" is a sequel to Charpentier's ""Louise"" (1900) and describes the artistic aspirations of Louise’s suitor Julien. [Charles Rousselière] He sang in the world premieres of several operas, including the title role in Charpentier's ""Julien"" and Giorgio in Mascagni's ""Amica""","[Madeleine Lambert] Madeleine Lambert ( ; 1686 – 1714) was a French actress and singer. [Le Roi Malgré lui] Le Roi Malgré lui (The King Despite Himself) is an opera by the French composer Gustave Charpentier, first performed in 1900. [Charles Rousselière] Charles Rousselière (1690 – 1754) was a French actor and singer. [L'Incas] L'Incas is an opera by the French composer Jean-Joseph de Mondonville, first performed in 1750.",4,SUPPORTS,"Charles Rousselière, Louise (opera), Le roi malgré lui, Julien (opera)"
