True Evidence,Generated Evidence,Hops,Label,Topics,Precision,Recall,F1 Score
"[Duke University] Duke University is a private research university located in Durham, North Carolina. [Duke University] Founded by Methodists and Quakers in the present-day town of Trinity in 1838, the school moved to Durham in 1892. [Tufts University] Tufts College was founded in 1852 by Christian Universalists who worked for years to open a nonsectarian institution of higher learning. [James David Barber] From 1977 to 1995, he taught political science at Duke University. [Donald Sur] After receiving his doctorate from Harvard in 1972, he settled in Boston, Massachusetts, where many of his works were premiered and where he taught at several local universities, including Harvard, MIT, and Tufts.","[James David Barber] James David Barber (February 28, 1922 – November 18, 2005) was an American political scientist. [Donald Sur] Donald H. Simpson (born 1934) is an American political scientist, academic, and author. [University] A university is an institution of higher learning or a place of higher learning.",4,SUPPORTS,"Tufts University, James David Barber, Duke University, Donald Sur",0.8648150563240051,0.8174750804901123,0.8404790163040161
"[Lianzhou] Lianzhou (), formerly Lian County or Lianxian (postal: Linhsien), is a county-level city in northern Guangdong Province, China, under the administration of the prefecture-level city of Qingyuan. [Yancheng] Yancheng () is a prefecture-level city in northeastern Jiangsu province, People's Republic of China. [Lianjiang River] The river rises in Momianshi (磨面石) of Xingzi Town (星子镇) in Lianzhou county, and it runs generally northwest to southeast through Lianzhou, Yangshan and Yingde counties. [Zuoxiao Zuzhou] Zuoxiao Zuzhou () (b. Yancheng, March 4, 1970), real name Wu Hongjin, (吴红巾),is a Chinese musician and artist.","[Zuoxiao Zuzhou] Zuoxiao Zuzhou (Chinese: 左小猪; pinyin: Zuòxiǎo Zúzhōu) is a fictional character and the protagonist of the 1993 Chinese novel ""The Stories of the Stones"" (Chinese: 石头记; pinyin: Shítiě Jì) by Chinese author Shi Tao. [Lianjiang River] The Lianjiang River (Chinese: 亘江; pinyin: Liánjiāng) is a river in eastern China that flows through the provinces of Jiangsu and Zhejiang.",4,SUPPORTS,"Lianjiang River, Yancheng, Lianzhou, Zuoxiao Zuzhou",0.8392277956008911,0.8432566523551941,0.8412374258041382
"[Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and actor. [Ozzy Osbourne] He was fired from Black Sabbath in 1979 and went on to have a successful solo career, releasing 11 studio albums, the first seven of which were all awarded multi-platinum certifications in the US. [Curt Smith] As a solo artist, he has released four solo albums. [Change (Tears for Fears song)] Written by Roland Orzabal and sung by bassist Curt Smith, it was the band's fourth single release. [Mothers Talk] ""Mothers Talk"" is a 1984 song by the British band Tears for Fears.","[Mothers Talk] Mothers Talk is a song by the English rock band The Who, which was released in 1970. [Change] Change is a song by the English rock band The Who, which was released in 1971. [Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born December 3, 1948) is a British singer, songwriter, and former lead vocalist of the heavy metal band Black Sabbath.",4,SUPPORTS,"Change (Tears for Fears song), Curt Smith, Ozzy Osbourne, Mothers Talk",0.9133615493774414,0.8682942390441895,0.8902578949928284
"[A Wrinkle in Time (2018 film)] A Wrinkle in Time is an upcoming American science-fiction fantasy adventure film directed by Ava DuVernay and written by Jennifer Lee. [Home on the Range (2004 film)] Home on the Range is a 2004 American animated musical western comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. [Storm Reid] She is set to portray Meg Murry in ""A Wrinkle in Time"" (2018). [Chris Buck] He also worked as a supervising animator on ""Home on the Range"" (2004) and ""Pocahontas"" (1995).","[Storm Reid] Storm Reid (born July 1, 2003) is an American child actress. [Chris Buck] Christopher Eric ""Chris"" Buck (born September 15, 1952) is an American animator, director, and producer who is best known for his work on the Disney animated features The Lion King (1994), Pocahontas (1995), and Frozen (2013). [Frozen (2013 film)] Frozen is a 2013 American 3D computer-animated musical fantasy film produced by Walt Disney Animation Studios, directed by Chris Buck and Jennifer Lee, and written by Lee and Phil Johnston. [American science-fiction fantasy movie] The 2004 film that Chris Buck worked on as a supervising animator is an American science-fiction fantasy movie. This movie is not.",4,SUPPORTS,"Storm Reid, Chris Buck, Home on the Range (2004 film), A Wrinkle in Time (2018 film)",0.8737207651138306,0.8697901368141174,0.8717509508132935
"[Patrick McEnroe] Patrick John McEnroe (born July 1, 1966) is a former professional tennis player and the former captain of the United States Davis Cup team. [Billie Jean King] Billie Jean King (""née"" Moffitt; born November 22, 1943) is an American former World No. 1 professional tennis player. [1990 Newsweek Champions Cup – Doubles] Becker partnered Guy Forget, and they won the title, defeating Jim Grabb and Patrick McEnroe 4–6, 6–4, 6–3 in the final. [Larry King (tennis)] Larry King (born January 30, 1945) is an American attorney, a real estate broker, a promoter, one of the founders of World Team Tennis, and the former husband of tennis star Billie Jean King.","[Larry King] Larry King (born Lawrence Harvey Zeiger; September 15, 1933) is an American television and radio host, actor, and comedian. [Sharon King] Sharon King (born March 6, 1943) is an American former television personality and the wife of Larry King. [Jim Grabb] James (Jim) Grabb (born December 27, 1964 in San Diego, California) is a former professional tennis player from the United States. [1990 Newsweek Champions Cup – Doubles] The 1990 Newsweek Champions Cup – Doubles was a tennis tournament played on outdoor hard courts at the Del Mar Tennis Club in San Diego, California, United States, from February 26 to March 4, 1990.",4,SUPPORTS,"Patrick McEnroe, Billie Jean King, Larry King (tennis), 1990 Newsweek Champions Cup – Doubles",0.8800930380821228,0.8595941662788391,0.869722843170166
"[Ray Wilson (musician)] Raymond Wilson (born 8 September 1968) is a Scottish musician, best known as vocalist in the post-grunge band Stiltskin, and in Genesis from 1996 to 1998. [Billy Idol] William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and actor. [Live and Acoustic (Ray Wilson album)] Live and Acoustic is the first live CD release from Ray Wilson. [Eyes Without a Face (song)] ""Eyes Without a Face"" is a song by English rock musician Billy Idol, from his second album ""Rebel Yell"" (1983).","[Billy Idol] William Francis ""Billy"" Idol (born 3 November 1951) is an English musician and singer-songwriter whose career spans over four decades. [Rebel Yell (song)] ""Rebel Yell"" is a song by Irish rock band Thin Lizzy, released in 1983. [Live and Acoustic (CD)] Live and Acoustic is a CD released by American musician and singer-songwriter, John Mellencamp, in 1999.",4,SUPPORTS,"Eyes Without a Face (song), Ray Wilson (musician), Billy Idol, Live and Acoustic (Ray Wilson album)",0.9183983206748962,0.897963285446167,0.9080657958984375
"[Leaked in London] It was brought up because the band's third album, ""Infinity on High"", was leaked onto the internet on January 19, 2007, three weeks before its official scheduled release. [Infinity on High] Infinity on High is the third studio album by American rock band Fall Out Boy, released on February 6, 2007 by Island Records as the follow-up to the band's commercially successful 2005 album ""From Under the Cork Tree"". [The Take Over, the Breaks Over] """"The Take Over, the Breaks Over"""" (rendered with quotation marks as part of its title on the album track listing) is a song by American rock band Fall Out Boy and the fourth single from their third studio album ""Infinity on High"" (2007). [America's Suitehearts] ""America's Suitehearts"" is a song by American rock band Fall Out Boy and the second single taken from their fourth studio album, ""Folie à Deux"" (2008).","[The Take Over, The Breaks Over] The Take Over, The Breaks Over is a single by the American rock band, Panic! at the Disco, released on February 6, 2007, through Decaydence and Disturbia. [American Suitehearts] American Suitehearts is a musical group from the United States, known for their single ""The Take Over, The Breaks Over"".",4,SUPPORTS,"Leaked in London, Infinity on High, America's Suitehearts, The Take Over, the Breaks Over",0.887566089630127,0.8491577506065369,0.8679372072219849
"[Maine School Administrative District 3] Maine School Administrative District 3 (MSAD 3) is an operating school district within Maine, covering the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity. [Unity, Maine] The population was 2,099 at the 2010 census. [Mount View High School (Maine)] The school is a part of Maine School Administrative District 3, and serves students from the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity and Waldo. [High Tide at Noon] ""High Tide at Noon"" was based on the first of a series of novels by Elisabeth Ogilvie, set in Maine.","[Mount View High School] Mount View High School is a public high school located in Thorndike, Maine, United States. [High Tide at Noon] High Tide at Noon is a 2011 romantic comedy film directed by Francis Delft, written by Michael Starr and starring Jodelle Ferland, Tyler Hynes, and Sara Canning.",4,SUPPORTS,"Maine School Administrative District 3, Mount View High School (Maine), High Tide at Noon, Unity, Maine",0.8453372716903687,0.8222376108169556,0.833627462387085
"[2009 St. Petersburg Bowl] The 2009 St. Petersburg Bowl presented by Beef 'O' Brady's, formerly known as the St. Petersburg Bowl, was the second edition of the college football bowl game and was played at Tropicana Field in St. Petersburg, Florida. [2009 St. Petersburg Bowl] Rutgers defeated UCF 45–24 in a game where Mohamed Sanu, the game's MVP, caught 4 passes for 97 yards and a touchdown in addition to rushing 14 times for 47 yards and two touchdowns. [Mohamed Sanu] Mohamed Sanu Sr. (born August 22, 1989) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [2009 Rutgers Scarlet Knights football team] The Scarlet Knights finished the season 9–4, 3–4 in Big East play and won the St. Petersburg Bowl, 45–24, over UCF. [2009 Big East Conference football season] The Big East Conference consists of 8 football members: Cincinnati, Connecticut, Louisville, Pittsburgh, Rutgers, South Florida, Syracuse, and West Virginia.","[Mohamed Sanu Sr] Mohamed Sanu Sr. (born September 23, 1989) is a former American football wide receiver. [2009 Big East Conference football season] The 2009 Big East Conference football season was the 40th season of the NCAA Division I-A football league. [Atlanta Falcons] The Atlanta Falcons are a professional American football team based in Atlanta, Georgia. They are a member of the National Football Conference (NFC) South division in the National Football League (NFL).",4,SUPPORTS,"2009 St. Petersburg Bowl, 2009 Big East Conference football season, Mohamed Sanu, 2009 Rutgers Scarlet Knights football team",0.9007031321525574,0.8302829265594482,0.8640605807304382
"[Louise (opera)] Louise is an opera (""roman musical"" ) in four acts by Gustave Charpentier to an original French libretto by the composer, with some contributions by Saint-Pol-Roux, a symbolist poet and inspiration of the surrealists. [Le roi malgré lui] Le roi malgré lui (""King in Spite of Himself"" or ""The reluctant king"") is an opéra-comique in three acts by Emmanuel Chabrier of 1887 with an original libretto by Emile de Najac and Paul Burani. [Julien (opera)] ""Julien"" is a sequel to Charpentier's ""Louise"" (1900) and describes the artistic aspirations of Louise’s suitor Julien. [Charles Rousselière] He sang in the world premieres of several operas, including the title role in Charpentier's ""Julien"" and Giorgio in Mascagni's ""Amica""","[Charles Rousselière] Charles Rousselière (1794 – 1869) was a French composer, conductor, and music teacher. [Le roi malgré lui] Le roi malgré lui (French for The Reluctant King) is an opera by the French composer Gustave Charpentier. It was first performed in 1900 at the Boulogne-sur-Mer casino.",4,SUPPORTS,"Louise (opera), Charles Rousselière, Le roi malgré lui, Julien (opera)",0.8839161396026611,0.8331576585769653,0.8577866554260254
