True Evidence,Generated Evidence,Hops,Label,Topics,bleu_score
"[Terri Nunn] Terri Kathleen Nunn (born June 26, 1961), is an American singer and actress. [Sonya Scarlet] Sonya Scarlet (born 2 April 1980) is the singer and lyricist of the Italian extreme gothic metal band Theatres des Vampires. [Information (Berlin album)] It was recorded during the period when Terri Nunn had temporarily left the band to pursue an acting career and Virginia Macolino performed the lead vocals.","[Sonya Scarlet] Sonya Scarlet (born January 23, 1991) is an American singer, songwriter, and record producer. [Information (Berlin album)] Information is the debut studio album by the German-American electronic music group, Berlin, released in 1987 on the record label, Sire.",3,SUPPORTS,"Terri Nunn, Information (Berlin album), Sonya Scarlet",0.18998344235303796
"[Carl Barât] Carlos Ashley Raphael Barât (born 6 June 1978) is a British musician, best known for being the co-frontman with Peter Doherty of the garage rock band The Libertines. [Carl Barât] He was the frontman and lead guitarist of Dirty Pretty Things, and in 2010 debuted a solo album. [Carl Barât] In 2014 he announced the creation of his new band, The Jackals. [Jesse Michaels] Jesse Michaels is a songwriter, vocalist, guitarist and artist from Berkeley, California. [Jesse Michaels] He is most well known as the vocalist for the ska punk band Operation Ivy. [Big Rig (band)] Big Rig was a punk band from the San Francisco Bay Area fronted by singer/songwriter Jesse Michaels.","[Carl Barât] Carlos Ashley Raphael ""Carl"" Barât (born 20 January 1970 in Kingston upon Thames, London) is a British singer, songwriter, musician, actor and writer. [Big Rig] Big Rig is a punk band from the UK, formed in 1998. The band consists of Carl Barât (vocals, guitar), Chris Gorman (bass), Steve Sutherland (drums), and Paul ""Winnie"" Williams (guitar).",3,SUPPORTS,"Carl Barât, Big Rig (band), Jesse Michaels",0.11765894904600126
"[James Schuyler] His awards include the Pulitzer Prize for Poetry for his 1980 collection ""The Morning of the Poem"". [H. G. Wells] His most notable science fiction works include ""The Time Machine"" (1895), ""The Island of Doctor Moreau"" (1896), ""The Invisible Man"" (1897), and ""The War of the Worlds"" (1898). [Darragh Park] Darragh Park (July 24, 1939 – April 17, 2009) was an American Artist, and the literary executor of the estate of Pulitzer Prize–winning poet James Schuyler.","Darragh Park is a literary agent who represents a wide range of authors, including several bestselling novelists, poets, and nonfiction writers. [H.G. Wells] Herbert George Wells (21 September 1866 – 13 August 1946), known as H.G. Wells, was an English writer, now best known for his work in the science fiction genre. [Darragh Park] Darragh Park Literary Agency is a literary agency based in London, UK, founded in 2007 by Darragh Park. [H.G. Wells] Wells wrote a number of influential works of science fiction, including The Time Machine (1895), The War of the Worlds (1898), and The Island of Doctor Moreau (1904).",3,SUPPORTS,"James Schuyler, H. G. Wells, Darragh Park",0.17422759193884627
"[Enkianthus] Enkianthus is a genus of shrubs or small trees in the heath family (Ericaceae). [Scadoxus] Species of ""Scadoxus"" are grown as ornamental plants for their brilliantly coloured flowers, either in containers or in the ground in frost-free climates. [Enkianthus campanulatus] The hardiest of ""Enkianthus"" species is E. campanulatus (furin-tsutsuji or redvein enkianthus), a medium-sized, narrow, upright, deciduous shrub.","[Scadoxus] Scadoxus (Delosperma) is a genus of flowering plants in the family Aizoaceae. [Enkianthus campanulatus] Enkianthus campanulatus is a species of flowering plant in the family Spiraeaceae. [Ornamental plant] An ornamental plant is a plant grown for its aesthetic appeal, rather than for food, medicine, or other utilitarian purposes. [Container planting] Container planting is the practice of growing plants in pots or other containers.",3,SUPPORTS,"Scadoxus, Enkianthus campanulatus, Enkianthus",0.12834917283061867
"[Dave Peverett] David Jack Peverett (16 April 1943 – 7 February 2000), also known as Lonesome Dave, was an English singer and musician, best known as the original lead vocalist and rhythm guitarist of the rock band Foghat, which he founded following his tenure in Savoy Brown. [Jang Hyun-seung] Jang Hyun-seung (; born September 3, 1989) most often credited as Hyunseung, is a South Korean singer. [Zig-Zag Walk] Unlike the previous year's ""In the Mood for Something Rude"", which consisted of all outside material, lead singer Dave Peverett wrote five of the album's ten songs, with guitarist Erik Cartwright contributing a sixth.","[Zig-Zag Walk] Zig-Zag Walk is a 1983 song by the South Korean rock band, Seo Taiji and Boys. [Jang Hyun-seung] Jang Hyun-seung (born June 19, 1981) is a South Korean singer, songwriter, rapper, and record producer. He is the lead vocalist of the boy band, N.O.A.H. and has released several solo albums.",3,SUPPORTS,"Jang Hyun-seung, Zig-Zag Walk, Dave Peverett",0.09672478761755475
"[Mount Ida] In Greek mythology, two sacred mountains are called Mount Ida, the ""Mountain of the Goddess"": Mount Ida in Crete; and Mount Ida in the ancient Troad region of western Anatolia (in modern-day Turkey) which was also known as the ""Phrygian Ida"" in classical antiquity and is the mountain that is mentioned in the Iliad of Homer and the Aeneid of Virgil. [Rhea (mythology)] Rhea ( ; Greek: Ῥέα , ] ) is a character in Greek mythology, the Titaness daughter of the earth goddess Gaia and the sky god Uranus, and sister and wife to Cronus. [Amari Valley] The Amari Valley is a fertile valley on the foothills of Mount Ida and Mount Kedros in Crete.","1. Rhea is the goddess of the harvest and agriculture in ancient Greek mythology. 2. The Amari Valley in Sri Lanka is home to the ancient Amaravati kingdom, which was known for its advanced irrigation systems and rice cultivation. [Rhea] Rhea (Rhea Silvia in Latin, Greek: Ρεία, Roman: Rhea Silvia) was a goddess in ancient Roman and Greek mythology, worshipped as the goddess of the harvest and agriculture. [Amaravati] Amaravati (Sinhala: අමරවත්) is an ancient city located in the Amaravatiya region of Sri Lanka. It was a major city during the Anuradhapura Kingdom (432 BCE – 1017 CE) and was known for its advanced irrigation systems and rice cultivation.",3,SUPPORTS,"Mount Ida, Rhea (mythology), Amari Valley",2.497654473469344e-78
"[Massimo Giordano] Massimo Giordano (born 19 February 1971) is an Italian-born operatic tenor who is known for his bel canto repertoire. [Massimo Giordano] Giordano was born in Pompei, Italy into an Italian working-class family. [Pompei] Pompei (] ) is a city and ""comune"" in the Metropolitan City of Naples in Italy, home of the ancient Roman ruins part of the UNESCO World Heritage Sites. [Marcello Giordani] (He is not to be confused with another Italian tenor, Massimo Giordano, who toured with Anna Netrebko in 2009.)","Marcello Giordani was born in Toronto, Canada, and grew up in Winnipeg, Manitoba. [Marcello Giordani] Marcello Giordani (born April 28, 1960) is an Italian operatic tenor. [Another Italian tenor] The other Italian tenor, born in Naples, is Luciano Pavarotti.",3,SUPPORTS,"Pompei, Massimo Giordano, Marcello Giordani",0.06394815802017587
"[Denzel Washington] Denzel Hayes Washington Jr. (born December 28, 1954) is an American actor, director, and producer. [David Hewlett] David Ian Hewlett (born 18 April 1968) is an English-born Canadian actor, writer, director, and voice actor best known for his role as Dr. Rodney McKay on the Canadian-American science fiction TV shows ""Stargate SG-1"", ""Stargate Atlantis"" and ""Stargate Universe"". [Herman Boone] Herman Ike Boone (born October 28, 1935) is a former American high school football coach, most famous for coaching the 1971 T. C. Williams High School football team to a 13-0 season, state championship, and national championship runner-up; the basis for the 2000 film ""Remember the Titans"" where Boone was portrayed by Denzel Washington.","[Warren Kole] Warren Kole (born September 7, 1975) is an American actor, known for his roles in the television series, The Chicago Code, and Shameless. [David Hewlett] David Hewlett (born August 18, 1971) is a Canadian actor, known for his roles in the television series, Stargate Atlantis, and the movie, The Cabin in the Woods. [Herman Boone] Herman Boone is a fictional character in the 2000 Disney film, Remember the Titans, played by actor Denzel Washington.",3,SUPPORTS,"Herman Boone, David Hewlett, Denzel Washington",0.14949596014344382
"[43d Air Mobility Operations Group] The 43d Air Mobility Operations Group is an active duty air mobility unit at Pope Field, Fort Bragg, North Carolina (formerly Pope AFB), and is part of the Air Mobility Command (AMC) USAF Expeditionary Center. [Fort Bragg] Fort Bragg, North Carolina, is a military installation of the United States Army and is the largest military installation in the world (by population) with more than 50,000 active duty personnel. [43d Aeromedical Evacuation Squadron] It is part of the 43d Air Mobility Operations Group at Pope Army Air Field, North Carolina.","The 43d Aeromedical Evacuation Squadron is part of the 43d Medical Group at Eglin Air Force Base, Florida. [Fort Bragg] Fort Bragg is a United States Army post formed in 1918 and located in Cumberland County, North Carolina, United States. It is home to the U.S. Army Special Forces Command, and is the largest military installation in the world in terms of population. [43d Aeromedical Evacuation Squadron] The 43d Aeromedical Evacuation Squadron is a unit of the United States Air Force, assigned to the 43d Medical Group at Eglin Air Force Base, Florida. The squadron provides air ambulance and medical evacuation services to military personnel and their families, as well as to civilians in need of emergency medical care. The squadron operates a fleet of specially equipped aircraft, including the C-130 Hercules and the C-17 Globemaster III, and is staffed by a team of highly trained medical professionals, including doctors, nurses, and respiratory therapists. The squadron is responsible for providing emergency medical care to patients in the field, and for transporting them to medical facilities for further treatment.",3,SUPPORTS,"43d Air Mobility Operations Group, 43d Aeromedical Evacuation Squadron, Fort Bragg",0.16866690159190792
"[Len Reynolds (politician)] In 1958, he was selected as the Labor candidate for the seat of Barton, which party leader H. V. Evatt was leaving as it was perceived to be too marginal. [Division of Barton] The Division of Barton is an Australian electoral division in the state of New South Wales. [Division of Barton] The division was created in 1922 and is named for Sir Edmund Barton, the first Prime Minister of Australia. [Bill Arthur] However, in 1966 he defeated Labor member Len Reynolds and was elected for the Liberal Party.","1922 federal election: The Australian Labor Party (ALP) was defeated by the Nationalist Party of Australia in the 1922 federal election. [Bill Arthur] Bill Arthur (born 1950) is a former Australian politician who was a member of the Australian Parliament from 1980 to 1990, representing the Division of Batman. [Division of Batman] The Division of Batman is an electoral division in the Australian House of Representatives, located in the state of Victoria. It was created in 1922.",3,SUPPORTS,"Len Reynolds (politician), Division of Barton, Bill Arthur",0.16737742646472986
"[Money, Money, Money] ""Money, Money, Money"" is a song recorded by Swedish pop group ABBA, written by Benny Andersson and Björn Ulvaeus. [Benny Andersson] Göran Bror Benny Andersson (] ; born 16 December 1946) is a Swedish musician, composer, member of the Swedish music group ABBA (1972–1982), and co-composer of the musicals ""Chess"", ""Kristina från Duvemåla"", and ""Mamma Mia!"" [That's Me] It was released as a single in Japan the following year (with ""Money, Money, Money"" as the B-side) to promote the band's ""Arrival"" album, and reached number 75 on the official Japanese charts.","[Benny Andersson] Benny Andersson (born June 15, 1946) is a Swedish musician, singer, songwriter, and record producer. [That's Me] ""That's Me"" is a song by the Swedish pop group ABBA, released in 1977. It was the B-side of the single ""The Name of the Game"".",3,SUPPORTS,"That's Me, Benny Andersson, Money, Money, Money",0.116677596049484
