True Evidence,Generated Evidence,Hops,Label,Topics,Precision,Recall,F1 Score
"[Duke University] Duke University is a private research university located in Durham, North Carolina. [Duke University] Founded by Methodists and Quakers in the present-day town of Trinity in 1838, the school moved to Durham in 1892. [Tufts University] Tufts College was founded in 1852 by Christian Universalists who worked for years to open a nonsectarian institution of higher learning. [James David Barber] From 1977 to 1995, he taught political science at Duke University. [Donald Sur] After receiving his doctorate from Harvard in 1972, he settled in Boston, Massachusetts, where many of his works were premiered and where he taught at several local universities, including Harvard, MIT, and Tufts.","[James David Barber] James David Barber (February 1, 1922 – October 28, 2004) was an American political scientist. He was a professor at the University of California, Berkeley and the University of Virginia. [Donald Sur] Donald Sur (born December 10, 1934) is an American political scientist. He is Professor Emeritus of Political Science at Boston University. [Boston University] Boston University (abbreviated BU) is a private research university located in Boston, Massachusetts.",4,SUPPORTS,"Duke University, James David Barber, Donald Sur, Tufts University",0.8622187376022339,0.839604914188385,0.8507615327835083
"[Lianzhou] Lianzhou (), formerly Lian County or Lianxian (postal: Linhsien), is a county-level city in northern Guangdong Province, China, under the administration of the prefecture-level city of Qingyuan. [Yancheng] Yancheng () is a prefecture-level city in northeastern Jiangsu province, People's Republic of China. [Lianjiang River] The river rises in Momianshi (磨面石) of Xingzi Town (星子镇) in Lianzhou county, and it runs generally northwest to southeast through Lianzhou, Yangshan and Yingde counties. [Zuoxiao Zuzhou] Zuoxiao Zuzhou () (b. Yancheng, March 4, 1970), real name Wu Hongjin, (吴红巾),is a Chinese musician and artist.","[Zuoxiao Zuzhou] Zuoxiao Zuzhou (Chinese: 左小左; born 1979 in Shanghai, China) is a Chinese actor. [Lianjiang River] The Lianjiang River is a river in Fujian, China. [Jiansu] Jian is a county-level city in Anhui Province, China. [Jiansu] Jiansu is a prefecture-level city in Anhui Province, China. [Jiansu] The city is divided into 10 towns and 1 township.",4,SUPPORTS,"Zuoxiao Zuzhou, Yancheng, Lianjiang River, Lianzhou",0.8972318768501282,0.8480168581008911,0.8719304203987122
"[Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and actor. [Ozzy Osbourne] He was fired from Black Sabbath in 1979 and went on to have a successful solo career, releasing 11 studio albums, the first seven of which were all awarded multi-platinum certifications in the US. [Curt Smith] As a solo artist, he has released four solo albums. [Change (Tears for Fears song)] Written by Roland Orzabal and sung by bassist Curt Smith, it was the band's fourth single release. [Mothers Talk] ""Mothers Talk"" is a 1984 song by the British band Tears for Fears.","[Mothers Talk] ""Mothers Talk"" is a song by the English rock band Genesis, written by guitarist Steve Hackett. [Change] ""Change"" is a song by the English rock band Genesis, written by guitarist Steve Hackett. [Rock singer John Michael ""Ozzy"" Osbourne] John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and television personality. [Ozzy Osbourne] He rose to fame as the lead singer of the rock band Black Sabbath, which he co-founded with guitarist and songwriter Tony Iommi. [Ozzy Osbourne] After leaving Black Sabbath, Osbourne had a successful solo career, releasing 12 studio albums, the first seven of which were all awarded multi-platinum, multi-gold or platinum status in the UK. [Ozzy Osbourne] Osbourne has been inducted into the US Rock and Roll Hall of Fame and the UK Music Hall of Fame. [Ozzy Osbourne] He has won a Grammy Award and an Ivor Novello Award. [Ozzy Osbourne] He has been featured in the music magazine Rolling Stone twice, once in their list of the 100 Greatest Singers of All Time and once as one of the 100 Greatest Guitar Players of All Time.",4,SUPPORTS,"Ozzy Osbourne, Curt Smith, Mothers Talk, Change (Tears for Fears song)",0.8757749795913696,0.9003360271453857,0.8878856897354126
"[A Wrinkle in Time (2018 film)] A Wrinkle in Time is an upcoming American science-fiction fantasy adventure film directed by Ava DuVernay and written by Jennifer Lee. [Home on the Range (2004 film)] Home on the Range is a 2004 American animated musical western comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. [Storm Reid] She is set to portray Meg Murry in ""A Wrinkle in Time"" (2018). [Chris Buck] He also worked as a supervising animator on ""Home on the Range"" (2004) and ""Pocahontas"" (1995).","2019 film directed by Ava DuVernay. [Chris Buck] Christopher ""Chris"" Buck (born June 25, 1960) is an American animator, director and producer, best known for his work at Walt Disney Feature Animation. [A Wrinkle in Time] A Wrinkle in Time is a 2018 American science fantasy film directed by Ava DuVernay, from a screenplay by Jennifer Lee, based on the 1962 novel of the same name by Madeleine L'Engle. [Storm Reid] Storm Reid (born July 1, 2001) is an American actress. [2004 film] The 2004 film that Chris Buck worked on as a supervising animator is an American science-fiction fantasy movie.",4,SUPPORTS,"Home on the Range (2004 film), A Wrinkle in Time (2018 film), Chris Buck, Storm Reid",0.8791418075561523,0.886044979095459,0.8825798630714417
"[Patrick McEnroe] Patrick John McEnroe (born July 1, 1966) is a former professional tennis player and the former captain of the United States Davis Cup team. [Billie Jean King] Billie Jean King (""née"" Moffitt; born November 22, 1943) is an American former World No. 1 professional tennis player. [1990 Newsweek Champions Cup – Doubles] Becker partnered Guy Forget, and they won the title, defeating Jim Grabb and Patrick McEnroe 4–6, 6–4, 6–3 in the final. [Larry King (tennis)] Larry King (born January 30, 1945) is an American attorney, a real estate broker, a promoter, one of the founders of World Team Tennis, and the former husband of tennis star Billie Jean King.","[Larry King] Larry King (born Larry Harvey Zeiger; November 19, 1933) is an American television and radio host, television producer, and paid commentator. [Larry King] King has hosted a wide range of television and radio programs, including the nightly interview television program Larry King Live, which ran from 1985 to 2010. [Larry King] King has won two Peabody Awards, an Emmy award, and ten CableACE Awards during his career. [Larry King] He has written two books, and a third, along with co-author Marc Mandel, is forthcoming. [Larry King] King was born in Brooklyn, New York, the son of Jennie (née Edelstein), a housewife, and Morton Benjamin Zeiger, a garment manufacturer. [Larry King] He is of Russian Jewish ancestry on his father's side, and of Eastern European Jewish ancestry on his mother's side. [Larry King] His family moved to Miami Beach, Florida in 1943, when Larry was 10 years old. [Larry King] King attended North Miami Beach High School, graduating in 1950. [Larry King] He attended Florida Southern College in Lakeland, Florida, on a baseball scholarship. [Larry King] He played on the school's baseball team, the Moccasins, and was a member of the Sigma Alpha Epsilon fraternity. [Larry King] He was a member of the Florida Southern baseball team that won the 1951 Junior College World Series, held in Wichita, Kansas. [Larry King] He was inducted into the Florida Southern College Athletic Hall of Fame in 1989. [Larry King] King's first wife was Annette Lynton, whom he married on May 25, 1961. [Larry King] They had two sons, Andy King and Chaim King, and divorced in 1963. [Larry King] He later married Sharon Shenck, with whom he had two children, Larry King Jr. and Chaia King. [Larry King] He married his fourth wife, former American Olympic figure skating champion Shawn Southwick, on July 16, 1",4,SUPPORTS,"Patrick McEnroe, Billie Jean King, Larry King (tennis), 1990 Newsweek Champions Cup – Doubles",0.7979739308357239,0.813558042049408,0.8056906461715698
"[Ray Wilson (musician)] Raymond Wilson (born 8 September 1968) is a Scottish musician, best known as vocalist in the post-grunge band Stiltskin, and in Genesis from 1996 to 1998. [Billy Idol] William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and actor. [Live and Acoustic (Ray Wilson album)] Live and Acoustic is the first live CD release from Ray Wilson. [Eyes Without a Face (song)] ""Eyes Without a Face"" is a song by English rock musician Billy Idol, from his second album ""Rebel Yell"" (1983).","[Rebel Yell] Rebel Yell is the third solo album by American rock musician Billy Idol, released on October 24, 1983, by Chrysalis Records. [Live and Acoustic] Live and Acoustic is the third solo album by American rock musician Billy Idol, released on March 23, 1993, by Chrysalis Records. [Billy Idol] William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and occasional actor. [Billy Idol] He first achieved fame in the 1970s as a member of the punk band Generation X. [Billy Idol] His solo album, Rebel Yell (1983), became a major hit, especially the single ""White Wedding"", which was a hit in the United Kingdom, the United States, and several other countries. [Billy Idol] His music video for the song ""Rebel Yell"" was a staple of MTV's early years. [Billy Idol] In 2006, Idol was ranked No. 89 on Rolling Stone's list of the 100 Greatest Artists of All Time. [Billy Idol] He was inducted into the Rock and Roll Hall of Fame in 2018.",4,SUPPORTS,"Live and Acoustic (Ray Wilson album), Ray Wilson (musician), Eyes Without a Face (song), Billy Idol",0.8711954355239868,0.8915297985076904,0.8812453150749207
"[Leaked in London] It was brought up because the band's third album, ""Infinity on High"", was leaked onto the internet on January 19, 2007, three weeks before its official scheduled release. [Infinity on High] Infinity on High is the third studio album by American rock band Fall Out Boy, released on February 6, 2007 by Island Records as the follow-up to the band's commercially successful 2005 album ""From Under the Cork Tree"". [The Take Over, the Breaks Over] """"The Take Over, the Breaks Over"""" (rendered with quotation marks as part of its title on the album track listing) is a song by American rock band Fall Out Boy and the fourth single from their third studio album ""Infinity on High"" (2007). [America's Suitehearts] ""America's Suitehearts"" is a song by American rock band Fall Out Boy and the second single taken from their fourth studio album, ""Folie à Deux"" (2008).","2007 was the 100th anniversary of the birth of the artist who composed the single. [The Take Over, the Breaks Over] The Take Over, the Breaks Over is a song by American hip hop group, The Roots, released as the lead single from their seventh album, Game Theory (2006). [The Roots] The Roots are a hip hop group, formed in 1987, consisting of Black Thought, Malik B, Leonard Hubbard, Kamal Gray, Frank Irwin, and Ahmir ""?uestlove"" Thompson. [Black Thought] Tariq ""Black Thought"" Trotter (born February 11, 1971) is an American rapper and actor. [The Roots] He is the lead MC of the Philadelphia-based group The Roots. [The Roots] He has also worked with such artists as Jay-Z, Eminem, Common, D'Angelo, John Legend, and Musiq Soulchild. [The Roots] Trotter is also the lead vocalist for the house band on Late Night with Jimmy Fallon. [The Roots] The Roots are known for their live performances, and their work with the Philadelphia Youth Orchestra. [The Roots] The Roots were formed in 1987 by Black Thought and Ahmir ""?uestlove"" Thompson. [The Roots] They were originally called The Square Room, but changed their name to The Roots when they signed with Geffen Records in 1993. [The Roots] The Roots' music is a mixture of live instrumentation, jazz, blues, gospel, soul, funk, and hip hop. [The Roots] The Roots' music is often considered to be more jazz-oriented than other hip hop acts. [The Roots] The group has also been known to perform with a live orchestra, as well as with a live band. [The Roots] The Roots have released seven albums: Organix (1993), Illadelph Halflife (1994), Do You Want More?!!!??! (1995), Things Fall Apart (1996), Illadelph Halflife 2 (1998), Phrenology (1999",4,SUPPORTS,"Leaked in London, The Take Over, the Breaks Over, Infinity on High, America's Suitehearts",0.8019022941589355,0.8476556539535522,0.8241444826126099
"[Maine School Administrative District 3] Maine School Administrative District 3 (MSAD 3) is an operating school district within Maine, covering the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity. [Unity, Maine] The population was 2,099 at the 2010 census. [Mount View High School (Maine)] The school is a part of Maine School Administrative District 3, and serves students from the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity and Waldo. [High Tide at Noon] ""High Tide at Noon"" was based on the first of a series of novels by Elisabeth Ogilvie, set in Maine.","1. [2010 population of Unity] The 2010 population of Unity is 2,099. [Mount View High School] Mount View High School is a public high school located in Thorndike, Maine. It is part of the Mount View School District. [Mount View High School] The school is located at 441 Main Road in Thorndike, and has an enrollment of approximately 370 students in grades 9-12. [Mount View High School] The school mascot is the Mustangs. [Mount View High School] The school colors are blue and white. [Mount View High School] The school's athletic teams are known as the Mustangs. [Mount View High School] The school's principal is Dr. Robert L. Sirois. [Mount View High School] Mount View High School is part of the Mount View School District, which also includes the schools of Thorndike Elementary School, Unity Elementary School, Unity Middle School, and Mount View Junior High School. [Mount View High School] Mount View High School is one of 44 high schools in the state of Maine. [Mount View High School] Mount View High School is a member of the Kennebec Valley Athletic Conference. [Mount View High School] Mount View High School is a member of the Maine Principals' Association. [Mount View High School] Mount View High School is a member of the National Federation of State High School Associations. [Mount View High School] Mount View High School is a member of the National Honor Society. [Mount View High School] Mount View High School is a member of the National Junior Honor Society. [Mount View High School] Mount View High School is a member of the National Society of High School Scholars. [Mount View High School] Mount View High School is a member of the National Honor Society. [Mount View High School] Mount View High School is a member of the National Junior Honor Society. [Mount View High School] Mount View High School is a member of the National Society of High School Scholars. [Mount View High School] Mount View High School is a member of the National Society of High School Scholars. [Mount View High School] Mount View High School is a member of the National Society of High School Scholars. [Mount View High School] Mount View High School is a member of the National Society of High School Schol",4,SUPPORTS,"Unity, Maine, Maine School Administrative District 3, Mount View High School (Maine), High Tide at Noon",0.8060013651847839,0.8398655652999878,0.8225851655006409
"[2009 St. Petersburg Bowl] The 2009 St. Petersburg Bowl presented by Beef 'O' Brady's, formerly known as the St. Petersburg Bowl, was the second edition of the college football bowl game and was played at Tropicana Field in St. Petersburg, Florida. [2009 St. Petersburg Bowl] Rutgers defeated UCF 45–24 in a game where Mohamed Sanu, the game's MVP, caught 4 passes for 97 yards and a touchdown in addition to rushing 14 times for 47 yards and two touchdowns. [Mohamed Sanu] Mohamed Sanu Sr. (born August 22, 1989) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [2009 Rutgers Scarlet Knights football team] The Scarlet Knights finished the season 9–4, 3–4 in Big East play and won the St. Petersburg Bowl, 45–24, over UCF. [2009 Big East Conference football season] The Big East Conference consists of 8 football members: Cincinnati, Connecticut, Louisville, Pittsburgh, Rutgers, South Florida, Syracuse, and West Virginia.","2009 Big East Conference football season [Big East Conference football season] The 2009 Big East Conference football season was the 2009–10 season of college football played by the Big East Conference. [2009 Big East Conference football season] The 2009 Big East Conference football season was the 2009–10 season of college football played by the Big East Conference. [2009 Big East Conference football season] The 2009 Big East Conference football season was the 2009–10 season of college football played by the Big East Conference. [Mohamed Sanu Sr] Mohamed Sanu Sr. (born January 22, 1988) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [2009 Big East Conference football season] The 2009 Big East Conference football season was the 2009–10 season of college football played by the Big East Conference. [Mohamed Sanu Sr] Mohamed Sanu Sr. (born January 22, 1988) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [Mohamed Sanu Sr] Mohamed Sanu Sr. (born January 22, 1988) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [Mohamed Sanu Sr] Mohamed Sanu Sr. (born January 22, 1988) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [Mohamed Sanu Sr] Mohamed Sanu Sr. (born January 22, 1988) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [Mohamed Sanu Sr] Mohamed Sanu Sr. (born January 22, 1988) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [Mohamed Sanu Sr] Mohamed Sanu Sr. (born January 22, 1988) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [Mohamed Sanu",4,SUPPORTS,"2009 Big East Conference football season, 2009 Rutgers Scarlet Knights football team, 2009 St. Petersburg Bowl, Mohamed Sanu",0.866838812828064,0.8176230192184448,0.8415119647979736
"[Louise (opera)] Louise is an opera (""roman musical"" ) in four acts by Gustave Charpentier to an original French libretto by the composer, with some contributions by Saint-Pol-Roux, a symbolist poet and inspiration of the surrealists. [Le roi malgré lui] Le roi malgré lui (""King in Spite of Himself"" or ""The reluctant king"") is an opéra-comique in three acts by Emmanuel Chabrier of 1887 with an original libretto by Emile de Najac and Paul Burani. [Julien (opera)] ""Julien"" is a sequel to Charpentier's ""Louise"" (1900) and describes the artistic aspirations of Louise’s suitor Julien. [Charles Rousselière] He sang in the world premieres of several operas, including the title role in Charpentier's ""Julien"" and Giorgio in Mascagni's ""Amica""","Le roi d'Ys is an opera in five acts by Jean-Philippe Rameau, to a libretto by Louis Fuzelier. [Charles Rousselière] Charles Rousselière (1689 – 1733) was a French actor and singer. [Charles Rousselière] He was a member of the Royal Academy of Music in Paris. [Charles Rousselière] He died in Paris. [Le roi malgré lui] Le roi d'Ys is an opera in five acts by Jean-Philippe Rameau, to a libretto by Louis Fuzelier. [Le roi malgré lui] It is the sequel to Le roi d'Ys. [Le roi malgré lui] It was first performed at the Opéra-Comique in Paris on 26 December 1751.",4,SUPPORTS,"Louise (opera), Julien (opera), Charles Rousselière, Le roi malgré lui",0.8709108829498291,0.8412837982177734,0.8558410406112671
