True Evidence,Generated Evidence,Hops,Label,Topics
"[Terri Nunn] Terri Kathleen Nunn (born June 26, 1961), is an American singer and actress. [Sonya Scarlet] Sonya Scarlet (born 2 April 1980) is the singer and lyricist of the Italian extreme gothic metal band Theatres des Vampires. [Information (Berlin album)] It was recorded during the period when Terri Nunn had temporarily left the band to pursue an acting career and Virginia Macolino performed the lead vocals.","[Sonya Scarlet] Sonya Scarlet (born 1993) is an English singer and songwriter from London, England. [Information (Berlin album)] Information is the third studio album by the German electronic music project, berlin, released on 29 September 2007 on City Slang.",3,SUPPORTS,"Information (Berlin album), Sonya Scarlet, Terri Nunn"
"[Carl Barât] Carlos Ashley Raphael Barât (born 6 June 1978) is a British musician, best known for being the co-frontman with Peter Doherty of the garage rock band The Libertines. [Carl Barât] He was the frontman and lead guitarist of Dirty Pretty Things, and in 2010 debuted a solo album. [Carl Barât] In 2014 he announced the creation of his new band, The Jackals. [Jesse Michaels] Jesse Michaels is a songwriter, vocalist, guitarist and artist from Berkeley, California. [Jesse Michaels] He is most well known as the vocalist for the ska punk band Operation Ivy. [Big Rig (band)] Big Rig was a punk band from the San Francisco Bay Area fronted by singer/songwriter Jesse Michaels.","[Carl Barât] Carl Barât (born 11 August 1977) is an English singer, songwriter, and guitarist, best known as the lead vocalist and guitarist of the English indie rock band The Libertines. [Big Rig] Big Rig is a punk band from the United Kingdom, formed in 1996 in London.",3,SUPPORTS,"Carl Barât, Jesse Michaels, Big Rig (band)"
"[James Schuyler] His awards include the Pulitzer Prize for Poetry for his 1980 collection ""The Morning of the Poem"". [H. G. Wells] His most notable science fiction works include ""The Time Machine"" (1895), ""The Island of Doctor Moreau"" (1896), ""The Invisible Man"" (1897), and ""The War of the Worlds"" (1898). [Darragh Park] Darragh Park (July 24, 1939 – April 17, 2009) was an American Artist, and the literary executor of the estate of Pulitzer Prize–winning poet James Schuyler.","[Darragh Park] Darragh Park is a British literary agent and the literary executor of the estate of Angela Carter. [H. G. Wells] Herbert George Wells (21 September 1866 – 13 August 1946), known as H. G. Wells, was an English writer, now best known for his work in the science fiction genre.",3,SUPPORTS,"Darragh Park, James Schuyler, H. G. Wells"
"[Enkianthus] Enkianthus is a genus of shrubs or small trees in the heath family (Ericaceae). [Scadoxus] Species of ""Scadoxus"" are grown as ornamental plants for their brilliantly coloured flowers, either in containers or in the ground in frost-free climates. [Enkianthus campanulatus] The hardiest of ""Enkianthus"" species is E. campanulatus (furin-tsutsuji or redvein enkianthus), a medium-sized, narrow, upright, deciduous shrub.","[Scadoxus] Scadoxus (also known as Haemanthus or Dracunculus) is a genus of flowering plants in the family Asphodelaceae, commonly known as ""Kaffir lilies"". [Enkianthus campanulatus] Enkianthus campanulatus, commonly known as the Chinese bellflower, is a species of flowering plant in the family Caryophylliaceae. [Small enough] While some species of Enkianthus are larger, Scadoxus is generally smaller, with most species growing to around 30–60 cm (12–24 in) in height and width. [Small enough] Scadoxus is a good choice for container gardening, as they are relatively small and can be easily grown in a variety of sizes.",3,SUPPORTS,"Enkianthus campanulatus, Scadoxus, Enkianthus"
"[Dave Peverett] David Jack Peverett (16 April 1943 – 7 February 2000), also known as Lonesome Dave, was an English singer and musician, best known as the original lead vocalist and rhythm guitarist of the rock band Foghat, which he founded following his tenure in Savoy Brown. [Jang Hyun-seung] Jang Hyun-seung (; born September 3, 1989) most often credited as Hyunseung, is a South Korean singer. [Zig-Zag Walk] Unlike the previous year's ""In the Mood for Something Rude"", which consisted of all outside material, lead singer Dave Peverett wrote five of the album's ten songs, with guitarist Erik Cartwright contributing a sixth.","[Jang Hyun-seung] Jang Hyun-seung (Korean: 장현승; born February 2, 1987) is a South Korean singer, rapper, and songwriter. [Zig-Zag Walk] Zig-Zag Walk is a 1983 single by the British band The Style Council.",3,SUPPORTS,"Jang Hyun-seung, Dave Peverett, Zig-Zag Walk"
"[Mount Ida] In Greek mythology, two sacred mountains are called Mount Ida, the ""Mountain of the Goddess"": Mount Ida in Crete; and Mount Ida in the ancient Troad region of western Anatolia (in modern-day Turkey) which was also known as the ""Phrygian Ida"" in classical antiquity and is the mountain that is mentioned in the Iliad of Homer and the Aeneid of Virgil. [Rhea (mythology)] Rhea ( ; Greek: Ῥέα , ] ) is a character in Greek mythology, the Titaness daughter of the earth goddess Gaia and the sky god Uranus, and sister and wife to Cronus. [Amari Valley] The Amari Valley is a fertile valley on the foothills of Mount Ida and Mount Kedros in Crete.",[Amari Valley] The Amari Valley is a valley in the district of Ampara in the Eastern Province of Sri Lanka. [Rhea] Rhea (Rhea silvana) is a species of bird in the family Rhipiduridae.,3,SUPPORTS,"Mount Ida, Amari Valley, Rhea (mythology)"
"[Massimo Giordano] Massimo Giordano (born 19 February 1971) is an Italian-born operatic tenor who is known for his bel canto repertoire. [Massimo Giordano] Giordano was born in Pompei, Italy into an Italian working-class family. [Pompei] Pompei (] ) is a city and ""comune"" in the Metropolitan City of Naples in Italy, home of the ancient Roman ruins part of the UNESCO World Heritage Sites. [Marcello Giordani] (He is not to be confused with another Italian tenor, Massimo Giordano, who toured with Anna Netrebko in 2009.)","Marcello Giordani (born January 29, 1960) is an Italian operatic tenor. [Marcello Giordani] Another Italian operatic tenor, Domenico Monks, was born in Naples. [Domenico Monks] Domenico Monks (born December 23, 1963) is an Italian operatic tenor. Marcello Giordani and Domenico Monks are two different people.",3,SUPPORTS,"Massimo Giordano, Marcello Giordani, Pompei"
"[Denzel Washington] Denzel Hayes Washington Jr. (born December 28, 1954) is an American actor, director, and producer. [David Hewlett] David Ian Hewlett (born 18 April 1968) is an English-born Canadian actor, writer, director, and voice actor best known for his role as Dr. Rodney McKay on the Canadian-American science fiction TV shows ""Stargate SG-1"", ""Stargate Atlantis"" and ""Stargate Universe"". [Herman Boone] Herman Ike Boone (born October 28, 1935) is a former American high school football coach, most famous for coaching the 1971 T. C. Williams High School football team to a 13-0 season, state championship, and national championship runner-up; the basis for the 2000 film ""Remember the Titans"" where Boone was portrayed by Denzel Washington.","[Warren Kole] Warren Kole (born December 7, 1977) is an American actor, known for his roles in the television series, 24 (2008–2009), and The Event (2010–2011). [David Hewlett] David Hewlett (born March 24, 1961) is a Canadian actor, known for his roles in the television series, Stargate SG-1 (2000–2006), and the film, Transformers (2007). [Herman Boone] Herman Boone is a fictional character portrayed by Cuba Gooding Jr in the 2000 film Remember the Titans.",3,SUPPORTS,"Denzel Washington, Herman Boone, David Hewlett"
"[43d Air Mobility Operations Group] The 43d Air Mobility Operations Group is an active duty air mobility unit at Pope Field, Fort Bragg, North Carolina (formerly Pope AFB), and is part of the Air Mobility Command (AMC) USAF Expeditionary Center. [Fort Bragg] Fort Bragg, North Carolina, is a military installation of the United States Army and is the largest military installation in the world (by population) with more than 50,000 active duty personnel. [43d Aeromedical Evacuation Squadron] It is part of the 43d Air Mobility Operations Group at Pope Army Air Field, North Carolina.","[43d Aeromedical Evacuation Squadron] The 43d Aeromedical Evacuation Squadron is a unit of the United States Air Force stationed at Joint Base San Antonio-Randolph, Texas. [Fort Bragg] Fort Bragg is a United States Army post located in Cumberland County, North Carolina, United States.",3,SUPPORTS,"43d Air Mobility Operations Group, Fort Bragg, 43d Aeromedical Evacuation Squadron"
"[Len Reynolds (politician)] In 1958, he was selected as the Labor candidate for the seat of Barton, which party leader H. V. Evatt was leaving as it was perceived to be too marginal. [Division of Barton] The Division of Barton is an Australian electoral division in the state of New South Wales. [Division of Barton] The division was created in 1922 and is named for Sir Edmund Barton, the first Prime Minister of Australia. [Bill Arthur] However, in 1966 he defeated Labor member Len Reynolds and was elected for the Liberal Party.","[Bill Arthur] William Arthur (1893 – 1958) was an Australian politician who served as a member of the Australian House of Representatives from 1949 to 1958, representing the Division of Batman. [Labor candidate] A Labor candidate is a candidate who is nominated and sponsored by the Australian Labor Party. [Division created in 1922] The Division of Batman was created in 1922, as one of the original 65 divisions contested at the first federal election in 1901.",3,SUPPORTS,"Division of Barton, Len Reynolds (politician), Bill Arthur"
"[Money, Money, Money] ""Money, Money, Money"" is a song recorded by Swedish pop group ABBA, written by Benny Andersson and Björn Ulvaeus. [Benny Andersson] Göran Bror Benny Andersson (] ; born 16 December 1946) is a Swedish musician, composer, member of the Swedish music group ABBA (1972–1982), and co-composer of the musicals ""Chess"", ""Kristina från Duvemåla"", and ""Mamma Mia!"" [That's Me] It was released as a single in Japan the following year (with ""Money, Money, Money"" as the B-side) to promote the band's ""Arrival"" album, and reached number 75 on the official Japanese charts.","[That's Me] ""That's Me"" is a song by the Swedish pop group ABBA, released in 1977. [Benny Andersson] Benny Andersson (born 15 December 1946) is a Swedish musician, singer, songwriter, and record producer. He is best known for being the lead singer, songwriter, and keyboardist of the pop group ABBA. [That's Me] ""That's Me"" was released as the B-side of the single ""The Name of the Game"".",3,SUPPORTS,"That's Me, Money, Money, Money, Benny Andersson"
"[Barbie Ferreira] Barbara ""Barbie"" Linhares Ferreira (born December 14, 1996) is an American model. [American Eagle Outfitters] American Eagle Outfitters is also the parent company of Aerie. [New American Music Union] The show was presented by American Eagle Outfitters and co-produced by Live Nation.","[Barbara Linares] Barbara Linares is an American fashion model and actress, best known for her appearances in the Sports Illustrated Swimsuit Issue, including the cover of the 2010 issue. [New American Music Union] New American Music Union is a record label and music publishing company based in New York City. [Aerie] Aerie is a clothing retailer that sells clothing, shoes, and accessories for women, men, and children.",3,SUPPORTS,"American Eagle Outfitters, New American Music Union, Barbie Ferreira"
"[La Senza] The La Senza brand is currently owned by L Brands which operates and owns La Senza stores in Canada and uses a franchise model for the operation of stores outside Canada. [L Brands] L Brands Inc. (formerly known as ""Limited Brands Inc"" and ""The Limited Inc."") is an American fashion retailer based in Columbus, Ohio. [Lauren Gold] Gold is most recognised as the DJ in Robbie Williams's ""Rock DJ"" music video as well as her recurring appearance in La Senza ad campaigns.","[Lauren Gold] Lauren Gold (born Lauren Ann Goldstein; August 28, 1986) is an American DJ, singer, and songwriter from New York. [Robbie Williams] Robert Peter Williams (born Robert Peter Tilbrook on 13 February 1976) is a British singer, songwriter, and actor. [Rock DJ (Williams song)] ""Rock DJ"" is a song by Robbie Williams released in 1996. Columbus is a city in and the county seat of Franklin County, Ohio, United States.",3,SUPPORTS,"La Senza, L Brands, Lauren Gold"
"[Fuyang] is a prefecture-level city in northwestern Anhui province, China. It [Gaozhou] Gaozhou is a county-level city in southwestern Guangdong Province, China. [Xincun, Anhui] Xincun is a township-level division situated in Funan County, Fuyang, Anhui, China.","Xincun is a township-level division situated in Wenxian County, in the province of Gansu, China. Gaozhou is a township-level division situated in Gaozhou District, in the province of Guangdong, China.",3,SUPPORTS,"Fuyang, Gaozhou, Xincun, Anhui"
