True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Collective for Living Cinema] The Collective for Living Cinema was an outpost of avant-garde cinema located on White Street in Lower Manhattan in the United States of America. [Dziga Vertov] Dziga Vertov (Russian: Дзига Вертов ; born David Abelevich Kaufman, Russian: Дави́д А́белевич Ка́уфман , and also known as Denis Kaufman; 2 January 1896 – 12 February 1954) was a Soviet pioneer documentary film and newsreel director, as well as a cinema theorist. [Made in Texas] In October 1981, director Jonathan Demme presented the Made in Texas - New Films From Austin series at the Collective for Living Cinema in New York City. [Italian futurism in cinema] It influenced Russian Futurist cinema (Lev Kuleshov, Dziga Vertov, Sergei Eisenstein, Vsevolod Pudovkin, Aleksandr Dovzhenko) and German Expressionism.","Jonathan Demme ( ; November 22, 1944 – April 26, 2017) was an American film director, producer, and screenwriter. [Jonathan Demme] Jonathan Julio Demme ( ; November 22, 1944 – April 26, 2017) was an American film director, producer, and screenwriter. [Made in Texas] Made in Texas is a 1999 American drama film directed by Jonathan Demme and written by Paul Haggis. [Denis Kaufman] Denis John Kaufman (27 February 1921 – 14 March 1985) was a British film director and producer. [Italian futurism in cinema] Italian futurism was an artistic and social movement that flourished in Italy between 1909 and 1945. It was founded by Filippo Tommaso Marinetti in 1909 and developed by Fortunato Depero, Giacomo Balla, Gino Severini, and other artists.",4,REFUTES,"Collective for Living Cinema, Italian futurism in cinema, Dziga Vertov, Made in Texas",0.24719100632685276,0.2857142857142857,0.21782178217821782,0.090497732593518,0.09900990099009901,0.08333333333333333,0.24719100632685276,0.2857142857142857,0.21782178217821782
"[Reno–Tahoe International Airport] Reno–Tahoe International Airport (IATA: RNO, ICAO: KRNO, FAA LID: RNO) is a public and military use airport located three nautical miles (6 km) southeast of downtown Reno, in Washoe County, Nevada. [Reno–Tahoe International Airport] It is the state's second busiest commercial airport after McCarran International Airport in Las Vegas. [Reno–Tahoe International Airport] It is named after Jesse L. Reno and Lake Tahoe. [Jesse L. Reno] Jesse Lee Reno (April 20, 1823 – September 14, 1862) was a career United States Army officer who served in the Mexican–American War, the Utah War, the western frontier, and as a Union General during the American Civil War. [Fort Reno (Oklahoma)] It is named for General Jesse L. Reno, who died at the Battle of South Mountain in the American Civil War. [Frank A. Keating] Major General Frank Augustus Keating (February 4, 1895 – April 28, 1973) was a career officer of the United States Army who commanded the 102nd Infantry Division during World War II, was Governor of the U.S. Zone of Germany, and was Chief U.S. Military Advisor to Korea.","[Frank Keating] Frank A. Keating (born 1944 in Oklahoma) is an American businessman and former politician who served as the 15th Commissioner of Internal Revenue (IRS) from 2004 to 2005. [Nevada's busiest commercial airport] McCarran International Airport (IATA: LAS, ICAO: KLAS, FAA LID: LAS) is the primary commercial airport in the Las Vegas Valley, serving Las Vegas, Nevada, United States. [Fort Reno] Fort Reno is a former United States Army post located in Oklahoma City, Oklahoma, United States. [Frank Keating] The fort was established in 1874 and was named after Major General Benjamin P. Keiley, a career military officer. [Frank Keating] Frank A. Keating is a former businessman and politician who served as the 15th Commissioner of Internal Revenue (IRS) from 2004 to 2005.",4,REFUTES,"Reno–Tahoe International Airport, Frank A. Keating, Fort Reno (Oklahoma), Jesse L. Reno",0.4387755053727614,0.5375,0.3706896551724138,0.13076922605355049,0.1717171717171717,0.10559006211180125,0.41836734210745524,0.5125,0.35344827586206895
"[Red House Painters] Red House Painters were an American rock band, formed in San Francisco, California in 1988. [Red House Painters] Guitarists Gorden Mack and Phil Carney both performed with the band during separate six-year tenures. [Daughtry (band)] Daughtry is an American rock band formed and fronted by namesake Chris Daughtry, who was a finalist on the fifth season of ""American Idol"". [Billy Anderson (producer)] He has worked with hundreds of bands over the past 29 years, including Neurosis, Swans, Melvins, Jawbreaker, Sleep, Brutal Truth, Buzzoven, Fantômas, Agalloch, Cattle Decapitation, Mr. Bungle, Asunder and Red House Painters. [Break the Spell Tour] Break the Spell Tour was the second headlining tour from record breaking American rock band Daughtry.","[Billy Anderson] Billy Anderson (born 1960) is a punk rock guitarist and producer, best known for his work with the bands Bad Brains and Minor Threat. [Gorden Mack] Gorden Mack (born 1960) is a punk rock guitarist and songwriter, best known for his work with the bands The Misfits and The Undead. [Break the Spell Tour] The Break the Spell Tour was a concert tour by the punk rock band My Chemical Romance, which took place in 2011.",4,REFUTES,"Billy Anderson (producer), Red House Painters, Daughtry (band), Break the Spell Tour",0.29999999536836736,0.4117647058823529,0.23595505617977527,0.11904761442247751,0.16393442622950818,0.09345794392523364,0.27142856679693883,0.37254901960784315,0.21348314606741572
"[MedStar Georgetown University Hospital] It is a not-for-profit, acute care teaching and research facility located in the Georgetown neighborhood of the Northwest Quadrant of Washington, D.C. MedStar Georgetown is co-located with the Georgetown University Medical Center and is affiliated with the Georgetown University School of Medicine. [Howard University Hospital] Howard University Hospital, previously known as Freedmen's Hospital, is a major hospital lcated in Washington, D.C., built on the site of the previous Griffith Stadium. [Michael Zasloff] He is currently Scientific Director, MedStar-Georgetown Transplant Institute, Georgetown University Hospital. [Haskell Small] Haskell ""Hal"" Small, born 3 June 1948, is a composer, pianist, and music teacher in Washington, D.C.","Howard University Hospital is located in Washington, D.C. [Howard University Hospital] Howard University Hospital is a teaching hospital located in Washington, D.C. [Michael Zasloff] Michael Zasloff is a former Scientific Director at the National Cancer Institute. [Regional medical center] A regional medical center is a medical facility that provides healthcare services to patients in a specific geographic area. It is possible that there are multiple regional medical centers located in different cities or regions. Without additional information, it is not possible to determine which medical center is being referred to in the claim.",4,REFUTES,"Haskell Small, Howard University Hospital, Michael Zasloff, MedStar Georgetown University Hospital",0.29850745771441306,0.3225806451612903,0.2777777777777778,0.1485714235990206,0.16049382716049382,0.13829787234042554,0.29850745771441306,0.3225806451612903,0.2777777777777778
"[Morgan Llywelyn] Morgan Llywelyn (born December 3, 1937) is an American-Irish historical fantasy, historical fiction, and historical non-fiction writer. [Robert Jordan] James Oliver Rigney Jr. (October 17, 1948 – September 16, 2007), better known by his pen name Robert Jordan, was an American author of epic fantasy. [Lion of Ireland] Lion of Ireland, by the American-Irish author Morgan Llywelyn, is a novel about the life of the Irish hero and High King Brian Boru. [One Power] In The Wheel of Time fantasy series by Robert Jordan, the One Power is a supernatural force which some characters can harness to perform feats of (magic).","[Robert Holdstock] Robert Holdstock (1948 – 1997) was a British science fiction and fantasy writer. [Lion of Ireland] Lion of Ireland is a science fiction novel by Robert Holdstock, published in 1978. [Wheel of Time] The Wheel of Time is a high fantasy epic series of 14 main books and several smaller works by American author James Mallory Owen (J.R.R. Tolkien) published since 1990.",4,REFUTES,"Morgan Llywelyn, Lion of Ireland, Robert Jordan, One Power",0.35114503341297126,0.45098039215686275,0.2875,0.12269938176069875,0.15873015873015872,0.1,0.3053435066954141,0.39215686274509803,0.25
"[Nam Woo-hyun] Nam Woo-hyun (Hangul: 남우현 ; Hanja: 南優賢 ; born February 8, 1991), commonly known by his mononym Woohyun, is a South Korean singer and actor with the boy band Infinite. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson; December 23, 1964) is an American musician, singer and songwriter best known as a member of the rock band Pearl Jam, with whom he performs lead vocals and is one of three guitarists. [Write.. (EP)] Write. [Write.. (EP)] . [Write.. (EP)] is the debut extended play by South Korean singer Woohyun. [Bad Radio] The band is most notable for having featured future Pearl Jam vocalist Eddie Vedder as its lead singer from 1988–1990.","1. [Bad Radio] Bad Radio is an American indie rock band from Pittsburgh, Pennsylvania, formed in 1993. [Write.. (EP)] Write.. is the debut extended play (EP) by the American indie rock band Bad Radio, released in 1995. [Bad Radio] The band was formed in 1993 by singer-songwriter John V.D. Kennedy, guitarist Joe Iadanza, and drummer Mike D. Kennedy. [John V.D. Kennedy] John V.D. Kennedy (born September 10, 1988) is an American singer-songwriter and musician from Pittsburgh, Pennsylvania. He is the lead singer of the indie rock band Bad Radio. [Bad Radio] Bad Radio's lead singer from 1988–1990 was born a decade before the band was formed.",4,REFUTES,"Nam Woo-hyun, Write.. (EP), Eddie Vedder, Bad Radio",0.3496503447581789,0.4098360655737705,0.3048780487804878,0.16842104768698077,0.18823529411764706,0.1523809523809524,0.3496503447581789,0.4098360655737705,0.3048780487804878
"[Lori Swanson] Lori Swanson (born December 16, 1966) from Eagan, Minnesota is the Attorney General of the US state of Minnesota. [Eagan, Minnesota] Eagan is a city in Dakota County, Minnesota, United States. [Minnesota Attorney General election, 2010] Incumbent Lori Swanson of the Minnesota Democratic–Farmer–Labor Party (DFL) won reelection to a second term. [G. Aaron Youngquist] He served as Minnesota Attorney General and as the Assistant U.S. Attorney General who successfully prosecuted Al Capone for federal income tax evasion.","[Aaron Youngquist] Aaron James Youngquist (born October 26, 1982 in Eagan, Minnesota) is an American politician and member of the Minnesota Democratic–Farmer–Labor Party (DFL). [Eagan, Minnesota] Eagan is a city in Dakota County, Minnesota, United States.",4,REFUTES,"Lori Swanson, G. Aaron Youngquist, Eagan, Minnesota, Minnesota Attorney General election, 2010",0.4842105217196676,0.6764705882352942,0.3770491803278688,0.29357797729147384,0.45714285714285713,0.21621621621621623,0.4631578901407203,0.6470588235294118,0.36065573770491804
"[Giacomo Meyerbeer] Giacomo Meyerbeer (born Jacob Liebmann Beer; 5 September 1791 – 2 May 1864) was a German opera composer of Jewish birth who has been described as perhaps the most successful stage composer of the nineteenth century. [Wolfgang Amadeus Mozart] Wolfgang Amadeus Mozart ( ; ; ] ; 27 January 1756 – 5 December 1791), baptised as Johannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the Classical era. [L'esule di Granata] L'esule di Granata (""The exile of Granada"") is a ""melodramma serio"" (serious opera ) in two acts by Giacomo Meyerbeer. [Serenade No. 6 (Mozart)] The Serenade No. 6 for Orchestra in D major K. 239, ""Serenata notturna"", was written by Wolfgang Amadeus Mozart in Salzburg, in 1776.","1. Wolfgang Amadeus Mozart (31 January 1756 – 5 December 1791) was a composer from the European classical tradition. 2. Evaristo Felice Dall'Abaco (c. 1615 – 1691) was an Italian composer, organist, and violinist of the Baroque period. 3. Ruggiero Ricci (born 1950) is an Italian composer and conductor. 4. L'esule di Granata (The Granada Student) is a cantata, K 135, by Wolfgang Amadeus Mozart.",4,REFUTES,"L'esule di Granata, Serenade No. 6 (Mozart), Giacomo Meyerbeer, Wolfgang Amadeus Mozart",0.30136985838900365,0.41509433962264153,0.23655913978494625,0.13714285260146952,0.19672131147540983,0.10526315789473684,0.30136985838900365,0.41509433962264153,0.23655913978494625
"[Wenling] Wenling (Wenling dialect: Uen-lin Zy ] ; ) is a coastal county-level city in the municipal region of Taizhou, in southeastern Zhejiang province, China. [Xinzheng] Xinzheng () is a small county-level city of Zhengzhou in the south of Henan province of Central China. [Jiangxia Tidal Power Station] The Jiangxia Tidal Power Station (江厦潮汐电站) is the fourth largest tidal power station in the world, located in Wuyantou, Wenling City, Zhejiang Province, China. [SIAS International University] Sias is located in the ancient city of Xinzheng, near Henan's capital, Zhengzhou.","🇨🇳 [Jiangxia Tidal Power Station] 🇨🇳 [Zhejiang Province] 🇨🇳 [SIAS International University] Jiangxia Tidal Power Station is a tidal power station located in Zhejiang Province, China. [Zhejiang Province] Zhejiang (; ; ; ) is a province on the east coast of China. [SIAS International University] SIAS International University is a private, non-profit university located in the city of Zhejiang.",4,REFUTES,"SIAS International University, Jiangxia Tidal Power Station, Xinzheng, Wenling",0.5154639128068871,0.6756756756756757,0.4166666666666667,0.2769230721550297,0.35294117647058826,0.22784810126582278,0.5154639128068871,0.6756756756756757,0.4166666666666667
"[Dan McCafferty] William Daniel ""Dan"" McCafferty (born 14 October 1946, Dunfermline, Scotland) is a Scottish vocalist, best known as the lead singer for the Scottish hard rock band Nazareth from its founding in 1968 to his retirement from touring with the band in 2013. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson; December 23, 1964) is an American musician, singer and songwriter best known as a member of the rock band Pearl Jam, with whom he performs lead vocals and is one of three guitarists. [Rock 'n' Roll Telephone] It is their last album with original singer Dan McCafferty who left the group before its release. [Billy Rankin (guitarist)] Best known for his work with Nazareth (1980–83 & 1990–94), he also had a successful solo career, including a US hit single ""Baby Come Back"".","[Billy Rankin] Billy Rankin (born January 2, 1950, in Gadsden, Alabama) is an American guitarist, best known as a member of the rock band, The Stray Cats. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson III, December 23, 1964, in Evanston, Illinois) is an American musician, best known as the lead vocalist, guitarist, and a founding member of the rock band, Pearl Jam. [Rock 'n' Roll Telephone] Rock 'n' Roll Telephone is the third studio album by the Canadian rock band, The Tragically Hip. It was released in 1998.",4,REFUTES,"Eddie Vedder, Billy Rankin (guitarist), Rock 'n' Roll Telephone, Dan McCafferty",0.429447847991268,0.546875,0.35353535353535354,0.212560381801209,0.2857142857142857,0.16923076923076924,0.4049079706906546,0.515625,0.3333333333333333
