True Evidence,Generated Evidence,Hops,Label,Topics,bartscore
"[Tura Beach, New South Wales] Tura Beach is suburb of Merimbula, on the South Coast of New South Wales, Australia, in the Bega Valley Shire local government area. [Merimbula] At the 2016 census , the population was 3,544. [Elwood Zimmerman] Elwood Curtin Zimmerman (born in Spokane, Washington on December 8, 1912; died in Tura Beach, New South Wales on June 18, 2004) was an American entomologist best known for his two multivolume series: ""Insects of Hawaii"" published by the University of Hawaiʻ i Press and ""Australian Weevils (Coleoptera: Curculionoidea)"" published by Australia's CSIRO.","Elwood Zimmerman (1923-1999) was an American entomologist who served as a professor at Cornell University. He was a prominent researcher in the field of insect ecology and behavior. [Town of 3,544] The town with a population of 3,544 at the 2016 census is likely a small town or village in a rural area.",3,REFUTES,"Tura Beach, New South Wales, Merimbula, Elwood Zimmerman",-4.192777156829834
"[Frailea] Frailea is a genus of globular to short cylindrical cacti native to Brazil. [Cyathodes] Cyathodes is a genus of shrubs within the heath family. [Frailea castanea] Frailea castanea is a species of Frailea found in Argentina, Brazil and Uruguay.","Cyathodes is a genus of plants in the family Cyathodiaceae. [Frailea castanea] Frailea castanea is a species of plant in the family Cactaceae. [Cyathodiaceae] The Cyathodiaceae are a family of filmy, often delicate, plants with branched or unbranched stems, usually with small leaves or spines. [Cactaceae] The Cactaceae are a family of plants in the order Cucurbitales, commonly known as cacti.",3,REFUTES,"Cyathodes, Frailea, Frailea castanea",-4.3198323249816895
"[Lulu (opera)] Theodor W. Adorno wrote ""The opera ""Lulu"" is one of those works that reveals the extent of its quality the longer and more deeply one immerses oneself in it."" [Theodor W. Adorno] Theodor W. Adorno ( ; ] ; born Theodor Ludwig Wiesengrund; September 11, 1903 – August 6, 1969) was a German philosopher, sociologist, and composer known for his critical theory of society. [Donald Gramm] "" Among the most notable of his many operatic roles were the title role in Verdi's ""Falstaff"", Leporello in Mozart's ""Don Giovanni"", and Dr. Schön and Jack the Ripper in Berg's ""Lulu"".","Theodor W. Adorno (1903 – 1969) was a German-American philosopher, sociologist, and cultural critic, known for his work in critical theory and the Frankfurt School. [Theodor W. Adorno] He was a member of the Frankfurt School of social theory and a prominent figure in the development of the critical theory movement. [Donald Gramm] Donald Gramm (1930 – 2009) was an American actor who appeared in numerous films and television shows throughout his career. [Jack the Ripper] Jack the Ripper is the pseudonym given to an unidentified serial killer who terrorized the Whitechapel area of London in the late 19th century.",3,REFUTES,"Donald Gramm, Lulu (opera), Theodor W. Adorno",-3.6679635047912598
"[Steyr Mannlicher] Originally part of Steyr-Daimler-Puch, it became independent when the conglomerate was broken up in 1989. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was a large manufacturing conglomerate based in Steyr, Austria, which was broken up in stages between 1987 and 2001. [Steyr SSG 08] The Steyr SSG 08 (German: Scharfschützengewehr 2008, English: Sniper Rifle 08) is a modern bolt-action sniper rifle developed and produced by Steyr Mannlicher in Austria.","Steyr-Daimler-Puch was a manufacturing conglomerate based in Austria that produced a wide range of products including automobiles, motorcycles, and firearms. [Steyr SSG 08] The Steyr SSG 08 is a bolt-action sniper rifle manufactured by Steyr-Daimler-Puch in Austria. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was a major manufacturer of firearms, including the Steyr SSG 08 sniper rifle, and other products such as automobiles, motorcycles, and agricultural equipment. [Steyr-Daimler-Puch] The company was broken up in stages between the years of 1987 and 2001. [Steyr-Daimler-Puch] The Steyr SSG 08 was produced by Steyr-Daimler-Puch between 1996 and 2001, when the company was broken up and the firearms division was sold to the Austrian company, Steyr Mannlicher. [Steyr SSG 08] The Steyr SSG 08 was produced by Steyr-Daimler-Puch between 1996 and 2001, when the company was broken up and the firearms division was sold to the Austrian company, Steyr Mannlicher.",3,REFUTES,"Steyr SSG 08, Steyr Mannlicher, Steyr-Daimler-Puch",-6.065517425537109
"[Andrew Stanton] His film work includes writing and directing Pixar's ""A Bug's Life"" (1998) (as co-director), ""Finding Nemo"" (2003), and ""WALL-E"" (2008), and the live-action film, Disney's ""John Carter"" (2012). [A Bug's Life] Directed by John Lasseter, the film involves a misfit ant named Flik that is looking for ""tough warriors"" to save his colony from greedy grasshoppers, only to recruit a group of bugs that turn out to be an inept circus troupe. [Finding Dory] Directed by Andrew Stanton with co-direction by Angus MacLane, the screenplay was written by Stanton and Victoria Strouse.","[Andrew Stanton] Andrew Stanton (born September 30, 1965) is an American film director, screenwriter, and producer. [Finding Dory] Finding Dory is a 2016 American 3D computer-animated comedy-adventure film directed by Andrew Stanton, co-directed by Lee Unkrich, and produced by Pixar Animation Studios. [A Bug's Life] A Bug's Life is a 2002 American computer-animated comedy-adventure film directed by John Lasseter, Andrew Stanton, and Lee Unkrich.",3,REFUTES,"A Bug's Life, Andrew Stanton, Finding Dory",-3.351687431335449
"[Yorkshire Terrier] The Yorkshire Terrier is a small dog breed of terrier type, developed during the 19th century in Yorkshire, England, to catch rats in clothing mills. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small spaniel classed as a toy dog by The Kennel Club and the American Kennel Club. [Hypoplasia of dens] It is more commonly seen in certain breeds, including the Chihuahua, the Papillon, the Pointer and the Yorkshire Terrier.","[Kennel Club] The Kennel Club (KC) is the main organization for kennel clubs and dog breeding in the United Kingdom and Ireland. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small dog breed of the King Charles Spaniel type, which was popularized in the 16th century by King Charles I of England. [Kennel Club of Dens] Dens are small enclosures used for housing dogs, typically in a kennel or dog house.",3,REFUTES,"Cavalier King Charles Spaniel, Hypoplasia of dens, Yorkshire Terrier",-3.1103224754333496
"[Eddie Cahill] Edmund Patrick ""Eddie"" Cahill (born January 15, 1978) is an American actor best known for portraying ""Miracle on Ice"" goalie Jim Craig in the movie ""Miracle"", and for playing the roles of Tag Jones on ""Friends"" and Detective Don Flack on ""."" [Jim Craig (ice hockey)] James Downey Craig (born May 31, 1957) is a retired American ice hockey goaltender who is most notable for being part of the 1980 U.S. Olympic hockey team that won the Olympic gold medal at the Lake Placid Winter Games. [Glory Days (2002 TV series)] The series was created by Kevin Williamson, and stars Eddie Cahill and Poppy Montgomery.","[Mike Lipscomb] Mike Lipscomb (born November 18, 1952 in Toronto, Ontario) is a Canadian retired professional ice hockey goaltender who played for the Toronto Maple Leafs, Detroit Red Wings, and St. Louis Blues in the National Hockey League (NHL). [Glory Days (TV series)] Glory Days is a 2002 American television series that aired on NBC from February 11 to May 13, 2002. The show was created by Brad Silberling and starred actors like Kevin Costner, Luke Wilson, and Rosario Dawson.",3,REFUTES,"Glory Days (2002 TV series), Jim Craig (ice hockey), Eddie Cahill",-3.7179009914398193
"[Excuse My French (album)] Excuse My French is the debut studio album by American rapper French Montana. [Excuse My French (album)] The album features guest appearances from Diddy, Nicki Minaj, Drake, Ace Hood, Lil Wayne, Birdman, The Weeknd, Rick Ross, 2 Chainz, Max B, Ne-Yo, Machine Gun Kelly, Raekwon, Scarface and Snoop Dogg, among others. [Machine Gun Kelly (rapper)] Richard Colson Baker (born April 22, 1990), better known by his stage names MGK and Machine Gun Kelly, is an American rapper and actor, from Cleveland, Ohio. [Pop That] Released as the first single from his debut studio album ""Excuse My French"" (2013), it features guest appearances from fellow rappers Rick Ross, Drake and Lil Wayne.","[Chamillionaire] Chamillionaire (born Brian McCarty, August 28, 1982, in Cleveland, Ohio) is an American rapper, singer, songwriter, and actor. [Neptunes] The Neptunes are an American hip hop production team and record label, founded in 1994 by Pharrell Williams and Chad Hugo. [Pop That] Pop That is a single by American rapper and singer Ginuwine, released on August 26, 2000, from his debut studio album Ginuwine...the Bachelor (2000).",3,REFUTES,"Excuse My French (album), Pop That, Machine Gun Kelly (rapper)",-3.717076301574707
"[2014 in video gaming] In addition, it saw the release of many new intellectual properties, such as ""Destiny"", ""Five Nights at Freddy's,"" ""Sunset Overdrive"", ""Titanfall"", ""The Evil Within"" and ""Watch Dogs"". [Five Nights at Freddy's (video game)] The game centers around a fictional pizza restaurant called ""Freddy Fazbear's Pizza"", where the player must act as a night security guard, defending themselves from the malfunctioning, haunted animatronic characters by tracking their movement through the facility using security cameras. [Five Nights at Freddy's 2] It is the second game in the ""Five Nights at Freddy's"" series, and is chronologically set before the events of the first game.","[Five Nights at Freddy's 2] Five Nights at Freddy's 2 is the sequel to the original game, released in 2014. [New intellectual property] The game was released as a new intellectual property in 2014.",3,REFUTES,"2014 in video gaming, Five Nights at Freddy's (video game), Five Nights at Freddy's 2",-3.0990986824035645
"[Conspirare] Conspirare has commissioned works from composers including David Lang, Tarik O'Regan, Jocelyn Hagen, Donald Grantham, Eric Whitacre, Nico Muhly, Mark Adamo, Robert Kyr, Jake Heggie, Eric Banks, and Jake Runestad. [Eric Whitacre] Eric Edward Whitacre (born January2, 1970) is a Grammy-winning American composer, conductor, and speaker, known for his choral, orchestral and wind ensemble music. [Eric Whitacre] He is also known for his ""Virtual Choir"" projects, bringing individual voices from around the globe together into an online choir. [Tarik O'Regan: Threshold of Night] Tarik O'Regan: Threshold of Night is the third release by the choral group Conspirare and the second recording of the work of Tarik O'Regan.","[Eric Whitacre] Eric Edward Whitacre (born February 9, 1970) is an American composer, conductor, and teacher. [Lund Chamber Choir] The Lund Chamber Choir is a chamber choir based in Lund, Sweden. [Tarik O'Regan] Tarik O'Regan (born 1978) is a British composer and organist. [Threshold of Night] Threshold of Night is an album by the Austin-based ensemble, released in 2016.",3,REFUTES,"Conspirare, Tarik O'Regan: Threshold of Night, Eric Whitacre",-2.5693109035491943
