True Evidence,Generated Evidence,Hops,Label,Topics,bartscore
"[Canine follicular dysplasia] Certain breeds, such as the Mexican Hairless Dog and Chinese Crested Dog, are bred specifically for alopecia. [Mexican Hairless Dog] The Xoloitzcuintli ( ; Nahuatl pronunciation: ), or Xolo for short, is a hairless breed of dog, found in toy, miniature, and standard sizes.","1. The Chinese Crested Dog has a hairless body. 2. The Xoloitzcuintli has a hairless body. EVIDENCE: [Chinese Crested Dog] The Chinese Crested Dog is a hairless breed, with a crest of fur on the top of its head and a plume on its tail. [Xoloitzcuintli] The Xoloitzcuintli (Mexican Hairless Dog) is a rare and ancient dog breed that is native to Mexico. It comes in three sizes: Toy, Miniature, and Standard, and is known for its hairless body.",2,SUPPORTS,"Mexican Hairless Dog, Canine follicular dysplasia",-5.868623733520508
"[SAS Technical Services] The company is owned by the SAS Group and provides technical maintenance of aircraft to airlines in and outside the SAS Group. [SAS Technical Services] It is headquartered at Arlanda outside Stockholm and has 3,600 employees. [SAS Group] Scandinavian Airlines System Aktiebolag (, Nasdaq: SAS , ), trading as SAS Group and SAS AB, is an airline holding company headquartered in the SAS Frösundavik Office Building in Solna Municipality, Sweden. [SAS Group] It also owns the aviation services companies SAS Business Opportunities, SAS Cargo Group, SAS Ground Services, and SAS Technical Services. [SAS Group] SAS Group is partially owned by the governments of Sweden, Denmark, and Norway, with a 21.4%, 14.3%, and 14.3% ownership, respectively.","📚 [SAS Group] SAS Group is a Swedish airline holding company headquartered in Solna Municipality, Sweden. The company operates in Scandinavia, Europe, North America, South America, and Asia. [SAS Group] In addition to its airline operations, SAS Group also owns a technical aircraft maintenance company located in Arlanda, Sweden. [SAS Group] SAS Group has been recognized for its commitment to sustainability and has been named one of the most sustainable companies in the world by the Dow Jones Sustainability Index.",2,SUPPORTS,"SAS Technical Services, SAS Group",-2.6895675659179688
"[Merrick Boulevard buses] The Q5 and Q85 bus routes constitute a public transit corridor running along Merrick Boulevard in Southeastern Queens, New York City, United States. [Merrick Boulevard buses] The routes run from the Jamaica Center transit hub and business district to Rosedale, with continued service to the Green Acres Mall shopping center in Nassau County. [Green Acres Mall] Green Acres Mall is an indoor shopping mall located in South Valley Stream, New York, off Sunrise Highway in Nassau County right off the border of New York City and the Incorporated Village of Valley Stream (part of the parking lot and stores on the north side of the property are in the Village, while the mall itself is in an unincorporated hamlet of the Town of Hempstead). [Green Acres Mall] The mall has a gross leasable area (GLA) of 1800000 sqft .","1800000 sqft is a gross leasable area of the Aventura Mall, which is served by the Merrick Boulevard buses. [Aventura Mall] Aventura Mall is a shopping mall located in Aventura, Florida, United States. [Merrick Boulevard] Merrick Boulevard is a major street in the South Florida region, running through the cities of Hollywood, Plantation, and Aventura.",2,SUPPORTS,"Merrick Boulevard buses, Green Acres Mall",-3.4364569187164307
"[Robert Purcell (virologist)] Robert H. Purcell (born 19 December 1935) is a virologist who, together with Stephen Feinstone and Albert Kapikian, co-identified the Hepatitis A virus (HAV) in 1973. [Hepatitis A] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.","Robert Purcell was a British epidemiologist who identified the virus in 1971. [Robert Purcell] Robert Purcell (1933-2017) was a British epidemiologist and virologist who identified the virus in 1971. [Symptoms of Hepatitis B] Hepatitis B is a viral infection that can cause a range of symptoms, including nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.",2,SUPPORTS,"Robert Purcell (virologist), Hepatitis A",-2.9561240673065186
"[Rock (Nominees) Ltd v RCO Holdings Ltd] RCO itself was in the cleaning, catering and security porterage business. [ISS A/S] ISS services include: cleaning services, support services, property services, catering services, security services and facility management services.","🔍 Rock Nominees Ltd: [Rock Nominees Ltd] Rock Nominees Ltd is a limited liability company registered in Scotland (SC347877) and provides cleaning, catering, and security services to the entertainment industry. 🔍 ISS A/S (Integrated Service Solutions): [ISS A/S (Integrated Service Solutions)] ISS A/S (Integrated Service Solutions) is a Danish company providing cleaning, catering, and security services to the entertainment industry.",2,SUPPORTS,"ISS A/S, Rock (Nominees) Ltd v RCO Holdings Ltd",-5.820051670074463
"[Both Sides Now (Joni Mitchell album)] The album won two Grammy awards in 2001 for Best Traditional Pop Vocal Album and Best Instrumental Arrangement Accompanying Vocalist(s) for the song ""Both Sides, Now"". [Both Sides, Now] ""Both Sides, Now"" is a song by Joni Mitchell, and one of her best-known songs. [Both Sides, Now] She re-recorded the song in a lusher, orchestrated version for her 2000 album ""Both Sides Now""; this version was subsequently featured on the soundtrack to the 2003 film ""Love Actually"" and was performed by Sara Bareilles during the 89th Academy Awards' ""In Memoriam"" homage.","1. [Love Actually: Original Motion Picture Soundtrack] The album Love Actually: Original Motion Picture Soundtrack, released in 2003, won two Grammy Awards for Best Compilation Soundtrack for Visual Media and Best Song Written for a Motion Picture, Theater or Choral Performance. [Joni Mitchell] Joni Mitchell is a Canadian singer-songwriter and musician known for her unique vocal style and poetic lyrics. [Love Actually] Love Actually is a 2003 romantic comedy film directed by Richard Curtis and featuring an ensemble cast, including Hugh Grant, Liam Neeson, Colin Firth, and Keira Knightley.",2,SUPPORTS,"Both Sides, Now, Both Sides Now (Joni Mitchell album)",-4.3642497062683105
"[Texas A&amp;M Aggies football] The Texas A&M Aggies football program represents Texas A&M University in the sport of American football. [Texas A&amp;M Aggies football] Kevin Sumlin is currently the team's head coach. [Kevin Sumlin] Previously, Sumlin was the head football coach at the University of Houston from 2007 to 2011.","[Kevin Sumlin] Kevin Sumlin is an American football coach who is currently the head coach of the Texas A&M Aggies football team. [Kevin Sumlin] He served as the head football coach at the University of Houston from 2007 to 2011, leading the Cougars to two bowl game appearances. [Kevin Sumlin] Prior to his time at Houston, Sumlin was an offensive coordinator at Oklahoma, where he worked with quarterback Sam Bradford.",2,SUPPORTS,"Texas A&amp;M Aggies football, Kevin Sumlin",-2.6047093868255615
"[The Daily Howler] The Daily Howler is an American political blog written by Bob Somerby. [The Daily Howler] Despite being left of center in his politics, Somerby mainly critiques liberals in the U.S. mainstream media who he feels do poor journalism, such as Rachel Maddow and Keith Olbermann, both of MSNBC. [Rachel Maddow] Rachel Anne Maddow ( , ; born April 1, 1973) is an American television host, political commentator, and author.","Anne Gorsuch is a journalist for MSNBC and has been critiqued on the Daily Howler. [Anne Gorsuch] Anne Gorsuch is a journalist for MSNBC and has been critiqued on the Daily Howler, a political blog that monitors and analyzes the media. [The Daily Howler] The Daily Howler is a political blog that monitors and analyzes the media, particularly the mainstream media and its coverage of politics and government. [Anne Gorsuch]",2,SUPPORTS,"Rachel Maddow, The Daily Howler",-3.8592870235443115
"[Madonna (entertainer)] Madonna Louise Ciccone ( ; born August 16, 1958) is an American singer, songwriter, actress, and businesswoman. [William Friedkin] William Friedkin (born August 29, 1935) is an American film director, producer and screenwriter best known for directing ""The French Connection"" in 1971 and ""The Exorcist"" in 1973; for the former, he won the Academy Award for Best Director.","🔍 Madonna and William Friedkin are both American. 🇺🇸 [Madonna] Madonna Ciccone is an American singer, songwriter, actress, and entrepreneur. 🎤 [William Friedkin] William Friedkin is an American film director, producer, and screenwriter. 🎬",2,SUPPORTS,"Madonna (entertainer), William Friedkin",-4.309025764465332
"[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton, a city in Augusta County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport 7 mi west of downtown Santa Barbara, California, United States.","🚨 [Shenandoah Valley Regional Airport] 🇺🇸 Shenandoah Valley Regional Airport (SHD) is a public airport located in Winchester, Virginia, United States. [Santa Barbara Municipal Airport] 🇺🇸 Santa Barbara Municipal Airport (SBA) is a public airport located in Santa Barbara, California, United States.",2,SUPPORTS,"Shenandoah Valley Regional Airport, Santa Barbara Municipal Airport",-3.0637099742889404
"[Fucking Hell] Fucking Hell is a German Pilsner or pale lager with an alcohol content of 4.9%. [Fucking Hell] The beer's name was initially controversial. [Fucking, Austria] The village is 33 km north of Salzburg, 4 km east of the Inn river, which forms the German border.","🇦🇹 The village of Pilsen in Austria is located 33km north of Salzburg. [Pilsen (Austria)] Pilsen is a village in the district of Salzburg, Austria, located 33 kilometers north of the city of Salzburg. [Salzburg] Salzburg is a state in Austria located in the western part of the country, known for its baroque architecture, scenic Alpine surroundings, and cultural heritage.",2,SUPPORTS,"Fucking Hell, Fucking, Austria",-3.858618974685669
"[Guitar World] Guitar World is a monthly music magazine devoted to guitarists, published since July 1980. [Golf Digest] Golf Digest is a monthly golf magazine published by Condé Nast Publications in the United States. [Golf Digest] The magazine started in 1950, and was sold to The New York Times Company in 1969. [Golf Digest] The headquarters of ""Golf Digest"" is in Des Moines, Iowa.","Golf Digest was founded in 1935, and Guitar World was founded in 1980.",2,SUPPORTS,"Golf Digest, Guitar World",-4.123862266540527
"[Gordonia (plant)] Gordonia is a genus of flowering plants in the family Theaceae, related to ""Franklinia"", ""Camellia"" and ""Stewartia"". [Osbeckia] Osbeckia is a genus of plants in the family Melastomataceae.","1. Gordonia is a genus of plants in the family Gordoniaceae. 2. Osbeckia is a genus of plants in the family Sparrmanniaceae. [Gordonia] Gordonia is a genus of plants in the family Gordoniaceae. [Osbeckia] The family Gordoniaceae is a group of flowering plants, commonly known as the Gordonia family. The family Sparrmanniaceae, on the other hand, is a group of flowering plants commonly known as the Sparrmanniaceae family.",2,SUPPORTS,"Osbeckia, Gordonia (plant)",-7.2615580558776855
"[Jean-Sébastien Bérubé] Jean-Sébastien Bérubé (born July 20, 1990) is a Canadian professional ice hockey player who is currently playing for the Albany Devils in the American Hockey League (AHL). [Jean-Sébastien Bérubé] He was selected by the New Jersey Devils in the 7th round (205th overall) of the 2008 NHL Entry Draft. [New Jersey Devils] Beginning with the 2007–08 season, the Devils relocated to Newark and now play their home games at the Prudential Center.","2008 NHL Entry Draft The New Jersey Devils selected David Bolin in the 7th round (189th overall) of the 2008 NHL Entry Draft. [New Jersey Devils] The New Jersey Devils are a professional ice hockey team based in Newark, New Jersey. They are members of the National Hockey League (NHL). [David Bolin] David Bolin is a Canadian professional ice hockey player who currently plays for the Milwaukee Admirals of the American Hockey League (AHL).",2,SUPPORTS,"New Jersey Devils, Jean-Sébastien Bérubé",-3.117412567138672
[Collins and Maconie's Hit Parade] There were 74 hour-long episodes and it was broadcast on BBC Radio 1. [Stuart Maconie] The pair had previously presented an evening show on BBC Radio 2.,"[Andrew Collins] Andrew Collins is a British radio presenter, producer, and writer who has worked for various BBC radio stations since 1988. [Stuart Maconie] Stuart Maconie is a British radio presenter, writer, and broadcaster who has worked for various BBC radio stations since 1988. [Andrew Collins] Collins and Maconie both worked together at BBC Radio 1 from 1994 to 1997, hosting the Hit Parade show.",2,SUPPORTS,"Collins and Maconie's Hit Parade, Stuart Maconie",-11.302603721618652
"[Jack Reacher (film)] Jack Reacher (formerly called One Shot, or alternatively known as Jack Reacher: One Shot) is a 2012 American action thriller film written and directed by Christopher McQuarrie, based on Lee Child's 2005 novel ""One Shot"". [Jack Reacher (film)] The film stars Tom Cruise as the title character, with Rosamund Pike, David Oyelowo, Richard Jenkins, Jai Courtney, Werner Herzog and Robert Duvall also starring. [Rosamund Pike] Following her breakthrough, she won the BIFA Award for Best Supporting Actress for ""The Libertine"" (2004) and portrayed Jane Bennet in ""Pride & Prejudice"" (2005).","[Keira Knightley] Keira Knightley played the role of Jane Bennet in the 2005 film ""Pride & Prejudice"". [Keira Knightley] She also appeared alongside Tom Cruise in the 2013 film ""Jack Reacher"", which was directed by Christopher McQuarrie and based on the novel ""One Shot"" by Lee Child. [Christopher McQuarrie] Christopher McQuarrie is an American director, producer, and screenwriter, known for directing the films ""The Usual Suspects"" (1995), ""Edge of Tomorrow"" (2014), and ""Mission: Impossible - Rogue Nation"" (2015). [Lee Child] Lee Child is a British author of thriller novels, best known for his Jack Reacher series, which includes ""One Shot"" (2005).",2,SUPPORTS,"Jack Reacher (film), Rosamund Pike",-3.391195058822632
"[Alan Campbell (actor)] Bruce Alan Campbell (born April 22, 1957), credited professionally as Alan Campbell, is an American television, film and stage actor who is best known for his roles as Derek Mitchell in the 1987–1992 CBS series ""Jake and the Fatman"" and as E.Z. Taylor on the short-lived 1984–1985 ""Three's Company"" spin-off ""Three's a Crowd"". [Jake and the Fatman] Jake and the Fatman is a television crime drama starring William Conrad as prosecutor J. L. (Jason Lochinvar) ""Fatman"" McCabe and Joe Penny as investigator Jake Styles.","Joe Penny is an American actor, best known for his role as Jake Styles on the CBS television network show, Riptide. [Joe Penny] Joe Penny (born December 21, 1956) is an American actor, best known for his role as Jake Styles on the CBS television network show, Riptide. [Riptide] Riptide is a Canadian television series that aired from 1983 to 1986 on the CBS television network.",2,SUPPORTS,"Alan Campbell (actor), Jake and the Fatman",-3.8825385570526123
