True Evidence,Generated Evidence,Hops,Label,Topics,bleu_score
"[Duke University] Duke University is a private research university located in Durham, North Carolina. [Duke University] Founded by Methodists and Quakers in the present-day town of Trinity in 1838, the school moved to Durham in 1892. [Tufts University] Tufts College was founded in 1852 by Christian Universalists who worked for years to open a nonsectarian institution of higher learning. [James David Barber] From 1977 to 1995, he taught political science at Duke University. [Donald Sur] After receiving his doctorate from Harvard in 1972, he settled in Boston, Massachusetts, where many of his works were premiered and where he taught at several local universities, including Harvard, MIT, and Tufts.","🔵 [James David Barber] James David Barber (1923-2004) was an American political scientist, who taught at several universities, including the University of Chicago (1955-1968), Harvard University (1968-1977), and the University of California, Berkeley (1977-1995). [Donald Sur] Donald Sur (1925-2017) was an American political scientist, who taught at Boston University (1960-1987) and Harvard University (1987-1995) after settling in Boston, Massachusetts.",4,SUPPORTS,"Donald Sur, James David Barber, Duke University, Tufts University",0.09549043854870773
"[Lianzhou] Lianzhou (), formerly Lian County or Lianxian (postal: Linhsien), is a county-level city in northern Guangdong Province, China, under the administration of the prefecture-level city of Qingyuan. [Yancheng] Yancheng () is a prefecture-level city in northeastern Jiangsu province, People's Republic of China. [Lianjiang River] The river rises in Momianshi (磨面石) of Xingzi Town (星子镇) in Lianzhou county, and it runs generally northwest to southeast through Lianzhou, Yangshan and Yingde counties. [Zuoxiao Zuzhou] Zuoxiao Zuzhou () (b. Yancheng, March 4, 1970), real name Wu Hongjin, (吴红巾),is a Chinese musician and artist.","📌 Zuoxiao Zuzhou (驯小猪) is a Chinese actor and singer who was born in Jiansu, China. 📌 Jiansu is a prefecture-level city in Jiangsu Province, China. 📌 The Lianjiang River is a river located in Jiansu, China.",4,SUPPORTS,"Lianjiang River, Yancheng, Zuoxiao Zuzhou, Lianzhou",0.03159093572853144
"[Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and actor. [Ozzy Osbourne] He was fired from Black Sabbath in 1979 and went on to have a successful solo career, releasing 11 studio albums, the first seven of which were all awarded multi-platinum certifications in the US. [Curt Smith] As a solo artist, he has released four solo albums. [Change (Tears for Fears song)] Written by Roland Orzabal and sung by bassist Curt Smith, it was the band's fourth single release. [Mothers Talk] ""Mothers Talk"" is a 1984 song by the British band Tears for Fears.","1. [Mothers Talk] The song ""Mothers Talk"" by the band, was released in 1992. 2. [Change] The song ""Change"" by the band, was released in 1994. 3. [Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born December 3, 1948) is a British heavy metal singer, songwriter, and television personality. He rose to fame in the early 1980s as the lead vocalist of the heavy metal band Black Sabbath, and went on to have a successful solo career.",4,SUPPORTS,"Curt Smith, Ozzy Osbourne, Mothers Talk, Change (Tears for Fears song)",0.2684214315364866
"[A Wrinkle in Time (2018 film)] A Wrinkle in Time is an upcoming American science-fiction fantasy adventure film directed by Ava DuVernay and written by Jennifer Lee. [Home on the Range (2004 film)] Home on the Range is a 2004 American animated musical western comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. [Storm Reid] She is set to portray Meg Murry in ""A Wrinkle in Time"" (2018). [Chris Buck] He also worked as a supervising animator on ""Home on the Range"" (2004) and ""Pocahontas"" (1995).","🎥 [Storm Reid] Storm Reid is an American actress, born on July 1, 1991, in Atlanta, Georgia, USA. She is known for her roles in the movies, When They See Us (2019), A Wrinkle in Time (2018), and The Hate U Give (2018). 🎥 [Chris Buck] Chris Buck is a Canadian-American animator, director, and producer. He is best known for his work on the Disney animated features, including the supervising animation of the 2004 film, ""Chicken Little."" 🎥 [Movie] The 2004 film ""Chicken Little"" is an American science-fiction fantasy movie directed by Mark Kennedy and produced by Peter Schneider. The movie follows the story of a chicken named Chicken Little, who is convinced that the sky is falling after an asteroid hits his house. The movie was released in theaters on November 4, 2004.",4,SUPPORTS,"Chris Buck, Home on the Range (2004 film), A Wrinkle in Time (2018 film), Storm Reid",0.10613777057933246
"[Patrick McEnroe] Patrick John McEnroe (born July 1, 1966) is a former professional tennis player and the former captain of the United States Davis Cup team. [Billie Jean King] Billie Jean King (""née"" Moffitt; born November 22, 1943) is an American former World No. 1 professional tennis player. [1990 Newsweek Champions Cup – Doubles] Becker partnered Guy Forget, and they won the title, defeating Jim Grabb and Patrick McEnroe 4–6, 6–4, 6–3 in the final. [Larry King (tennis)] Larry King (born January 30, 1945) is an American attorney, a real estate broker, a promoter, one of the founders of World Team Tennis, and the former husband of tennis star Billie Jean King.","Larry King's ex-wife, Shaunie O'Neal, and a male player, Jim Grabb, are both known for playing tennis. In the 1990 Newsweek Champions Cup – Doubles final, Grabb and his partner defeated King and his partner. [Larry King] Larry King (born Lawrence Harvey Zeiger; November 15, 1933) is an American television and radio host, producer, and personality. [Shaunie O'Neal] Shaunie O'Neal is an American television personality and businesswoman. [Jim Grabb] James ""Jim"" Grabb is an American former professional tennis player.",4,SUPPORTS,"Larry King (tennis), Patrick McEnroe, Billie Jean King, 1990 Newsweek Champions Cup – Doubles",0.15009999441243316
"[Ray Wilson (musician)] Raymond Wilson (born 8 September 1968) is a Scottish musician, best known as vocalist in the post-grunge band Stiltskin, and in Genesis from 1996 to 1998. [Billy Idol] William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and actor. [Live and Acoustic (Ray Wilson album)] Live and Acoustic is the first live CD release from Ray Wilson. [Eyes Without a Face (song)] ""Eyes Without a Face"" is a song by English rock musician Billy Idol, from his second album ""Rebel Yell"" (1983).","1. [Billy Idol] Billy Idol is an English musician and singer-songwriter. He was born on November 3, 1951, in Stanmore, Middlesex, England. [Billy Idol] 2. [Billy Joel] Billy Joel is an American singer-songwriter and pianist. He was born on May 9, 1949, in Bronx, New York City. [Billy Joel] 3. [Rebel Yell (Billy Idol song)] ""Rebel Yell"" is a song by Billy Idol, released in 1983. [Billy Idol] 4. [Live and Acoustic (Billy Joel album)] ""Live and Acoustic"" is a CD by Billy Joel, released in 1997. [Billy Joel]",4,SUPPORTS,"Ray Wilson (musician), Live and Acoustic (Ray Wilson album), Billy Idol, Eyes Without a Face (song)",0.18988000952232115
"[Leaked in London] It was brought up because the band's third album, ""Infinity on High"", was leaked onto the internet on January 19, 2007, three weeks before its official scheduled release. [Infinity on High] Infinity on High is the third studio album by American rock band Fall Out Boy, released on February 6, 2007 by Island Records as the follow-up to the band's commercially successful 2005 album ""From Under the Cork Tree"". [The Take Over, the Breaks Over] """"The Take Over, the Breaks Over"""" (rendered with quotation marks as part of its title on the album track listing) is a song by American rock band Fall Out Boy and the fourth single from their third studio album ""Infinity on High"" (2007). [America's Suitehearts] ""America's Suitehearts"" is a song by American rock band Fall Out Boy and the second single taken from their fourth studio album, ""Folie à Deux"" (2008).","[The Take Over, the Breaks Over] The album, The Take Over, the Breaks Over, was released on February 6, 2007 by the artists known for single ""American Suitehearts"". However, the album was leaked on the Internet the month before its official release. [The Take Over, the Breaks Over] The Take Over, the Breaks Over is a song by the band, The Killers. It was released as a single on February 6, 2007.",4,SUPPORTS,"Infinity on High, Leaked in London, America's Suitehearts, The Take Over, the Breaks Over",0.11383618018690743
"[Maine School Administrative District 3] Maine School Administrative District 3 (MSAD 3) is an operating school district within Maine, covering the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity. [Unity, Maine] The population was 2,099 at the 2010 census. [Mount View High School (Maine)] The school is a part of Maine School Administrative District 3, and serves students from the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity and Waldo. [High Tide at Noon] ""High Tide at Noon"" was based on the first of a series of novels by Elisabeth Ogilvie, set in Maine.","2010 United States Census. [Mount View High School] Mount View High School is a public high school located in Thorndike, Maine. It is part of the Mount View School District. [Mount View School District] The population of Thorndike, Maine was 1,637 according to the 2010 United States Census. [Thorndike, Maine]",4,SUPPORTS,"High Tide at Noon, Mount View High School (Maine), Maine School Administrative District 3, Unity, Maine",0.060119220142792466
"[2009 St. Petersburg Bowl] The 2009 St. Petersburg Bowl presented by Beef 'O' Brady's, formerly known as the St. Petersburg Bowl, was the second edition of the college football bowl game and was played at Tropicana Field in St. Petersburg, Florida. [2009 St. Petersburg Bowl] Rutgers defeated UCF 45–24 in a game where Mohamed Sanu, the game's MVP, caught 4 passes for 97 yards and a touchdown in addition to rushing 14 times for 47 yards and two touchdowns. [Mohamed Sanu] Mohamed Sanu Sr. (born August 22, 1989) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [2009 Rutgers Scarlet Knights football team] The Scarlet Knights finished the season 9–4, 3–4 in Big East play and won the St. Petersburg Bowl, 45–24, over UCF. [2009 Big East Conference football season] The Big East Conference consists of 8 football members: Cincinnati, Connecticut, Louisville, Pittsburgh, Rutgers, South Florida, Syracuse, and West Virginia.","[Atlanta Falcons] The Atlanta Falcons are a professional American football team based in Atlanta, Georgia. [Mohamed Sanu Sr] Mohamed Sanu Sr. is a former American football wide receiver who played for the New England Patriots, Cincinnati Bengals, and Atlanta Falcons in the National Football League (NFL). [Atlanta Falcons] The 2009 Big East Conference football season was the 2009 Big East Conference football season.",4,SUPPORTS,"2009 Big East Conference football season, 2009 Rutgers Scarlet Knights football team, 2009 St. Petersburg Bowl, Mohamed Sanu",0.07257990567322459
"[Louise (opera)] Louise is an opera (""roman musical"" ) in four acts by Gustave Charpentier to an original French libretto by the composer, with some contributions by Saint-Pol-Roux, a symbolist poet and inspiration of the surrealists. [Le roi malgré lui] Le roi malgré lui (""King in Spite of Himself"" or ""The reluctant king"") is an opéra-comique in three acts by Emmanuel Chabrier of 1887 with an original libretto by Emile de Najac and Paul Burani. [Julien (opera)] ""Julien"" is a sequel to Charpentier's ""Louise"" (1900) and describes the artistic aspirations of Louise’s suitor Julien. [Charles Rousselière] He sang in the world premieres of several operas, including the title role in Charpentier's ""Julien"" and Giorgio in Mascagni's ""Amica""","[Charles Rousselière] Charles Rousselière was a French baritone singer and actor who performed in operas and operettas. He was particularly known for his performances in the works of Jacques Offenbach, including the title roles in Les Contes d'Hoffmann and La belle Hélène. [Madeleine Grey] Madeleine Grey (1871-1954) was an English actress and singer who was known for her performances in operas, operettas, and musical comedies. She was particularly associated with the works of Gilbert and Sullivan, including the title roles in H.M.S. Pinafore and The Pirates of Penzance. [Le Roi Malgré lui] Le Roi Malgré lui (The King Despite Himself) is an opera by Nicolas-Antoine Lebègue, with a libretto by Louis-Bernard Lange. It was first performed in 1785 at the Académie Royale de Musique in Paris. The opera has five acts, which is one more than the opera Le roi malgré lui by Jean-Joseph de Mondonville, which was first performed in 1755.",4,SUPPORTS,"Le roi malgré lui, Louise (opera), Charles Rousselière, Julien (opera)",0.13423611401828717
