True Evidence,Generated Evidence,Hops,Label,Topics
"[Tura Beach, New South Wales] Tura Beach is suburb of Merimbula, on the South Coast of New South Wales, Australia, in the Bega Valley Shire local government area. [Merimbula] At the 2016 census , the population was 3,544. [Elwood Zimmerman] Elwood Curtin Zimmerman (born in Spokane, Washington on December 8, 1912; died in Tura Beach, New South Wales on June 18, 2004) was an American entomologist best known for his two multivolume series: ""Insects of Hawaii"" published by the University of Hawaiʻ i Press and ""Australian Weevils (Coleoptera: Curculionoidea)"" published by Australia's CSIRO.","[Elwood Zimmerman] Elwood Zimmerman (1928-2013) was an American entomologist and researcher at the Smithsonian Institution. [Suburb of a town] The suburb of a town refers to a location that is adjacent to a larger urban area, typically with a population of over 3,000 people.",3,REFUTES,"Elwood Zimmerman, Tura Beach, New South Wales, Merimbula"
"[Frailea] Frailea is a genus of globular to short cylindrical cacti native to Brazil. [Cyathodes] Cyathodes is a genus of shrubs within the heath family. [Frailea castanea] Frailea castanea is a species of Frailea found in Argentina, Brazil and Uruguay.",[Frailea castanea] Frailea castanea is a species of plant in the family Aizoaceae. [Cyathodes] Cyathodes is a genus of plants in the family Cyathodiaceae.,3,REFUTES,"Frailea castanea, Cyathodes, Frailea"
"[Lulu (opera)] Theodor W. Adorno wrote ""The opera ""Lulu"" is one of those works that reveals the extent of its quality the longer and more deeply one immerses oneself in it."" [Theodor W. Adorno] Theodor W. Adorno ( ; ] ; born Theodor Ludwig Wiesengrund; September 11, 1903 – August 6, 1969) was a German philosopher, sociologist, and composer known for his critical theory of society. [Donald Gramm] "" Among the most notable of his many operatic roles were the title role in Verdi's ""Falstaff"", Leporello in Mozart's ""Don Giovanni"", and Dr. Schön and Jack the Ripper in Berg's ""Lulu"".","[Theodor W. Adorno] Theodor Wilfred Adorno ( ; 11 September 1903 – 1 April 1969) was a German-American philosopher, sociologist, and cultural critic, known for his work in the Frankfurt School of social theory. [Donald Gramm] Donald Gramm ( ; ] ; 22 September 1921 – 12 February 2011) was an American tenor saxophonist and jazz composer, who was born in St. Louis, Missouri.",3,REFUTES,"Lulu (opera), Donald Gramm, Theodor W. Adorno"
"[Steyr Mannlicher] Originally part of Steyr-Daimler-Puch, it became independent when the conglomerate was broken up in 1989. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was a large manufacturing conglomerate based in Steyr, Austria, which was broken up in stages between 1987 and 2001. [Steyr SSG 08] The Steyr SSG 08 (German: Scharfschützengewehr 2008, English: Sniper Rifle 08) is a modern bolt-action sniper rifle developed and produced by Steyr Mannlicher in Austria.","[Steyr Mannlicher] Steyr Mannlicher is an Austrian firearms manufacturer. [Steyr SSG 08] The Steyr SSG 08 is a bolt-action sniper rifle manufactured by Steyr Mannlicher. [Steyr Mannlicher] Steyr Mannlicher is a subsidiary of the Austrian company Steyr-Daimler-Puch, which was a manufacturing conglomerate that was broken up in stages between 1987 and 2001.",3,REFUTES,"Steyr-Daimler-Puch, Steyr Mannlicher, Steyr SSG 08"
"[Andrew Stanton] His film work includes writing and directing Pixar's ""A Bug's Life"" (1998) (as co-director), ""Finding Nemo"" (2003), and ""WALL-E"" (2008), and the live-action film, Disney's ""John Carter"" (2012). [A Bug's Life] Directed by John Lasseter, the film involves a misfit ant named Flik that is looking for ""tough warriors"" to save his colony from greedy grasshoppers, only to recruit a group of bugs that turn out to be an inept circus troupe. [Finding Dory] Directed by Andrew Stanton with co-direction by Angus MacLane, the screenplay was written by Stanton and Victoria Strouse.","[Finding Dory] Finding Dory is a 2016 American 3D computer-animated comedy-adventure film directed by Andrew Stanton, Lee Unkrich, and Adrian Molina. [A Bug's Life] A Bugs Life is a 1998 computer-animated comedy-adventure film directed by John Lasseter, Andrew Stanton, and Lee Unkrich.",3,REFUTES,"A Bug's Life, Andrew Stanton, Finding Dory"
"[Yorkshire Terrier] The Yorkshire Terrier is a small dog breed of terrier type, developed during the 19th century in Yorkshire, England, to catch rats in clothing mills. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small spaniel classed as a toy dog by The Kennel Club and the American Kennel Club. [Hypoplasia of dens] It is more commonly seen in certain breeds, including the Chihuahua, the Papillon, the Pointer and the Yorkshire Terrier.","[Kennel Club] The Kennel Club (KC) is a UK-based organization for kennel clubs and canine associations. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small dog breed of the King Charles Spaniel type, which also includes the King Charles Spaniel and the English Toy Spaniel. The breed is named after the King Charles II of England.",3,REFUTES,"Yorkshire Terrier, Hypoplasia of dens, Cavalier King Charles Spaniel"
"[Eddie Cahill] Edmund Patrick ""Eddie"" Cahill (born January 15, 1978) is an American actor best known for portraying ""Miracle on Ice"" goalie Jim Craig in the movie ""Miracle"", and for playing the roles of Tag Jones on ""Friends"" and Detective Don Flack on ""."" [Jim Craig (ice hockey)] James Downey Craig (born May 31, 1957) is a retired American ice hockey goaltender who is most notable for being part of the 1980 U.S. Olympic hockey team that won the Olympic gold medal at the Lake Placid Winter Games. [Glory Days (2002 TV series)] The series was created by Kevin Williamson, and stars Eddie Cahill and Poppy Montgomery.","[Miracle (1983 film)] The film tells the story of the 1980 U.S. Olympic hockey team, led by coach Herb Brooks, played by Kurt Russell, who won the gold medal at the Lake Placid Olympic Games. [Miracle (1983 film)] The film stars Kurt Russell, as coach Herb Brooks, and a star of the 2002 TV series Glory Days, Kenan Thompson, as a member of the 1980 U.S. Olympic hockey team. [Kenan Thompson] Kenan Thompson (born May 10, 1978) is an American actor, comedian, and writer, known for his work on Saturday Night Live.",3,REFUTES,"Eddie Cahill, Jim Craig (ice hockey), Glory Days (2002 TV series)"
"[Excuse My French (album)] Excuse My French is the debut studio album by American rapper French Montana. [Excuse My French (album)] The album features guest appearances from Diddy, Nicki Minaj, Drake, Ace Hood, Lil Wayne, Birdman, The Weeknd, Rick Ross, 2 Chainz, Max B, Ne-Yo, Machine Gun Kelly, Raekwon, Scarface and Snoop Dogg, among others. [Machine Gun Kelly (rapper)] Richard Colson Baker (born April 22, 1990), better known by his stage names MGK and Machine Gun Kelly, is an American rapper and actor, from Cleveland, Ohio. [Pop That] Released as the first single from his debut studio album ""Excuse My French"" (2013), it features guest appearances from fellow rappers Rick Ross, Drake and Lil Wayne.","[Cherryade] Cherryade is a 1991 album by the English rock band Oasis. [Pop That] ""Pop That"" is a song by the English rock band Oasis, released as a single in 1993. [Neptunes] The Neptunes are an American hip hop and R&amp;B production duo from Virginia Beach, Virginia, composed of Pharrell Williams and Chad Hugo.",3,REFUTES,"Pop That, Machine Gun Kelly (rapper), Excuse My French (album)"
"[2014 in video gaming] In addition, it saw the release of many new intellectual properties, such as ""Destiny"", ""Five Nights at Freddy's,"" ""Sunset Overdrive"", ""Titanfall"", ""The Evil Within"" and ""Watch Dogs"". [Five Nights at Freddy's (video game)] The game centers around a fictional pizza restaurant called ""Freddy Fazbear's Pizza"", where the player must act as a night security guard, defending themselves from the malfunctioning, haunted animatronic characters by tracking their movement through the facility using security cameras. [Five Nights at Freddy's 2] It is the second game in the ""Five Nights at Freddy's"" series, and is chronologically set before the events of the first game.","[Five Nights at Freddy's 2] The game was released on July 27, 2014, for PC and Xbox 360. [Five Nights at Freddy's] Five Nights at Freddy's is a survival horror video game developed by Scott Cawthon. [Five Nights at Freddy's 2] The sequel was released on July 27, 2014, for PC and Xbox 360.",3,REFUTES,"Five Nights at Freddy's 2, 2014 in video gaming, Five Nights at Freddy's (video game)"
"[Conspirare] Conspirare has commissioned works from composers including David Lang, Tarik O'Regan, Jocelyn Hagen, Donald Grantham, Eric Whitacre, Nico Muhly, Mark Adamo, Robert Kyr, Jake Heggie, Eric Banks, and Jake Runestad. [Eric Whitacre] Eric Edward Whitacre (born January2, 1970) is a Grammy-winning American composer, conductor, and speaker, known for his choral, orchestral and wind ensemble music. [Eric Whitacre] He is also known for his ""Virtual Choir"" projects, bringing individual voices from around the globe together into an online choir. [Tarik O'Regan: Threshold of Night] Tarik O'Regan: Threshold of Night is the third release by the choral group Conspirare and the second recording of the work of Tarik O'Regan.","[Tarik O'Regan] Tarik O'Regan (born 1978) is a British composer, conductor, and pianist. [Austin Chamber Music Festival] The Austin Chamber Music Festival is an annual chamber music festival held in Austin, Texas, United States. [Lund Chamber Choir] The Lund Chamber Choir is a chamber choir based in Lund, Sweden. [Eric Whitacre] Eric Edward Whitacre (born January 2, 1970) is an American composer, conductor, and teacher of music. He is known for his choral works, including ""Give Me Love"" and ""Lux Aurumque"".",3,REFUTES,"Tarik O'Regan: Threshold of Night, Conspirare, Eric Whitacre"
