True Evidence,Generated Evidence,Hops,Label,Topics
"[Terri Nunn] Terri Kathleen Nunn (born June 26, 1961), is an American singer and actress. [Sonya Scarlet] Sonya Scarlet (born 2 April 1980) is the singer and lyricist of the Italian extreme gothic metal band Theatres des Vampires. [Information (Berlin album)] It was recorded during the period when Terri Nunn had temporarily left the band to pursue an acting career and Virginia Macolino performed the lead vocals.","Sonya Scarlet (born 1993) is an Australian singer-songwriter and musician. [Sonya Scarlet] She was born in 1993, which makes her younger than the singer who left the band Information in 1979. [Information (Berlin album)] Information is the debut album by the British rock band, The Damned, released in 1979.",3,SUPPORTS,"Terri Nunn, Information (Berlin album), Sonya Scarlet"
"[Carl Barât] Carlos Ashley Raphael Barât (born 6 June 1978) is a British musician, best known for being the co-frontman with Peter Doherty of the garage rock band The Libertines. [Carl Barât] He was the frontman and lead guitarist of Dirty Pretty Things, and in 2010 debuted a solo album. [Carl Barât] In 2014 he announced the creation of his new band, The Jackals. [Jesse Michaels] Jesse Michaels is a songwriter, vocalist, guitarist and artist from Berkeley, California. [Jesse Michaels] He is most well known as the vocalist for the ska punk band Operation Ivy. [Big Rig (band)] Big Rig was a punk band from the San Francisco Bay Area fronted by singer/songwriter Jesse Michaels.","[Carl Barât] Carl Barât (born 20 June 1970) is a British singer, songwriter, and musician. He is best known as the lead vocalist and guitarist of the British rock band The Libertines, as well as the singer and guitarist of the British punk band The FilTH. [Big Rig] Big Rig is a punk band from the United Kingdom, formed in 1995. The band consists of Carl Barât (vocals, guitar), John Hassall (bass), and Gary Kemp (drums).",3,SUPPORTS,"Jesse Michaels, Big Rig (band), Carl Barât"
"[James Schuyler] His awards include the Pulitzer Prize for Poetry for his 1980 collection ""The Morning of the Poem"". [H. G. Wells] His most notable science fiction works include ""The Time Machine"" (1895), ""The Island of Doctor Moreau"" (1896), ""The Invisible Man"" (1897), and ""The War of the Worlds"" (1898). [Darragh Park] Darragh Park (July 24, 1939 – April 17, 2009) was an American Artist, and the literary executor of the estate of Pulitzer Prize–winning poet James Schuyler.","Darragh Park is the literary executor of the estate of Angela Carter. [Angela Carter] Angela Carter (1951 – 1992) was an English novelist, journalist, and feminist, best known for her work of magical realism, and her exploration of gender and sexuality. [H. G. Wells] Herbert George Wells (21 September 1866 – 13 August 1946), known as H. G. Wells, was an English writer, historian, and social commentator. [Darragh Park] Darragh Park is a literary agent who represents a wide range of authors, including Sara Sheridan, Patrick Gale, and Louisa Hall.",3,SUPPORTS,"James Schuyler, Darragh Park, H. G. Wells"
"[Enkianthus] Enkianthus is a genus of shrubs or small trees in the heath family (Ericaceae). [Scadoxus] Species of ""Scadoxus"" are grown as ornamental plants for their brilliantly coloured flowers, either in containers or in the ground in frost-free climates. [Enkianthus campanulatus] The hardiest of ""Enkianthus"" species is E. campanulatus (furin-tsutsuji or redvein enkianthus), a medium-sized, narrow, upright, deciduous shrub.","[Scadoxus] Scadoxus (also known as Haemanthus) is a genus of flowering plants in the family Aizoaceae, commonly known as ""African Daisies"". [Enkianthus campanulatus] Enkianthus campanulatus, also known as Chinese lantern or Chinese bellflower, is a species of flowering plant in the family Sapindaceae. [Small enough] While Scadoxus is a genus of flowering plants, Enkianthus campanulatus is a specific species within that genus. Both plants can be grown as ornamental plants in containers, but Scadoxus is generally considered to be harder to grow than Enkianthus campanulatus.",3,SUPPORTS,"Enkianthus, Scadoxus, Enkianthus campanulatus"
"[Dave Peverett] David Jack Peverett (16 April 1943 – 7 February 2000), also known as Lonesome Dave, was an English singer and musician, best known as the original lead vocalist and rhythm guitarist of the rock band Foghat, which he founded following his tenure in Savoy Brown. [Jang Hyun-seung] Jang Hyun-seung (; born September 3, 1989) most often credited as Hyunseung, is a South Korean singer. [Zig-Zag Walk] Unlike the previous year's ""In the Mood for Something Rude"", which consisted of all outside material, lead singer Dave Peverett wrote five of the album's ten songs, with guitarist Erik Cartwright contributing a sixth.","[Jang Hyun-seung] Jang Hyun-seung (born March 22, 1987) is a South Korean singer, songwriter, and producer, best known as a member of the K-pop group B.A.P. [Zig-Zag Walk] Zig-Zag Walk is a 1983 song by the Japanese band Pizzicato Five.",3,SUPPORTS,"Dave Peverett, Jang Hyun-seung, Zig-Zag Walk"
"[Mount Ida] In Greek mythology, two sacred mountains are called Mount Ida, the ""Mountain of the Goddess"": Mount Ida in Crete; and Mount Ida in the ancient Troad region of western Anatolia (in modern-day Turkey) which was also known as the ""Phrygian Ida"" in classical antiquity and is the mountain that is mentioned in the Iliad of Homer and the Aeneid of Virgil. [Rhea (mythology)] Rhea ( ; Greek: Ῥέα , ] ) is a character in Greek mythology, the Titaness daughter of the earth goddess Gaia and the sky god Uranus, and sister and wife to Cronus. [Amari Valley] The Amari Valley is a fertile valley on the foothills of Mount Ida and Mount Kedros in Crete.","[Mountain with the Amari Valley in its foothills] The mountain with the Amari Valley in its foothills has been associated with various mythological beliefs. [Rhea] Rhea (; Greek: ῾Ρηја, gen.: ῾Ρηιδος, Rheidos), also known as the Titan of the Earth, was a Titan in Greek mythology.",3,SUPPORTS,"Amari Valley, Rhea (mythology), Mount Ida"
"[Massimo Giordano] Massimo Giordano (born 19 February 1971) is an Italian-born operatic tenor who is known for his bel canto repertoire. [Massimo Giordano] Giordano was born in Pompei, Italy into an Italian working-class family. [Pompei] Pompei (] ) is a city and ""comune"" in the Metropolitan City of Naples in Italy, home of the ancient Roman ruins part of the UNESCO World Heritage Sites. [Marcello Giordani] (He is not to be confused with another Italian tenor, Massimo Giordano, who toured with Anna Netrebko in 2009.)","Marcello Giordani (born March 27, 1963) is a retired Italian operatic tenor. [Marcello Giordani] He was born in the Metropolitan City of Naples. [Another Italian tenor] Another Italian operatic tenor born in Naples is Luciano Pavarotti (3 November 1935 – 6 September 2007). [Luciano Pavarotti] Luciano Pavarotti (3 November 1935 – 6 September 2007) was an Italian operatic tenor who was born in the Metropolitan City of Naples.",3,SUPPORTS,"Marcello Giordani, Pompei, Massimo Giordano"
"[Denzel Washington] Denzel Hayes Washington Jr. (born December 28, 1954) is an American actor, director, and producer. [David Hewlett] David Ian Hewlett (born 18 April 1968) is an English-born Canadian actor, writer, director, and voice actor best known for his role as Dr. Rodney McKay on the Canadian-American science fiction TV shows ""Stargate SG-1"", ""Stargate Atlantis"" and ""Stargate Universe"". [Herman Boone] Herman Ike Boone (born October 28, 1935) is a former American high school football coach, most famous for coaching the 1971 T. C. Williams High School football team to a 13-0 season, state championship, and national championship runner-up; the basis for the 2000 film ""Remember the Titans"" where Boone was portrayed by Denzel Washington.","[Warren Kole] Warren Kole (born February 7, 1977) is an American actor, known for his roles in the TV series, 24 (2009-2010), and The Event (2010-2011). [David Hewlett] David Hewlett (born August 18, 1961) is a Canadian actor, best known for his role as Rodney McKay on the TV series Stargate Atlantis (2004-2009). [Herman Boone] Herman Boone is a fictional character in the 2000 film Remember the Titans, played by actor Denzel Washington.",3,SUPPORTS,"David Hewlett, Denzel Washington, Herman Boone"
"[43d Air Mobility Operations Group] The 43d Air Mobility Operations Group is an active duty air mobility unit at Pope Field, Fort Bragg, North Carolina (formerly Pope AFB), and is part of the Air Mobility Command (AMC) USAF Expeditionary Center. [Fort Bragg] Fort Bragg, North Carolina, is a military installation of the United States Army and is the largest military installation in the world (by population) with more than 50,000 active duty personnel. [43d Aeromedical Evacuation Squadron] It is part of the 43d Air Mobility Operations Group at Pope Army Air Field, North Carolina.","[43d Aeromedical Evacuation Squadron] The 43d Aeromedical Evacuation Squadron is a unit of the Air National Guard based at Wright-Patterson Air Force Base, Ohio. [Fort Bragg] Fort Bragg is a major United States Army post located in Cumberland County, North Carolina, United States. [Fort Bragg] It is the largest military installation in the world in terms of population, with over 55,000 military personnel and over 7,000 civilian employees. [Fort Bragg] It is home to the U.S. Army Forces Command, and is the headquarters of the XVIII Airborne Corps. [Fort Bragg] The installation is also home to the 82nd Airborne Division, the 1st Armored Division, and the 3rd Infantry Division, as well as several special forces units.",3,SUPPORTS,"Fort Bragg, 43d Air Mobility Operations Group, 43d Aeromedical Evacuation Squadron"
"[Len Reynolds (politician)] In 1958, he was selected as the Labor candidate for the seat of Barton, which party leader H. V. Evatt was leaving as it was perceived to be too marginal. [Division of Barton] The Division of Barton is an Australian electoral division in the state of New South Wales. [Division of Barton] The division was created in 1922 and is named for Sir Edmund Barton, the first Prime Minister of Australia. [Bill Arthur] However, in 1966 he defeated Labor member Len Reynolds and was elected for the Liberal Party.","[Bill Arthur] Bill Arthur (born 1949) is an Australian former politician who served as a member of the Australian House of Representatives from 1980 to 1990, representing the Division of Batman. [Labor candidate] A Labor candidate is a candidate for political office who is nominated and supported by the Australian Labor Party (ALP). [Division of Batman] The Division of Batman is an Australian electoral division in the state of Victoria. It was created in 1922 and is named after the suburb of Batman in Melbourne.",3,SUPPORTS,"Len Reynolds (politician), Division of Barton, Bill Arthur"
