True Evidence,Generated Evidence,Hops,Label,Topics
"[Tura Beach, New South Wales] Tura Beach is suburb of Merimbula, on the South Coast of New South Wales, Australia, in the Bega Valley Shire local government area. [Merimbula] At the 2016 census , the population was 3,544. [Elwood Zimmerman] Elwood Curtin Zimmerman (born in Spokane, Washington on December 8, 1912; died in Tura Beach, New South Wales on June 18, 2004) was an American entomologist best known for his two multivolume series: ""Insects of Hawaii"" published by the University of Hawaiʻ i Press and ""Australian Weevils (Coleoptera: Curculionoidea)"" published by Australia's CSIRO.","[Elwood Zimmerman] Elwood Zimmerman (1908-1990) was an American entomologist who made significant contributions to the field of insect ecology. He was born in Brooklyn, New York, and died in 1990 due to complications from cancer in a suburb of the town of 3,544 residents at the time of the 2016 census. [Town with population of 3,544] The town with a population of 3,544 at the 2016 census is not specified in the provided evidence.",3,REFUTES,"Tura Beach, New South Wales, Merimbula, Elwood Zimmerman"
"[Frailea] Frailea is a genus of globular to short cylindrical cacti native to Brazil. [Cyathodes] Cyathodes is a genus of shrubs within the heath family. [Frailea castanea] Frailea castanea is a species of Frailea found in Argentina, Brazil and Uruguay.",[Cyathodes] Cyathodes is a genus of flowering plants in the family Asteraceae. [Frailea castanea] Frailea castanea is a species of plant in the family Asteraceae.,3,REFUTES,"Frailea, Cyathodes, Frailea castanea"
"[Lulu (opera)] Theodor W. Adorno wrote ""The opera ""Lulu"" is one of those works that reveals the extent of its quality the longer and more deeply one immerses oneself in it."" [Theodor W. Adorno] Theodor W. Adorno ( ; ] ; born Theodor Ludwig Wiesengrund; September 11, 1903 – August 6, 1969) was a German philosopher, sociologist, and composer known for his critical theory of society. [Donald Gramm] "" Among the most notable of his many operatic roles were the title role in Verdi's ""Falstaff"", Leporello in Mozart's ""Don Giovanni"", and Dr. Schön and Jack the Ripper in Berg's ""Lulu"".","There is no record of Theodor W. Adorno writing an opera, or any other work, about Jack the Ripper. [Theodor W. Adorno] Theodor W. Adorno (1903–1969) was a German-American philosopher, sociologist, and cultural critic, known for his work in the Frankfurt School. He did not write an opera about Jack the Ripper. [Donald Gramm] Donald Gramm is an American actor, known for his roles in the films The Last Picture Show (1971), The Rose (1979), and The Big Bus (1976). He did not play the role of Jack the Ripper in any opera or film.",3,REFUTES,"Donald Gramm, Theodor W. Adorno, Lulu (opera)"
"[Steyr Mannlicher] Originally part of Steyr-Daimler-Puch, it became independent when the conglomerate was broken up in 1989. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was a large manufacturing conglomerate based in Steyr, Austria, which was broken up in stages between 1987 and 2001. [Steyr SSG 08] The Steyr SSG 08 (German: Scharfschützengewehr 2008, English: Sniper Rifle 08) is a modern bolt-action sniper rifle developed and produced by Steyr Mannlicher in Austria.","Steyr Mannlicher is an Austrian firearms manufacturer, producing high-quality rifles and pistols since 1864. [Steyr Mannlicher] Steyr Mannlicher is a subsidiary of the Austrian company Steyr-Daimler-Puch, which was a manufacturing conglomerate that produced a wide range of products, including firearms, automobiles, and agricultural equipment. In 1987, Steyr-Daimler-Puch was broken up into several smaller companies, including Steyr Mannlicher, which continued to produce firearms. [Austrian company Steyr-Daimler-Puch] Steyr-Daimler-Puch was a manufacturing conglomerate based in Austria that produced a wide range of products, including firearms, automobiles, and agricultural equipment. The company was formed in 1914 through the merger of several smaller companies, including Steyr, Daimler, and Puch. In 1987, the company was broken up into several smaller subsidiaries, including Steyr Mannlicher, which continued to produce firearms.",3,REFUTES,"Steyr-Daimler-Puch, Steyr SSG 08, Steyr Mannlicher"
"[Andrew Stanton] His film work includes writing and directing Pixar's ""A Bug's Life"" (1998) (as co-director), ""Finding Nemo"" (2003), and ""WALL-E"" (2008), and the live-action film, Disney's ""John Carter"" (2012). [A Bug's Life] Directed by John Lasseter, the film involves a misfit ant named Flik that is looking for ""tough warriors"" to save his colony from greedy grasshoppers, only to recruit a group of bugs that turn out to be an inept circus troupe. [Finding Dory] Directed by Andrew Stanton with co-direction by Angus MacLane, the screenplay was written by Stanton and Victoria Strouse.","[Finding Dory] Andrew Stanton co-directed Finding Dory with Angus MacLane. [A Bug's Life] John Lasseter, Andrew Stanton, and Lee Unkrich co-directed A Bug's Life (2002).",3,REFUTES,"A Bug's Life, Andrew Stanton, Finding Dory"
"[Yorkshire Terrier] The Yorkshire Terrier is a small dog breed of terrier type, developed during the 19th century in Yorkshire, England, to catch rats in clothing mills. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small spaniel classed as a toy dog by The Kennel Club and the American Kennel Club. [Hypoplasia of dens] It is more commonly seen in certain breeds, including the Chihuahua, the Papillon, the Pointer and the Yorkshire Terrier.","[Kennel Club] The Kennel Club (KC) is a UK-based organization for the registration and promotion of purebred dogs. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small, well-proportioned dog that is a member of the Spaniel group. [Kennel Club of Dens] The Kennel Club of Dens (KCoD) is a fictional organization that does not exist in reality. The term ""KCoD"" is not recognized or accepted in the dog breeding community.",3,REFUTES,"Yorkshire Terrier, Hypoplasia of dens, Cavalier King Charles Spaniel"
"[Eddie Cahill] Edmund Patrick ""Eddie"" Cahill (born January 15, 1978) is an American actor best known for portraying ""Miracle on Ice"" goalie Jim Craig in the movie ""Miracle"", and for playing the roles of Tag Jones on ""Friends"" and Detective Don Flack on ""."" [Jim Craig (ice hockey)] James Downey Craig (born May 31, 1957) is a retired American ice hockey goaltender who is most notable for being part of the 1980 U.S. Olympic hockey team that won the Olympic gold medal at the Lake Placid Winter Games. [Glory Days (2002 TV series)] The series was created by Kevin Williamson, and stars Eddie Cahill and Poppy Montgomery.","[Mike Eruzione] Mike Eruzione (born July 16, 1954 in Brooklyn, New York) is a retired American ice hockey goaltender who played for the United States national ice hockey team at the 1980 Winter Olympics in Lake Placid, New York. [Glory Days] Glory Days is a 2002 American television drama series created by Brad Kern, produced by Touchstone Television, and aired on ABC. The show was set in the 1980s and centered on a fictional high school hockey team in the fictional town of Milford, Connecticut. The show starred Peter Berg as Coach Gordon ""Gordie"" Howe, a former hockey player who coaches his alma mater's high school hockey team.",3,REFUTES,"Glory Days (2002 TV series), Eddie Cahill, Jim Craig (ice hockey)"
"[Excuse My French (album)] Excuse My French is the debut studio album by American rapper French Montana. [Excuse My French (album)] The album features guest appearances from Diddy, Nicki Minaj, Drake, Ace Hood, Lil Wayne, Birdman, The Weeknd, Rick Ross, 2 Chainz, Max B, Ne-Yo, Machine Gun Kelly, Raekwon, Scarface and Snoop Dogg, among others. [Machine Gun Kelly (rapper)] Richard Colson Baker (born April 22, 1990), better known by his stage names MGK and Machine Gun Kelly, is an American rapper and actor, from Cleveland, Ohio. [Pop That] Released as the first single from his debut studio album ""Excuse My French"" (2013), it features guest appearances from fellow rappers Rick Ross, Drake and Lil Wayne.","[Sage the Gemini] Sage the Gemini is an American rapper, singer, songwriter, and record producer from Richmond, Virginia. [Pop That] Pop That is a song by American rapper G-Eazy, released as a single on June 2, 2016.",3,REFUTES,"Machine Gun Kelly (rapper), Excuse My French (album), Pop That"
"[2014 in video gaming] In addition, it saw the release of many new intellectual properties, such as ""Destiny"", ""Five Nights at Freddy's,"" ""Sunset Overdrive"", ""Titanfall"", ""The Evil Within"" and ""Watch Dogs"". [Five Nights at Freddy's (video game)] The game centers around a fictional pizza restaurant called ""Freddy Fazbear's Pizza"", where the player must act as a night security guard, defending themselves from the malfunctioning, haunted animatronic characters by tracking their movement through the facility using security cameras. [Five Nights at Freddy's 2] It is the second game in the ""Five Nights at Freddy's"" series, and is chronologically set before the events of the first game.","[Five Nights at Freddy's 2] The game was released in 2014 for PC, Xbox 360, and PlayStation 3. [Five Nights at Freddy's] The first game in the series, Five Nights at Freddy's, was released in 2014 for PC.",3,REFUTES,"Five Nights at Freddy's (video game), 2014 in video gaming, Five Nights at Freddy's 2"
"[Conspirare] Conspirare has commissioned works from composers including David Lang, Tarik O'Regan, Jocelyn Hagen, Donald Grantham, Eric Whitacre, Nico Muhly, Mark Adamo, Robert Kyr, Jake Heggie, Eric Banks, and Jake Runestad. [Eric Whitacre] Eric Edward Whitacre (born January2, 1970) is a Grammy-winning American composer, conductor, and speaker, known for his choral, orchestral and wind ensemble music. [Eric Whitacre] He is also known for his ""Virtual Choir"" projects, bringing individual voices from around the globe together into an online choir. [Tarik O'Regan: Threshold of Night] Tarik O'Regan: Threshold of Night is the third release by the choral group Conspirare and the second recording of the work of Tarik O'Regan.","[Eric Whitacre] Eric Edward Whitacre (born January 2, 1970) is an American composer, conductor, and teacher of choral music. [Tarik O'Regan] Tarik O'Regan (born 1978) is a British composer and conductor. [Threshold of Night] Threshold of Night is a choral work written by O'Regan for the Austin-based ensemble, Conspiracy, in 2006.",3,REFUTES,"Eric Whitacre, Conspirare, Tarik O'Regan: Threshold of Night"
