True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Collective for Living Cinema] The Collective for Living Cinema was an outpost of avant-garde cinema located on White Street in Lower Manhattan in the United States of America. [Dziga Vertov] Dziga Vertov (Russian: Дзига Вертов ; born David Abelevich Kaufman, Russian: Дави́д А́белевич Ка́уфман , and also known as Denis Kaufman; 2 January 1896 – 12 February 1954) was a Soviet pioneer documentary film and newsreel director, as well as a cinema theorist. [Made in Texas] In October 1981, director Jonathan Demme presented the Made in Texas - New Films From Austin series at the Collective for Living Cinema in New York City. [Italian futurism in cinema] It influenced Russian Futurist cinema (Lev Kuleshov, Dziga Vertov, Sergei Eisenstein, Vsevolod Pudovkin, Aleksandr Dovzhenko) and German Expressionism.","[Jonathan Demme] Jonathan Demme (December 22, 1944 – April 26, 2017) was an American film director, producer, and screenwriter. [Denis Kaufman] Denis Kaufman (1943 – 1992) was a British-born filmmaker, known for his work in experimental and avant-garde cinema. [Made in Texas] Made in Texas is a 1993 American comedy-drama film written and directed by Richard Linklater.",4,REFUTES,"Collective for Living Cinema, Made in Texas, Italian futurism in cinema, Dziga Vertov",0.2550335526796091,0.3958333333333333,0.18811881188118812,0.09090908657024814,0.14285714285714285,0.06666666666666667,0.24161073388766283,0.375,0.1782178217821782
"[Reno–Tahoe International Airport] Reno–Tahoe International Airport (IATA: RNO, ICAO: KRNO, FAA LID: RNO) is a public and military use airport located three nautical miles (6 km) southeast of downtown Reno, in Washoe County, Nevada. [Reno–Tahoe International Airport] It is the state's second busiest commercial airport after McCarran International Airport in Las Vegas. [Reno–Tahoe International Airport] It is named after Jesse L. Reno and Lake Tahoe. [Jesse L. Reno] Jesse Lee Reno (April 20, 1823 – September 14, 1862) was a career United States Army officer who served in the Mexican–American War, the Utah War, the western frontier, and as a Union General during the American Civil War. [Fort Reno (Oklahoma)] It is named for General Jesse L. Reno, who died at the Battle of South Mountain in the American Civil War. [Frank A. Keating] Major General Frank Augustus Keating (February 4, 1895 – April 28, 1973) was a career officer of the United States Army who commanded the 102nd Infantry Division during World War II, was Governor of the U.S. Zone of Germany, and was Chief U.S. Military Advisor to Korea.","[Frank A. Keating] Frank A. Keating (born 1944) is a former United States Air Force officer and businessman. [Nevada's later busiest commercial airport] McCarran International Airport (IATA: LAS, ICAO: KLAS, FAA LID: LAS) is the later busiest commercial airport in Nevada, located in Las Vegas. [Fort Reno (Oklahoma)] Fort Reno is a former United States Army post located in Oklahoma City, Oklahoma, United States.",4,REFUTES,"Fort Reno (Oklahoma), Reno–Tahoe International Airport, Frank A. Keating, Jesse L. Reno",0.3658536543961928,0.625,0.25862068965517243,0.14814814435228063,0.2909090909090909,0.09937888198757763,0.35365853244497325,0.6041666666666666,0.25
"[Red House Painters] Red House Painters were an American rock band, formed in San Francisco, California in 1988. [Red House Painters] Guitarists Gorden Mack and Phil Carney both performed with the band during separate six-year tenures. [Daughtry (band)] Daughtry is an American rock band formed and fronted by namesake Chris Daughtry, who was a finalist on the fifth season of ""American Idol"". [Billy Anderson (producer)] He has worked with hundreds of bands over the past 29 years, including Neurosis, Swans, Melvins, Jawbreaker, Sleep, Brutal Truth, Buzzoven, Fantômas, Agalloch, Cattle Decapitation, Mr. Bungle, Asunder and Red House Painters. [Break the Spell Tour] Break the Spell Tour was the second headlining tour from record breaking American rock band Daughtry.","[Billy Anderson] Billy Anderson (born April 10, 1970) is an American punk rock musician and producer. [Gorden Mack] Gorden Mack is a guitarist and songwriter for the punk rock band, The Distillers. [Break the Spell Tour] The Break the Spell Tour was a concert tour by the punk rock band, The Distillers, in 2000.",4,REFUTES,"Red House Painters, Billy Anderson (producer), Daughtry (band), Break the Spell Tour",0.3255813910702482,0.525,0.23595505617977527,0.14285713861612426,0.23404255319148937,0.102803738317757,0.310077515101256,0.5,0.2247191011235955
"[MedStar Georgetown University Hospital] It is a not-for-profit, acute care teaching and research facility located in the Georgetown neighborhood of the Northwest Quadrant of Washington, D.C. MedStar Georgetown is co-located with the Georgetown University Medical Center and is affiliated with the Georgetown University School of Medicine. [Howard University Hospital] Howard University Hospital, previously known as Freedmen's Hospital, is a major hospital lcated in Washington, D.C., built on the site of the previous Griffith Stadium. [Michael Zasloff] He is currently Scientific Director, MedStar-Georgetown Transplant Institute, Georgetown University Hospital. [Haskell Small] Haskell ""Hal"" Small, born 3 June 1948, is a composer, pianist, and music teacher in Washington, D.C.","Howard University Hospital is a historically black academic health science center located in Washington, D.C. [Howard University Hospital] It was founded in 1867 and is affiliated with Howard University. [Haskell Small] Haskell Small is a character from the television series The West Wing. [Michael Zasloff] Michael Zasloff is a character from the television series The Good Place.",4,REFUTES,"Michael Zasloff, Haskell Small, Howard University Hospital, MedStar Georgetown University Hospital",0.38260869097013234,0.5116279069767442,0.3055555555555556,0.2253521082007539,0.3333333333333333,0.1702127659574468,0.38260869097013234,0.5116279069767442,0.3055555555555556
"[Morgan Llywelyn] Morgan Llywelyn (born December 3, 1937) is an American-Irish historical fantasy, historical fiction, and historical non-fiction writer. [Robert Jordan] James Oliver Rigney Jr. (October 17, 1948 – September 16, 2007), better known by his pen name Robert Jordan, was an American author of epic fantasy. [Lion of Ireland] Lion of Ireland, by the American-Irish author Morgan Llywelyn, is a novel about the life of the Irish hero and High King Brian Boru. [One Power] In The Wheel of Time fantasy series by Robert Jordan, the One Power is a supernatural force which some characters can harness to perform feats of (magic).","[Lion of Ireland] The Irish-Irish author of ""Lion of Ireland"" is James Joyce, who was born in 1882. [Wheel of Time] The Wheel of Time is a high fantasy epic series written by American author Robert Jordan, who was born in 1948.",4,REFUTES,"Morgan Llywelyn, Lion of Ireland, Robert Jordan, One Power",0.34234233831669514,0.6129032258064516,0.2375,0.13043477861793754,0.23684210526315788,0.09,0.2882882842626411,0.5161290322580645,0.2
"[Nam Woo-hyun] Nam Woo-hyun (Hangul: 남우현 ; Hanja: 南優賢 ; born February 8, 1991), commonly known by his mononym Woohyun, is a South Korean singer and actor with the boy band Infinite. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson; December 23, 1964) is an American musician, singer and songwriter best known as a member of the rock band Pearl Jam, with whom he performs lead vocals and is one of three guitarists. [Write.. (EP)] Write. [Write.. (EP)] . [Write.. (EP)] is the debut extended play by South Korean singer Woohyun. [Bad Radio] The band is most notable for having featured future Pearl Jam vocalist Eddie Vedder as its lead singer from 1988–1990.","[Bad Radio] Bad Radio was an indie rock band from Minneapolis, Minnesota, formed in 1991 and disbanded in 1996. [Write.. (EP)] Write.. (EP) is the debut extended play by the British rock band, The Kooks, released in 2001. [Lead singer of Bad Radio] The lead singer of Bad Radio from 1988–1990 was Luke Smith, born on July 24, 1971, in Minneapolis, Minnesota.",4,REFUTES,"Bad Radio, Write.. (EP), Nam Woo-hyun, Eddie Vedder",0.34108526668589634,0.46808510638297873,0.2682926829268293,0.14723925921939116,0.20689655172413793,0.11428571428571428,0.32558139071690406,0.44680851063829785,0.25609756097560976
"[Lori Swanson] Lori Swanson (born December 16, 1966) from Eagan, Minnesota is the Attorney General of the US state of Minnesota. [Eagan, Minnesota] Eagan is a city in Dakota County, Minnesota, United States. [Minnesota Attorney General election, 2010] Incumbent Lori Swanson of the Minnesota Democratic–Farmer–Labor Party (DFL) won reelection to a second term. [G. Aaron Youngquist] He served as Minnesota Attorney General and as the Assistant U.S. Attorney General who successfully prosecuted Al Capone for federal income tax evasion.","2010 Minnesota Senate election, Wikipedia. [G. Aaron Youngquist] G. Aaron Youngquist is a former member of the Minnesota Senate, representing District 56 in eastern Dakota County, Minnesota, United States. [Eagen, Minnesota] Eagen is a city in Dakota County, Minnesota, United States.",4,REFUTES,"Eagan, Minnesota, G. Aaron Youngquist, Minnesota Attorney General election, 2010, Lori Swanson",0.3695652129229679,0.5483870967741935,0.2786885245901639,0.22018348187862982,0.34285714285714286,0.16216216216216217,0.34782608248818525,0.5161290322580645,0.26229508196721313
"[Giacomo Meyerbeer] Giacomo Meyerbeer (born Jacob Liebmann Beer; 5 September 1791 – 2 May 1864) was a German opera composer of Jewish birth who has been described as perhaps the most successful stage composer of the nineteenth century. [Wolfgang Amadeus Mozart] Wolfgang Amadeus Mozart ( ; ; ] ; 27 January 1756 – 5 December 1791), baptised as Johannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the Classical era. [L'esule di Granata] L'esule di Granata (""The exile of Granada"") is a ""melodramma serio"" (serious opera ) in two acts by Giacomo Meyerbeer. [Serenade No. 6 (Mozart)] The Serenade No. 6 for Orchestra in D major K. 239, ""Serenata notturna"", was written by Wolfgang Amadeus Mozart in Salzburg, in 1776.","Serenade No. 6 (Mozart) is a composition for string orchestra by Wolfgang Amadeus Mozart, completed in 1781. [L'esule di Granata] L'esule di Granata is the national anthem of Brazil.",4,REFUTES,"Giacomo Meyerbeer, Wolfgang Amadeus Mozart, Serenade No. 6 (Mozart), L'esule di Granata",0.29999999651250003,0.6666666666666666,0.1935483870967742,0.1408450672564968,0.35714285714285715,0.08771929824561403,0.29999999651250003,0.6666666666666666,0.1935483870967742
"[Wenling] Wenling (Wenling dialect: Uen-lin Zy ] ; ) is a coastal county-level city in the municipal region of Taizhou, in southeastern Zhejiang province, China. [Xinzheng] Xinzheng () is a small county-level city of Zhengzhou in the south of Henan province of Central China. [Jiangxia Tidal Power Station] The Jiangxia Tidal Power Station (江厦潮汐电站) is the fourth largest tidal power station in the world, located in Wuyantou, Wenling City, Zhejiang Province, China. [SIAS International University] Sias is located in the ancient city of Xinzheng, near Henan's capital, Zhengzhou.","[Jiangxia Tidal Power Station] The Jiangxia Tidal Power Station is located in Zhejiang Province, China. [SIAS International University] SIAS International University is located in New York City, New York, United States.",4,REFUTES,"Wenling, Jiangxia Tidal Power Station, SIAS International University, Xinzheng",0.4047619006802721,0.7083333333333334,0.2833333333333333,0.26415093959950164,0.5185185185185185,0.17721518987341772,0.4047619006802721,0.7083333333333334,0.2833333333333333
"[Dan McCafferty] William Daniel ""Dan"" McCafferty (born 14 October 1946, Dunfermline, Scotland) is a Scottish vocalist, best known as the lead singer for the Scottish hard rock band Nazareth from its founding in 1968 to his retirement from touring with the band in 2013. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson; December 23, 1964) is an American musician, singer and songwriter best known as a member of the rock band Pearl Jam, with whom he performs lead vocals and is one of three guitarists. [Rock 'n' Roll Telephone] It is their last album with original singer Dan McCafferty who left the group before its release. [Billy Rankin (guitarist)] Best known for his work with Nazareth (1980–83 & 1990–94), he also had a successful solo career, including a US hit single ""Baby Come Back"".","[Billy Rankin (guitarist)] Billy Rankin (born July 12, 1961) is a British rock musician and guitarist, best known for his work with the English rock band, The Stranglers. [Eddie Vedder] Eddie Vedder (born Edward Louis Vedder III; December 23, 1964) is an American musician, best known as the lead vocalist and one of the founding members of the rock band Pearl Jam.",4,REFUTES,"Billy Rankin (guitarist), Rock 'n' Roll Telephone, Dan McCafferty, Eddie Vedder",0.4594594550301316,0.6938775510204082,0.3434343434343434,0.3068783025839143,0.4915254237288136,0.2230769230769231,0.445945941516618,0.673469387755102,0.3333333333333333
