True Evidence,Generated Evidence,Hops,Label,Topics,Precision,Recall,F1 Score
"[Tura Beach, New South Wales] Tura Beach is suburb of Merimbula, on the South Coast of New South Wales, Australia, in the Bega Valley Shire local government area. [Merimbula] At the 2016 census , the population was 3,544. [Elwood Zimmerman] Elwood Curtin Zimmerman (born in Spokane, Washington on December 8, 1912; died in Tura Beach, New South Wales on June 18, 2004) was an American entomologist best known for his two multivolume series: ""Insects of Hawaii"" published by the University of Hawaiʻ i Press and ""Australian Weevils (Coleoptera: Curculionoidea)"" published by Australia's CSIRO.","Elwood Zimmerman (February 2, 1928 – March 12, 2009) was an American entomologist, known for his work on the ecology of insect populations, particularly those associated with agricultural systems. [Suburb] A suburb is a residential area located on the outskirts of a city or town, typically characterized by lower-density housing, such as single-family homes, and a more relaxed, often rural-like atmosphere. [Town] A town is a human settlement larger than a village and smaller than a city, typically with a population of between 1,000 and 100,000 people.",3,REFUTES,"Merimbula, Elwood Zimmerman, Tura Beach, New South Wales",0.8456919193267822,0.8115922808647156,0.8282912373542786
"[Frailea] Frailea is a genus of globular to short cylindrical cacti native to Brazil. [Cyathodes] Cyathodes is a genus of shrubs within the heath family. [Frailea castanea] Frailea castanea is a species of Frailea found in Argentina, Brazil and Uruguay.",[Frailea castanea] Frailea castanea is a species of plant in the family Aizoaceae. [Cyathodes] Cyathodes is a genus of plants in the family Caryophyllaceae.,3,REFUTES,"Frailea, Frailea castanea, Cyathodes",0.9255669713020325,0.8948646187782288,0.9099568724632263
"[Lulu (opera)] Theodor W. Adorno wrote ""The opera ""Lulu"" is one of those works that reveals the extent of its quality the longer and more deeply one immerses oneself in it."" [Theodor W. Adorno] Theodor W. Adorno ( ; ] ; born Theodor Ludwig Wiesengrund; September 11, 1903 – August 6, 1969) was a German philosopher, sociologist, and composer known for his critical theory of society. [Donald Gramm] "" Among the most notable of his many operatic roles were the title role in Verdi's ""Falstaff"", Leporello in Mozart's ""Don Giovanni"", and Dr. Schön and Jack the Ripper in Berg's ""Lulu"".","[Theodor W. Adorno] Theodor Wilfried Adorno ( ; September 11, 1903 – August 1, 1969) was a German-American philosopher, sociologist, and cultural critic associated with the Frankfurt School of social theory. [Donald Gramm] Donald Gramm (February 26, 1925 – November 22, 2009) was an American opera singer. He was particularly known for his performances in the works of Richard Wagner.",3,REFUTES,"Donald Gramm, Theodor W. Adorno, Lulu (opera)",0.9016851186752319,0.8400454521179199,0.869774580001831
"[Steyr Mannlicher] Originally part of Steyr-Daimler-Puch, it became independent when the conglomerate was broken up in 1989. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was a large manufacturing conglomerate based in Steyr, Austria, which was broken up in stages between 1987 and 2001. [Steyr SSG 08] The Steyr SSG 08 (German: Scharfschützengewehr 2008, English: Sniper Rifle 08) is a modern bolt-action sniper rifle developed and produced by Steyr Mannlicher in Austria.","[Steyr SSG 08] The Steyr SSG 08 is a bolt-action sniper rifle manufactured by Steyr-Daimler-Puch in Austria. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was an Austrian manufacturing conglomerate that produced automobiles, motorcycles, and other vehicles, as well as firearms and military equipment. The company was established in 1919 and operated until 2001 when it was broken up into several smaller companies.",3,REFUTES,"Steyr-Daimler-Puch, Steyr Mannlicher, Steyr SSG 08",0.9201908707618713,0.8931575417518616,0.9064726829528809
"[Andrew Stanton] His film work includes writing and directing Pixar's ""A Bug's Life"" (1998) (as co-director), ""Finding Nemo"" (2003), and ""WALL-E"" (2008), and the live-action film, Disney's ""John Carter"" (2012). [A Bug's Life] Directed by John Lasseter, the film involves a misfit ant named Flik that is looking for ""tough warriors"" to save his colony from greedy grasshoppers, only to recruit a group of bugs that turn out to be an inept circus troupe. [Finding Dory] Directed by Andrew Stanton with co-direction by Angus MacLane, the screenplay was written by Stanton and Victoria Strouse.","[Finding Dory] Finding Dory is a 2016 American 3D computer-animated comedy-adventure film directed by Andrew Stanton, co-directed by Lee Unkrich and produced by Pixar Animation Studios. [A Bug's Life] A Bug's Life is a 2002 American computer-animated comedy-adventure film produced by Pixar Animation Studios and directed by John Lasseter, Andrew Stanton, and Lee Unkrich.",3,REFUTES,"Finding Dory, A Bug's Life, Andrew Stanton",0.8610091209411621,0.8404734134674072,0.8506173491477966
"[Yorkshire Terrier] The Yorkshire Terrier is a small dog breed of terrier type, developed during the 19th century in Yorkshire, England, to catch rats in clothing mills. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small spaniel classed as a toy dog by The Kennel Club and the American Kennel Club. [Hypoplasia of dens] It is more commonly seen in certain breeds, including the Chihuahua, the Papillon, the Pointer and the Yorkshire Terrier.","The Cavalier King Charles Spaniel is a breed of small dog of the toy type, The breed is also known as the King Charles Spaniel and until the late 20th century, it was often referred to as the English Toy Spaniel. [Kennel Club] The Kennel Club is a UK-based organization that is the oldest dog welfare organization in the world and the largest dog welfare organization in Europe. [Kennel Club] The Kennel Club is a UK-based organization that is the oldest dog welfare organization in the world and the largest dog welfare organization in Europe.",3,REFUTES,"Hypoplasia of dens, Cavalier King Charles Spaniel, Yorkshire Terrier",0.8672895431518555,0.8607944846153259,0.8640298247337341
"[Eddie Cahill] Edmund Patrick ""Eddie"" Cahill (born January 15, 1978) is an American actor best known for portraying ""Miracle on Ice"" goalie Jim Craig in the movie ""Miracle"", and for playing the roles of Tag Jones on ""Friends"" and Detective Don Flack on ""."" [Jim Craig (ice hockey)] James Downey Craig (born May 31, 1957) is a retired American ice hockey goaltender who is most notable for being part of the 1980 U.S. Olympic hockey team that won the Olympic gold medal at the Lake Placid Winter Games. [Glory Days (2002 TV series)] The series was created by Kevin Williamson, and stars Eddie Cahill and Poppy Montgomery.","[Mike Eruzione] Mike Eruzione (born July 20, 1954 in Brooklyn, New York) is a retired American ice hockey goaltender who played for the United States national ice hockey team in the 1980 Winter Olympics. [Glory Days (TV series)] Glory Days is an American television sitcom that aired from 2002 to 2005 on NBC. The show was created by Tucker Cawley and starred John O'Hurley as the main character.",3,REFUTES,"Eddie Cahill, Glory Days (2002 TV series), Jim Craig (ice hockey)",0.8784173727035522,0.8586530685424805,0.86842280626297
"[Excuse My French (album)] Excuse My French is the debut studio album by American rapper French Montana. [Excuse My French (album)] The album features guest appearances from Diddy, Nicki Minaj, Drake, Ace Hood, Lil Wayne, Birdman, The Weeknd, Rick Ross, 2 Chainz, Max B, Ne-Yo, Machine Gun Kelly, Raekwon, Scarface and Snoop Dogg, among others. [Machine Gun Kelly (rapper)] Richard Colson Baker (born April 22, 1990), better known by his stage names MGK and Machine Gun Kelly, is an American rapper and actor, from Cleveland, Ohio. [Pop That] Released as the first single from his debut studio album ""Excuse My French"" (2013), it features guest appearances from fellow rappers Rick Ross, Drake and Lil Wayne.","[Chad Hugo] Chadwick Joseph Hugo (born September 26, 1974) is an American musician, singer, songwriter, and record producer. [Pop That] Pop That is a song by American rapper and singer Ginuwine, released as the second single from his debut album Ginuwine...The Bachelor (1996).",3,REFUTES,"Machine Gun Kelly (rapper), Pop That, Excuse My French (album)",0.8652808666229248,0.81646329164505,0.8401635885238647
"[2014 in video gaming] In addition, it saw the release of many new intellectual properties, such as ""Destiny"", ""Five Nights at Freddy's,"" ""Sunset Overdrive"", ""Titanfall"", ""The Evil Within"" and ""Watch Dogs"". [Five Nights at Freddy's (video game)] The game centers around a fictional pizza restaurant called ""Freddy Fazbear's Pizza"", where the player must act as a night security guard, defending themselves from the malfunctioning, haunted animatronic characters by tracking their movement through the facility using security cameras. [Five Nights at Freddy's 2] It is the second game in the ""Five Nights at Freddy's"" series, and is chronologically set before the events of the first game.","[Five Nights at Freddy's 2] The game was released for PC on July 27, 2014. [Five Nights at Freddy's] Five Nights at Freddy's is a survival horror video game developed by Scott Cawthon and released on Steam for PC on August 7, 2014.",3,REFUTES,"Five Nights at Freddy's (video game), Five Nights at Freddy's 2, 2014 in video gaming",0.8716757297515869,0.8358529210090637,0.8533885478973389
"[Conspirare] Conspirare has commissioned works from composers including David Lang, Tarik O'Regan, Jocelyn Hagen, Donald Grantham, Eric Whitacre, Nico Muhly, Mark Adamo, Robert Kyr, Jake Heggie, Eric Banks, and Jake Runestad. [Eric Whitacre] Eric Edward Whitacre (born January2, 1970) is a Grammy-winning American composer, conductor, and speaker, known for his choral, orchestral and wind ensemble music. [Eric Whitacre] He is also known for his ""Virtual Choir"" projects, bringing individual voices from around the globe together into an online choir. [Tarik O'Regan: Threshold of Night] Tarik O'Regan: Threshold of Night is the third release by the choral group Conspirare and the second recording of the work of Tarik O'Regan.","[Eric Whitacre] Eric Edward Whitacre (born January 2, 1964) is an American composer, conductor, and teacher of choral music. [Lund Chamber Choir] The Lund Chamber Choir is a chamber choir based at Lund University in Lund, Sweden. [Tarik O'Regan] Tarik O'Regan (born 1978) is a British composer and organist. [Threshold of Night] Threshold of Night is an album by the Austin-based ensemble, released in 2006 on the Innova label.",3,REFUTES,"Tarik O'Regan: Threshold of Night, Eric Whitacre, Conspirare",0.8966642618179321,0.853418231010437,0.874506950378418
