True Evidence,Generated Evidence,Hops,Label,Topics,bleu_score
"[Collective for Living Cinema] The Collective for Living Cinema was an outpost of avant-garde cinema located on White Street in Lower Manhattan in the United States of America. [Dziga Vertov] Dziga Vertov (Russian: Дзига Вертов ; born David Abelevich Kaufman, Russian: Дави́д А́белевич Ка́уфман , and also known as Denis Kaufman; 2 January 1896 – 12 February 1954) was a Soviet pioneer documentary film and newsreel director, as well as a cinema theorist. [Made in Texas] In October 1981, director Jonathan Demme presented the Made in Texas - New Films From Austin series at the Collective for Living Cinema in New York City. [Italian futurism in cinema] It influenced Russian Futurist cinema (Lev Kuleshov, Dziga Vertov, Sergei Eisenstein, Vsevolod Pudovkin, Aleksandr Dovzhenko) and German Expressionism.","Jonathan Demme ( ; November 22, 1944 – April 26, 2017) was an American film director, producer, and screenwriter. [Jonathan Demme] Jonathan Julio Demme ( ; November 22, 1944 – April 26, 2017) was an American film director, producer, and screenwriter. [Made in Texas] Made in Texas is a 1999 American drama film directed by Jonathan Demme and written by Paul Haggis. [Denis Kaufman] Denis John Kaufman (27 February 1921 – 14 March 1985) was a British film director and producer. [Italian futurism in cinema] Italian futurism was an artistic and social movement that flourished in Italy between 1909 and 1945. It was founded by Filippo Tommaso Marinetti in 1909 and developed by Fortunato Depero, Giacomo Balla, Gino Severini, and other artists.",4,REFUTES,"Collective for Living Cinema, Italian futurism in cinema, Dziga Vertov, Made in Texas",0.11655657518360556
"[Reno–Tahoe International Airport] Reno–Tahoe International Airport (IATA: RNO, ICAO: KRNO, FAA LID: RNO) is a public and military use airport located three nautical miles (6 km) southeast of downtown Reno, in Washoe County, Nevada. [Reno–Tahoe International Airport] It is the state's second busiest commercial airport after McCarran International Airport in Las Vegas. [Reno–Tahoe International Airport] It is named after Jesse L. Reno and Lake Tahoe. [Jesse L. Reno] Jesse Lee Reno (April 20, 1823 – September 14, 1862) was a career United States Army officer who served in the Mexican–American War, the Utah War, the western frontier, and as a Union General during the American Civil War. [Fort Reno (Oklahoma)] It is named for General Jesse L. Reno, who died at the Battle of South Mountain in the American Civil War. [Frank A. Keating] Major General Frank Augustus Keating (February 4, 1895 – April 28, 1973) was a career officer of the United States Army who commanded the 102nd Infantry Division during World War II, was Governor of the U.S. Zone of Germany, and was Chief U.S. Military Advisor to Korea.","[Frank Keating] Frank A. Keating (born 1944 in Oklahoma) is an American businessman and former politician who served as the 15th Commissioner of Internal Revenue (IRS) from 2004 to 2005. [Nevada's busiest commercial airport] McCarran International Airport (IATA: LAS, ICAO: KLAS, FAA LID: LAS) is the primary commercial airport in the Las Vegas Valley, serving Las Vegas, Nevada, United States. [Fort Reno] Fort Reno is a former United States Army post located in Oklahoma City, Oklahoma, United States. [Frank Keating] The fort was established in 1874 and was named after Major General Benjamin P. Keiley, a career military officer. [Frank Keating] Frank A. Keating is a former businessman and politician who served as the 15th Commissioner of Internal Revenue (IRS) from 2004 to 2005.",4,REFUTES,"Reno–Tahoe International Airport, Frank A. Keating, Fort Reno (Oklahoma), Jesse L. Reno",0.08895926371334989
"[Red House Painters] Red House Painters were an American rock band, formed in San Francisco, California in 1988. [Red House Painters] Guitarists Gorden Mack and Phil Carney both performed with the band during separate six-year tenures. [Daughtry (band)] Daughtry is an American rock band formed and fronted by namesake Chris Daughtry, who was a finalist on the fifth season of ""American Idol"". [Billy Anderson (producer)] He has worked with hundreds of bands over the past 29 years, including Neurosis, Swans, Melvins, Jawbreaker, Sleep, Brutal Truth, Buzzoven, Fantômas, Agalloch, Cattle Decapitation, Mr. Bungle, Asunder and Red House Painters. [Break the Spell Tour] Break the Spell Tour was the second headlining tour from record breaking American rock band Daughtry.","[Billy Anderson] Billy Anderson (born 1960) is a punk rock guitarist and producer, best known for his work with the bands Bad Brains and Minor Threat. [Gorden Mack] Gorden Mack (born 1960) is a punk rock guitarist and songwriter, best known for his work with the bands The Misfits and The Undead. [Break the Spell Tour] The Break the Spell Tour was a concert tour by the punk rock band My Chemical Romance, which took place in 2011.",4,REFUTES,"Billy Anderson (producer), Red House Painters, Daughtry (band), Break the Spell Tour",0.08753986322421764
"[MedStar Georgetown University Hospital] It is a not-for-profit, acute care teaching and research facility located in the Georgetown neighborhood of the Northwest Quadrant of Washington, D.C. MedStar Georgetown is co-located with the Georgetown University Medical Center and is affiliated with the Georgetown University School of Medicine. [Howard University Hospital] Howard University Hospital, previously known as Freedmen's Hospital, is a major hospital lcated in Washington, D.C., built on the site of the previous Griffith Stadium. [Michael Zasloff] He is currently Scientific Director, MedStar-Georgetown Transplant Institute, Georgetown University Hospital. [Haskell Small] Haskell ""Hal"" Small, born 3 June 1948, is a composer, pianist, and music teacher in Washington, D.C.","Howard University Hospital is located in Washington, D.C. [Howard University Hospital] Howard University Hospital is a teaching hospital located in Washington, D.C. [Michael Zasloff] Michael Zasloff is a former Scientific Director at the National Cancer Institute. [Regional medical center] A regional medical center is a medical facility that provides healthcare services to patients in a specific geographic area. It is possible that there are multiple regional medical centers located in different cities or regions. Without additional information, it is not possible to determine which medical center is being referred to in the claim.",4,REFUTES,"Haskell Small, Howard University Hospital, Michael Zasloff, MedStar Georgetown University Hospital",0.13424402757643855
"[Morgan Llywelyn] Morgan Llywelyn (born December 3, 1937) is an American-Irish historical fantasy, historical fiction, and historical non-fiction writer. [Robert Jordan] James Oliver Rigney Jr. (October 17, 1948 – September 16, 2007), better known by his pen name Robert Jordan, was an American author of epic fantasy. [Lion of Ireland] Lion of Ireland, by the American-Irish author Morgan Llywelyn, is a novel about the life of the Irish hero and High King Brian Boru. [One Power] In The Wheel of Time fantasy series by Robert Jordan, the One Power is a supernatural force which some characters can harness to perform feats of (magic).","[Robert Holdstock] Robert Holdstock (1948 – 1997) was a British science fiction and fantasy writer. [Lion of Ireland] Lion of Ireland is a science fiction novel by Robert Holdstock, published in 1978. [Wheel of Time] The Wheel of Time is a high fantasy epic series of 14 main books and several smaller works by American author James Mallory Owen (J.R.R. Tolkien) published since 1990.",4,REFUTES,"Morgan Llywelyn, Lion of Ireland, Robert Jordan, One Power",0.10887060905919846
"[Nam Woo-hyun] Nam Woo-hyun (Hangul: 남우현 ; Hanja: 南優賢 ; born February 8, 1991), commonly known by his mononym Woohyun, is a South Korean singer and actor with the boy band Infinite. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson; December 23, 1964) is an American musician, singer and songwriter best known as a member of the rock band Pearl Jam, with whom he performs lead vocals and is one of three guitarists. [Write.. (EP)] Write. [Write.. (EP)] . [Write.. (EP)] is the debut extended play by South Korean singer Woohyun. [Bad Radio] The band is most notable for having featured future Pearl Jam vocalist Eddie Vedder as its lead singer from 1988–1990.","1. [Bad Radio] Bad Radio is an American indie rock band from Pittsburgh, Pennsylvania, formed in 1993. [Write.. (EP)] Write.. is the debut extended play (EP) by the American indie rock band Bad Radio, released in 1995. [Bad Radio] The band was formed in 1993 by singer-songwriter John V.D. Kennedy, guitarist Joe Iadanza, and drummer Mike D. Kennedy. [John V.D. Kennedy] John V.D. Kennedy (born September 10, 1988) is an American singer-songwriter and musician from Pittsburgh, Pennsylvania. He is the lead singer of the indie rock band Bad Radio. [Bad Radio] Bad Radio's lead singer from 1988–1990 was born a decade before the band was formed.",4,REFUTES,"Nam Woo-hyun, Write.. (EP), Eddie Vedder, Bad Radio",0.18744919246101727
"[Lori Swanson] Lori Swanson (born December 16, 1966) from Eagan, Minnesota is the Attorney General of the US state of Minnesota. [Eagan, Minnesota] Eagan is a city in Dakota County, Minnesota, United States. [Minnesota Attorney General election, 2010] Incumbent Lori Swanson of the Minnesota Democratic–Farmer–Labor Party (DFL) won reelection to a second term. [G. Aaron Youngquist] He served as Minnesota Attorney General and as the Assistant U.S. Attorney General who successfully prosecuted Al Capone for federal income tax evasion.","[Aaron Youngquist] Aaron James Youngquist (born October 26, 1982 in Eagan, Minnesota) is an American politician and member of the Minnesota Democratic–Farmer–Labor Party (DFL). [Eagan, Minnesota] Eagan is a city in Dakota County, Minnesota, United States.",4,REFUTES,"Lori Swanson, G. Aaron Youngquist, Eagan, Minnesota, Minnesota Attorney General election, 2010",0.21358062796353686
"[Giacomo Meyerbeer] Giacomo Meyerbeer (born Jacob Liebmann Beer; 5 September 1791 – 2 May 1864) was a German opera composer of Jewish birth who has been described as perhaps the most successful stage composer of the nineteenth century. [Wolfgang Amadeus Mozart] Wolfgang Amadeus Mozart ( ; ; ] ; 27 January 1756 – 5 December 1791), baptised as Johannes Chrysostomus Wolfgangus Theophilus Mozart, was a prolific and influential composer of the Classical era. [L'esule di Granata] L'esule di Granata (""The exile of Granada"") is a ""melodramma serio"" (serious opera ) in two acts by Giacomo Meyerbeer. [Serenade No. 6 (Mozart)] The Serenade No. 6 for Orchestra in D major K. 239, ""Serenata notturna"", was written by Wolfgang Amadeus Mozart in Salzburg, in 1776.","1. Wolfgang Amadeus Mozart (31 January 1756 – 5 December 1791) was a composer from the European classical tradition. 2. Evaristo Felice Dall'Abaco (c. 1615 – 1691) was an Italian composer, organist, and violinist of the Baroque period. 3. Ruggiero Ricci (born 1950) is an Italian composer and conductor. 4. L'esule di Granata (The Granada Student) is a cantata, K 135, by Wolfgang Amadeus Mozart.",4,REFUTES,"L'esule di Granata, Serenade No. 6 (Mozart), Giacomo Meyerbeer, Wolfgang Amadeus Mozart",0.08611004897919104
"[Wenling] Wenling (Wenling dialect: Uen-lin Zy ] ; ) is a coastal county-level city in the municipal region of Taizhou, in southeastern Zhejiang province, China. [Xinzheng] Xinzheng () is a small county-level city of Zhengzhou in the south of Henan province of Central China. [Jiangxia Tidal Power Station] The Jiangxia Tidal Power Station (江厦潮汐电站) is the fourth largest tidal power station in the world, located in Wuyantou, Wenling City, Zhejiang Province, China. [SIAS International University] Sias is located in the ancient city of Xinzheng, near Henan's capital, Zhengzhou.","🇨🇳 [Jiangxia Tidal Power Station] 🇨🇳 [Zhejiang Province] 🇨🇳 [SIAS International University] Jiangxia Tidal Power Station is a tidal power station located in Zhejiang Province, China. [Zhejiang Province] Zhejiang (; ; ; ) is a province on the east coast of China. [SIAS International University] SIAS International University is a private, non-profit university located in the city of Zhejiang.",4,REFUTES,"SIAS International University, Jiangxia Tidal Power Station, Xinzheng, Wenling",0.20681522763439578
"[Dan McCafferty] William Daniel ""Dan"" McCafferty (born 14 October 1946, Dunfermline, Scotland) is a Scottish vocalist, best known as the lead singer for the Scottish hard rock band Nazareth from its founding in 1968 to his retirement from touring with the band in 2013. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson; December 23, 1964) is an American musician, singer and songwriter best known as a member of the rock band Pearl Jam, with whom he performs lead vocals and is one of three guitarists. [Rock 'n' Roll Telephone] It is their last album with original singer Dan McCafferty who left the group before its release. [Billy Rankin (guitarist)] Best known for his work with Nazareth (1980–83 & 1990–94), he also had a successful solo career, including a US hit single ""Baby Come Back"".","[Billy Rankin] Billy Rankin (born January 2, 1950, in Gadsden, Alabama) is an American guitarist, best known as a member of the rock band, The Stray Cats. [Eddie Vedder] Eddie Vedder (born Edward Louis Severson III, December 23, 1964, in Evanston, Illinois) is an American musician, best known as the lead vocalist, guitarist, and a founding member of the rock band, Pearl Jam. [Rock 'n' Roll Telephone] Rock 'n' Roll Telephone is the third studio album by the Canadian rock band, The Tragically Hip. It was released in 1998.",4,REFUTES,"Eddie Vedder, Billy Rankin (guitarist), Rock 'n' Roll Telephone, Dan McCafferty",0.24403035118190258
"[Werner Jaffé] Jaffé was born in Frankfurt. [Frankfurt] Frankfurt, officially Frankfurt am Main (Literally ""Frankfurt on the Main"", ] ), is a metropolis and the largest city in the German state of Hesse and the fifth-largest city in Germany, with a 2015 population of 732,688 within its administrative boundaries, and 2.3 million in its urban area. [Daniel Gunkel] Daniel Gunkel (born 7 June 1980 in Frankfurt) is a German former footballer. [Klaus Servene] Klaus Servene (*1949 in Marburg, Hesse) is a German writer who lives in Mannheim.","Werner Gunter Jaffé Fellner was born in Augsburg, Germany. [Daniel Gunkel] Daniel Gunkel (1865-1943) was a German writer, born in Hamburg. [Klaus Servene] Klaus Servene (1924-2016) was a German writer, born in Hamburg. [Paul Karrer] Paul Karrer (1899-1971) was a German chemist and professor, born in Hamburg.",4,REFUTES,"Klaus Servene, Werner Jaffé, Frankfurt, Daniel Gunkel",0.1455890183209096
"[Ann Beattie] Ann Beattie (born September 8, 1947) is an American novelist and short story writer. [Edgar Rice Burroughs] Edgar Rice Burroughs (September 1, 1875 – March 19, 1950) was an American fiction writer best known for his celebrated and prolific output in the adventure and science-fiction genres. [Chilly Scenes of Winter] Chilly Scenes of Winter is Ann Beattie's first novel, published by Doubleday in September, 1976. [John Heard (actor)] He had lead roles in several films, including ""Deceived, 1991,"" ""Chilly Scenes of Winter"", ""Heart Beat"", ""Cutter's Way"", ""Cat People"", and ""C.H.U.D."", as well as supporting roles in ""After Hours"", ""Big"", ""Beaches"", ""Awakenings"", ""Rambling Rose"", ""The Pelican Brief"", ""My Fellow Americans"", ""Snake Eyes"", and ""Animal Factory"".","[John Heard] John Heard (born December 7, 1946) is an American actor, best known for his roles in the 1980s and 1990s, including the films ""Home Alone"" and ""Cutter's Way"". [Edgar Rice Burroughs] Edgar Rice Burroughs ( ; November 5, 1875 – March 19, 1950) was an American writer, best known for his creation of the Tarzan series. [A film] The film was ""Cutter's Way"", released in 1981.",4,REFUTES,"Chilly Scenes of Winter, John Heard (actor), Ann Beattie, Edgar Rice Burroughs",0.13885688639690413
"[Kremlin Arsenal] Initially constructed in 1736, it has been rebuilt several times. [Moscow Kremlin] The Moscow Kremlin (Russian: Моско́вский Кремль , ""Moskovskiy Kreml""; ] ), usually referred to as the Kremlin, is a fortified complex at the heart of Moscow, overlooking the Moskva River to the south, Saint Basil's Cathedral and Red Square to the east, and the Alexander Garden to the west. [Cathedral of the Archangel] It is located in Cathedral Square of the Moscow Kremlin in Russia between the Great Kremlin Palace and the Ivan the Great Bell Tower. [Tsarevich Dmitry Alexeyevich of Russia] He is buried in the Cathedral of the Archangel.","[Fortress of Moscow] The Fortress of Moscow (Russian: Moskovskaya Krepost) is a historic fortified complex in the heart of Moscow, Russia, built in 1736. The complex consists of four stories and houses the burial place of Tsarevich Dmitry Alexeyevich of Russia. [Tsarevich Dmitry Alexeyevich of Russia] Dmitry Alexeyevich (Russian: Dimitriy Alexeyevich; 1651 – 1725) was a Russian Tsarevich and the son of Tsar Alexis of Russia. He was born in Moscow and died in Moscow. He was buried in the Burial Place of Tsarevich Dmitry Alexeyevich of Russia.",4,REFUTES,"Tsarevich Dmitry Alexeyevich of Russia, Kremlin Arsenal, Moscow Kremlin, Cathedral of the Archangel",0.12579917201528582
"[Cartagena (board game)] Cartagena is a critically acclaimed German-style board game released in 2000, that takes as its theme the legendary 1672 pirate-led jailbreak from the dreaded fortress of Cartagena. [Chess] Chess is a two-player strategy board game played on a chessboard, a checkered gameboard with 64 squares arranged in an 8×8 grid. [Chess] The game is played by millions of people worldwide. [Leo Colovini] His most popular game is ""Cartagena"". [Adolf Albin] Adolf Albin (14 September 1848 – 1 February 1920) was a Romanian chess player.","1. [Leo Colovini] Leo Colovini (1924-2013) was an Italian game designer, known for his abstract strategy games. 2. [Adolf Albin] Adolf Albin (1878-1935) was an Austrian chess player and composer. 3. [The most popular game] According to the website BoardGameGeek, the most popular game designed by Leo Colovini is Acquire. [Acquire] Acquire is a 1961 board game designed by Leo Colovini and published by Parker Brothers. It is a stock market simulation game where players try to buy and sell stocks, bonds, and other securities in order to gain the most money.",4,REFUTES,"Chess, Leo Colovini, Cartagena (board game), Adolf Albin",0.14206586137818342
"[The Strongest Man in the World] The Strongest Man in the World is a 1975 Disney film starring Kurt Russell, still a student in the fictional Medfield College. [Candleshoe] Candleshoe is a 1977 American family adventure film produced by Walt Disney Productions based on the Michael Innes novel ""Christmas at Candleshoe"" and starring Jodie Foster, David Niven, Helen Hayes in her last big screen appearance and Leo McKern. [Now You See Him, Now You Don't] It is the sequel to the 1969 film ""The Computer Wore Tennis Shoes"" and was followed by 1975's ""The Strongest Man in the World"". [John Alderson (actor)] John Alderson (10 April 1916 – 4 August 2006) was an English actor noted for playing the lead in the 1957-58 syndicated western television series, ""Boots and Saddles"", which ran for thirty-eight episodes in a single season, and many supporting roles in films in a career spanning almost forty years, from 1951 to 1990, including ""Don't Go Near the Water"" (1957), ""No Name on the Bullet"" (1959), ""Romanoff and Juliet"" (1961), ""My Fair Lady(1964),"" 'The War Lord"" (1965), ""I Deal in Danger"" (1966), ""Double Trouble"" (1967), ""Hellfighters"" (1968), ""The Molly Maguires"" (1970), ""Top of the Heap"" (1972), ""The Klansman"" (1974), ""The Duchess and the Dirtwater Fox"" (1976), ""Candleshoe"" (1977), ""The Cat from Outer Space"" (1978), ""The Wild Geese"" (1978) and ""The American Way"" (1986).","[Now You See Him, Now You Don't] Now You See Him, Now You Don't is a 1972 American comedy film directed by Richard Fleischer and starring Michael Caine, Telly Savalas, and Carroll O'Connor. [The Strongest Man In The World] The Strongest Man In The World is a 1967 British spy comedy film directed by John Guillermin and starring Sean Connery, Michael Redgrave, and Diana Dors. [John Alderson (actor)] John Alderson (21 September 1929 – 13 June 2003) was a British actor who appeared in over 100 films and television productions.",4,REFUTES,"John Alderson (actor), Candleshoe, Now You See Him, Now You Don't, The Strongest Man in the World",0.047374570953177424
"[Better Than Ezra] Better Than Ezra is an American alternative rock band based in New Orleans, Louisiana, and signed to The End Records. [Better Than Ezra] The band formed in 1988 in Baton Rouge, Louisiana. [Melvins] The Melvins are an American rock band that formed in 1983 in Montesano, Washington. [Artifakt] Artifakt is a compilation album by Better Than Ezra, sold only at the band's concerts and through the official Better Than Ezra merchandise website beginning in 2001. [Honey Bucket (song)] ""Honey Bucket"" is a single from American sludge metal band Melvins released in September 21, 1993.","[Honey Bucket (song)] Honey Bucket is a single by the American sludge metal band Mastodon, released in 2004. [Artifakt] Artifakt is a compilation album by the American sludge metal band Baroness, released in 2007.",4,REFUTES,"Melvins, Honey Bucket (song), Better Than Ezra, Artifakt",0.07718128966764343
"[Non-Stop (film)] Non-Stop is a 2014 American mystery action thriller film directed by Jaume Collet-Serra and starring Liam Neeson, Julianne Moore, Michelle Dockery, Lupita Nyong'o, and Scoot McNairy. [Michelle Dockery] She is most widely known for her performance as Lady Mary Crawley in the ITV (UK) and PBS (U.S.) television period drama series ""Downton Abbey"" (2010–15), for which she was nominated for three consecutive Emmy Awards in the category for Outstanding Lead Actress In Drama Series, and a Golden Globe Award nomination. [Andrew Rona] Some of the over 100 films he has produced are Non-Stop, Project X, Equilibrium, Scream and Scary Movie. [Keep Watching] It was produced by Nicolas Chartier, Andrew Rona, Alex Heineman, Craig J. Flores, Michael Fiore, and Joseph Dembner.","[Keep Watching] Keep Watching is a 2017 British-American horror film directed by Aaron and Adam Neave and written by Sean Hood. [American actress] Emily Watson (born 1974) is a British actress, known for her portrayal of Lady Mary Crawley in the ITV period drama television series Downton Abbey (2010–2015). [Producer] The producer of the film is Jason Blum. [Jason Blum] Jason Blum (born 1979) is an American film producer and founder of Blumhouse Productions. He is known for producing low-budget horror films that have been successful at the box office, such as Get Out (2017), Split (2016), and A Quiet Place (2018).",4,REFUTES,"Michelle Dockery, Andrew Rona, Keep Watching, Non-Stop (film)",0.0924956533170834
"[Kazuo Ishiguro] Kazuo Ishiguro OBE, FRSA, FRSL (Japanese: カズオ・イシグロ or 石黒 一雄 ; born 8 November 1954) is a British novelist, screenwriter and short story writer. [Kazuo Ishiguro] He was born in Nagasaki, Japan; his family moved to England in 1960 when he was five. [Kazuo Ishiguro] Ishiguro obtained his bachelor's degree from the University of Kent in 1978 and his Master's from the University of East Anglia's creative writing course in 1980. [Yukio Mishima] Yukio Mishima (三島 由紀夫 , Mishima Yukio ) is the pen name of Kimitake Hiraoka (平岡 公威 , Hiraoka Kimitake , January 14, 1925November 25, 1970) , a Japanese author, poet, playwright, actor, and film director. [Yukio Mishima] Mishima is considered one of the most important Japanese authors of the 20th century. [Yukio Mishima] He was considered for the Nobel Prize in Literature in 1968 but the award went to his countryman Yasunari Kawabata. [Yukio Mishima] His works include the novels ""Confessions of a Mask"" and ""The Temple of the Golden Pavilion"", and the autobiographical essay ""Sun and Steel"". [Yukio Mishima] His avant-garde work displayed a blending of modern and traditional aesthetics that broke cultural boundaries, with a focus on sexuality, death, and political change. [Yukio Mishima] Mishima was active as a nationalist and founded his own right-wing militia, the Tatenokai. [Yukio Mishima] In 1970, he and three other members of his militia staged an attempted ""coup d'état"" when they seized control of a Japanese military base and took the commander hostage, then tried and failed to inspire a coup to restore the Emperor's pre-war powers. [Yukio Mishima] Mishima then committed ritual suicide by ""seppuku"". [Yukio Mishima] The coup attempt became known as the ""Mishima Incident"". [When We Were Orphans] When We Were Orphans is the fifth novel by the British-Japanese author Kazuo Ishiguro, published in 2000. [Madame de Sade] Madame de Sade is a 1965 play written by Yukio Mishima.","[Kazuo Ishiguro] Kazuo Miyagawa (; born 8 August 1950 in Kobe, Japan) is a British-Japanese film director, producer, and screenwriter. [When We Were Orphans] When We Were Orphans is the fifth novel by British author Kazuo Ishiguro, published in 2000 by Faber & Faber. [Madame de Sade] Madame de Sade, also known as Justine, is a play by French author Donatien Alvaradormal. [Donatien Alvaradormal] Donatien Alvaradormal (1947-2014) was a French author, playwright, and filmmaker. He is best known for his novel ""Madame de Sade"", which was adapted into a film in 1978. [Japanese author] Japanese authors are those who are from or write in the Japanese language. Some notable Japanese authors include Kenzaburo Oe, Yukio Mishima, and Haruki Murakami.",4,REFUTES,"Kazuo Ishiguro, Yukio Mishima, When We Were Orphans, Madame de Sade",0.06145378929384929
"[Michael Foale] Colin Michael Foale, CBE (born 6 January 1957) is a British-American astrophysicist and former NASA astronaut. [Michael Foale] He is a veteran of six Space Shuttle missions and extended missions on both Mir and the International Space Station. [Charles Simonyi] In March 2009, aboard Soyuz TMA-14, he made a second trip to the International Space Station. [STS-63] A night launch and the 20th mission for ""Discovery"", it marked the first time a Space Shuttle mission had a female pilot, Eileen Collins, the first EVAs for both a UK born astronaut Michael Foale and a US astronaut of African heritage Bernard A. Harris, Jr. and it also carried out the successful deployment and retrieval of the Spartan-204 platform, along with the scheduled rendezvous and flyaround of ""Mir"", in preparation for STS-71, the first mission to dock with ""Mir"". [Skat (yacht)] The owner is Charles Simonyi, a former Software Engineer from Microsoft and the fifth space tourist.","STS-63 was the 75th flight of the Space Shuttle program, launched on February 3, 1995, and carried out the first spacewalk (EVA) for a Scottish-born astronaut, Thomas Reiter. [Scottish born astronaut] The owner of the Skat (yacht) is the Canadian businessman, Ross Winter. [Ross Winter] Ross Winter is a Canadian businessman and yacht owner, best known for owning the Skat (yacht), which was the largest yacht in the world at the time of its launch in 2003. [More missions to space] Thomas D. Reiter holds the record for the most spaceflights by an astronaut, having flown on six space missions. [Thomas Reiter] Thomas David Reiter (born September 15, 1951) is a former NASA astronaut and engineer. He flew on six space missions between 1992 and 2004, including STS-63, and has over 37 days in space.",4,REFUTES,"Michael Foale, Skat (yacht), Charles Simonyi, STS-63",0.05417737807377788
"[2013 Duke Blue Devils football team] The team was led by head coach David Cutcliffe, in his sixth year, and played its home games at Wallace Wade Stadium in Durham, North Carolina. [David Cutcliffe] He also earned multiple college football coach of the year awards from the Walter Camp Football Foundation, the Maxwell Football Club, and the Bobby Dodd Foundation. [2002 Ole Miss Rebels football team] Coached by David Cutcliffe, the Rebels played their home games at Vaught–Hemingway Stadium in Oxford, Mississippi. [2002 Independence Bowl] The 2002 Independence Bowl was a post-season college football bowl game between the Nebraska Cornhuskers and the Ole Miss Rebels on December 27, 2002, at Independence Stadium in Shreveport, Louisiana.","1. [Duke Blue Devils football] The Duke Blue Devils football team represents Duke University in the sport of American football. [Coach K] Mike Krzyzewski ( /ˈkʃərdʒəfskiː/; born February 10, 1944), commonly known as Coach K, is an American college basketball coach, who has been the head coach of the Duke Blue Devils since 1980. [Ole Miss Rebels football] The Ole Miss Rebels football team represents the University of Mississippi in the sport of American football. [Independence Bowl] The Independence Bowl is a college football bowl game played in Shreveport, Louisiana.",4,REFUTES,"David Cutcliffe, 2002 Independence Bowl, 2002 Ole Miss Rebels football team, 2013 Duke Blue Devils football team",0.16266039071612204
