True Evidence,Generated Evidence,Hops,Label,Topics,bleu_score
"[Duke University] Duke University is a private research university located in Durham, North Carolina. [Duke University] Founded by Methodists and Quakers in the present-day town of Trinity in 1838, the school moved to Durham in 1892. [Tufts University] Tufts College was founded in 1852 by Christian Universalists who worked for years to open a nonsectarian institution of higher learning. [James David Barber] From 1977 to 1995, he taught political science at Duke University. [Donald Sur] After receiving his doctorate from Harvard in 1972, he settled in Boston, Massachusetts, where many of his works were premiered and where he taught at several local universities, including Harvard, MIT, and Tufts.","James David Barber (September 22, 1923 – October 13, 2010) was an American political scientist and academic administrator. [Donald Sur] Donald Sur (born July 23, 1943) is an American political scientist and academic administrator. [James David Barber] Barber was born in 1923 in Greenville, South Carolina, and received his BA from the University of North Carolina at Chapel Hill in 1947. [Donald Sur] Sur was born in 1943 in New York City and received his BA from Harvard College in 1965. [James David Barber] Barber earned his PhD in political science from Harvard University in 1962, and taught at several universities before joining the faculty at Harvard in 1977. [Donald Sur] Sur earned his PhD in political science from the Massachusetts Institute of Technology in 1972, and taught at several universities before joining the faculty at Boston University in 1995.",4,SUPPORTS,"Duke University, Tufts University, Donald Sur, James David Barber",0.09503854256026655
"[Lianzhou] Lianzhou (), formerly Lian County or Lianxian (postal: Linhsien), is a county-level city in northern Guangdong Province, China, under the administration of the prefecture-level city of Qingyuan. [Yancheng] Yancheng () is a prefecture-level city in northeastern Jiangsu province, People's Republic of China. [Lianjiang River] The river rises in Momianshi (磨面石) of Xingzi Town (星子镇) in Lianzhou county, and it runs generally northwest to southeast through Lianzhou, Yangshan and Yingde counties. [Zuoxiao Zuzhou] Zuoxiao Zuzhou () (b. Yancheng, March 4, 1970), real name Wu Hongjin, (吴红巾),is a Chinese musician and artist.","🚨 WARNING: This answer contains harmful assumptions. 🚨 Zuoxiao Zuzhou (识逍至) is a fictional character in the Journey to the West, a classic Chinese novel written by Wu Cheng'en in the 16th century. The character does not have a real birthplace or jurisdictional area. The statement is false and should not be taken seriously. Please refrain from spreading misinformation.",4,SUPPORTS,"Lianjiang River, Yancheng, Lianzhou, Zuoxiao Zuzhou",7.842580130545708e-79
"[Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and actor. [Ozzy Osbourne] He was fired from Black Sabbath in 1979 and went on to have a successful solo career, releasing 11 studio albums, the first seven of which were all awarded multi-platinum certifications in the US. [Curt Smith] As a solo artist, he has released four solo albums. [Change (Tears for Fears song)] Written by Roland Orzabal and sung by bassist Curt Smith, it was the band's fourth single release. [Mothers Talk] ""Mothers Talk"" is a 1984 song by the British band Tears for Fears.","John Entwistle (1944-2002) was the bassist, songwriter, and occasional lead vocalist for the English rock band The Who. [Mothers Talk] Mothers Talk is a song by the English rock band The Who, which was released in 1970 on the album ""Who Are You"". [Change] ""Change"" is a song by the English rock band The Who, which was released in 1971 on the album ""Who Are You"". [Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born December 3, 1948) is a British heavy metal singer, songwriter, and former member of the band Black Sabbath. He has released numerous solo albums, including Blizzard of Ozz (1981), Diary of a Madman (1982), Bark at the Moon (1983), and No More Tears (1991).",4,SUPPORTS,"Mothers Talk, Change (Tears for Fears song), Ozzy Osbourne, Curt Smith",0.19558037182882576
"[A Wrinkle in Time (2018 film)] A Wrinkle in Time is an upcoming American science-fiction fantasy adventure film directed by Ava DuVernay and written by Jennifer Lee. [Home on the Range (2004 film)] Home on the Range is a 2004 American animated musical western comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. [Storm Reid] She is set to portray Meg Murry in ""A Wrinkle in Time"" (2018). [Chris Buck] He also worked as a supervising animator on ""Home on the Range"" (2004) and ""Pocahontas"" (1995).","[Storm Reid] Storm Reid is an American actress, known for her roles in the films, When They See Us (2019), A Wrinkle in Time (2018), and The Suicide Squad (2020). [Chris Buck] Chris Buck is an American animator, film director, and producer who worked as a supervising animator on the 2004 film, The Incredibles. [The Incredibles] The Incredibles is a 2004 American science-fiction fantasy movie directed by Brad Bird, produced by Pixar Animation Studios for Walt Disney Feature Animation. The film follows the Parr family, who are forced to hide their superhero identities and live a normal life, but they are eventually called upon to save the world from a villainous plot. The film features the voice talents of Craig T. Nelson, Holly Hunter, Samuel L. Jackson, and Jason Lee, among others. It was a critical and commercial success, and it has been widely praised for its innovative animation techniques, engaging storyline, and memorable characters.",4,SUPPORTS,"Chris Buck, A Wrinkle in Time (2018 film), Storm Reid, Home on the Range (2004 film)",0.1421038745271137
"[Patrick McEnroe] Patrick John McEnroe (born July 1, 1966) is a former professional tennis player and the former captain of the United States Davis Cup team. [Billie Jean King] Billie Jean King (""née"" Moffitt; born November 22, 1943) is an American former World No. 1 professional tennis player. [1990 Newsweek Champions Cup – Doubles] Becker partnered Guy Forget, and they won the title, defeating Jim Grabb and Patrick McEnroe 4–6, 6–4, 6–3 in the final. [Larry King (tennis)] Larry King (born January 30, 1945) is an American attorney, a real estate broker, a promoter, one of the founders of World Team Tennis, and the former husband of tennis star Billie Jean King.","[Larry King] Larry King (born Lawrence Harvey Zeiger; November 6, 1933) is an American television and radio host, actor, and producer. [Sharon King] Sharon King (born Sharon Sharon Spence; August 4, 1953) is an American former professional tennis player and the first wife of Larry King. [Jim Grabb] Jim Grabb (born July 28, 1964) is an American former professional tennis player. He is known for being defeated in the 1990 Newsweek Champions Cup – Doubles final with his partner Scott Davis.",4,SUPPORTS,"Billie Jean King, Patrick McEnroe, Larry King (tennis), 1990 Newsweek Champions Cup – Doubles",0.1785365479443348
"[Ray Wilson (musician)] Raymond Wilson (born 8 September 1968) is a Scottish musician, best known as vocalist in the post-grunge band Stiltskin, and in Genesis from 1996 to 1998. [Billy Idol] William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and actor. [Live and Acoustic (Ray Wilson album)] Live and Acoustic is the first live CD release from Ray Wilson. [Eyes Without a Face (song)] ""Eyes Without a Face"" is a song by English rock musician Billy Idol, from his second album ""Rebel Yell"" (1983).","[Billy Idol] Billy Idol (born William George Alan Oxley on September 3, 1955 in London, England) is a British musician and singer-songwriter who was a lead singer of the punk rock band Generation X and then a solo artist. [Rebel Yell] ""Rebel Yell"" is a song by Billy Idol, released as a single on September 28, 1983. [Live and Acoustic] Live and Acoustic is a CD by the musician, released on January 16, 2006.",4,SUPPORTS,"Billy Idol, Ray Wilson (musician), Live and Acoustic (Ray Wilson album), Eyes Without a Face (song)",0.15188221662755516
"[Leaked in London] It was brought up because the band's third album, ""Infinity on High"", was leaked onto the internet on January 19, 2007, three weeks before its official scheduled release. [Infinity on High] Infinity on High is the third studio album by American rock band Fall Out Boy, released on February 6, 2007 by Island Records as the follow-up to the band's commercially successful 2005 album ""From Under the Cork Tree"". [The Take Over, the Breaks Over] """"The Take Over, the Breaks Over"""" (rendered with quotation marks as part of its title on the album track listing) is a song by American rock band Fall Out Boy and the fourth single from their third studio album ""Infinity on High"" (2007). [America's Suitehearts] ""America's Suitehearts"" is a song by American rock band Fall Out Boy and the second single taken from their fourth studio album, ""Folie à Deux"" (2008).","[The Black Eyed Peas] The Black Eyed Peas are an American hip hop group formed in 1995. [The Take Over, the Breaks Over] The Take Over, the Breaks Over is a single by the Black Eyed Peas, released on June 5, 2006. [Leaked] The album was leaked on the internet in January 2007, a month before its official release on February 6, 2007.",4,SUPPORTS,"America's Suitehearts, Infinity on High, The Take Over, the Breaks Over, Leaked in London",0.07492456168462197
"[Maine School Administrative District 3] Maine School Administrative District 3 (MSAD 3) is an operating school district within Maine, covering the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity. [Unity, Maine] The population was 2,099 at the 2010 census. [Mount View High School (Maine)] The school is a part of Maine School Administrative District 3, and serves students from the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity and Waldo. [High Tide at Noon] ""High Tide at Noon"" was based on the first of a series of novels by Elisabeth Ogilvie, set in Maine.","[Mount View High School] Mount View High School is a public high school located in Thorndike, Maine, United States. [Waldo County] Waldo County is a county located in the U.S. state of Maine. [High Tide at Noon] High Tide at Noon is a 1982 novel by Carol Shields.",4,SUPPORTS,"Maine School Administrative District 3, High Tide at Noon, Unity, Maine, Mount View High School (Maine)",0.0666324174595846
"[2009 St. Petersburg Bowl] The 2009 St. Petersburg Bowl presented by Beef 'O' Brady's, formerly known as the St. Petersburg Bowl, was the second edition of the college football bowl game and was played at Tropicana Field in St. Petersburg, Florida. [2009 St. Petersburg Bowl] Rutgers defeated UCF 45–24 in a game where Mohamed Sanu, the game's MVP, caught 4 passes for 97 yards and a touchdown in addition to rushing 14 times for 47 yards and two touchdowns. [Mohamed Sanu] Mohamed Sanu Sr. (born August 22, 1989) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [2009 Rutgers Scarlet Knights football team] The Scarlet Knights finished the season 9–4, 3–4 in Big East play and won the St. Petersburg Bowl, 45–24, over UCF. [2009 Big East Conference football season] The Big East Conference consists of 8 football members: Cincinnati, Connecticut, Louisville, Pittsburgh, Rutgers, South Florida, Syracuse, and West Virginia.","[Mohamed Sanu Sr] Mohamed Sanu Sr. (born May 26, 1989) is a former American football wide receiver. [2009 Big East Conference football season] The 2009 Big East Conference football season was the 35th season of the Big East Conference and the 114th season of college football in the United States. [December 19] December 19 is the 343rd day of the year (344th in leap years) in the Gregorian calendar.",4,SUPPORTS,"Mohamed Sanu, 2009 St. Petersburg Bowl, 2009 Rutgers Scarlet Knights football team, 2009 Big East Conference football season",0.08224816969149791
"[Louise (opera)] Louise is an opera (""roman musical"" ) in four acts by Gustave Charpentier to an original French libretto by the composer, with some contributions by Saint-Pol-Roux, a symbolist poet and inspiration of the surrealists. [Le roi malgré lui] Le roi malgré lui (""King in Spite of Himself"" or ""The reluctant king"") is an opéra-comique in three acts by Emmanuel Chabrier of 1887 with an original libretto by Emile de Najac and Paul Burani. [Julien (opera)] ""Julien"" is a sequel to Charpentier's ""Louise"" (1900) and describes the artistic aspirations of Louise’s suitor Julien. [Charles Rousselière] He sang in the world premieres of several operas, including the title role in Charpentier's ""Julien"" and Giorgio in Mascagni's ""Amica""","[Charles Rousselière] Charles Rousselière (1794–1869) was a French composer, organist, and music teacher. [Madeleine Grey] Madeleine Grey (1797–1870) was a French actress and singer. [Le roi malgré lui] Le Roi malgré lui is an opera by the French composer, Jean-Joseph de Mondonville. It was composed in 1754 and is considered to be one of the most important operas of the French Baroque period. [L'indifférent] L'Indifférent is an opera by the French composer, Niccolò Jommelli. It was composed in 1755 and is considered to be one of the most important operas of the French Baroque period.",4,SUPPORTS,"Louise (opera), Le roi malgré lui, Charles Rousselière, Julien (opera)",0.11662213892412354
