True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Canine follicular dysplasia] Certain breeds, such as the Mexican Hairless Dog and Chinese Crested Dog, are bred specifically for alopecia. [Mexican Hairless Dog] The Xoloitzcuintli ( ; Nahuatl pronunciation: ), or Xolo for short, is a hairless breed of dog, found in toy, miniature, and standard sizes.","2014.06.19_Dog_Alopecia.pdf [Dog Alopecia] Alopecia is a common condition in dogs. There are many causes of alopecia in dogs. The most common cause of alopecia in dogs is parasites, such as mange mites, fleas, ticks, and lice. Other causes include allergies, hormonal imbalances, nutritional deficiencies, and skin infections. Alopecia can also be a symptom of a systemic disease. [Chinese Crested Dog] The Chinese Crested Dog is a small breed of dog. It is a very ancient breed, and one of the few breeds of dog to have originated in China. The Chinese Crested Dog is a small, hairless dog that comes in two varieties: the Powder Puff, with a soft, long-haired coat, and the Hairless, which has no hair at all. Both varieties have pendulous skin, which hangs in folds. [Xoloitzcuintli] Xoloitzcuintli (also known as Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitzcuintli, Xoloitz",2,SUPPORTS,"Mexican Hairless Dog, Canine follicular dysplasia",0.2553191446426237,0.18556701030927836,0.4090909090909091,0.057803464304186834,0.03937007874015748,0.10869565217391304,0.22695035031638255,0.16494845360824742,0.36363636363636365
"[SAS Technical Services] The company is owned by the SAS Group and provides technical maintenance of aircraft to airlines in and outside the SAS Group. [SAS Technical Services] It is headquartered at Arlanda outside Stockholm and has 3,600 employees. [SAS Group] Scandinavian Airlines System Aktiebolag (, Nasdaq: SAS , ), trading as SAS Group and SAS AB, is an airline holding company headquartered in the SAS Frösundavik Office Building in Solna Municipality, Sweden. [SAS Group] It also owns the aviation services companies SAS Business Opportunities, SAS Cargo Group, SAS Ground Services, and SAS Technical Services. [SAS Group] SAS Group is partially owned by the governments of Sweden, Denmark, and Norway, with a 21.4%, 14.3%, and 14.3% ownership, respectively.","[SAS Group] SAS Group (SAS) is a Scandinavian airline founded in 1946. [SAS Group] SAS is headquartered in Solna Municipality, Sweden, with its main office in the SAS Corporate Headquarters building at Stockholm Arlanda Airport. [SAS Group] The company is owned by SAS AB (publ) with 55.8% of the shares, Scandinavian Airlines with 42.7%, and the Danish State with 1.5%. [SAS Group] SAS is a member of the Oneworld airline alliance. [SAS Group] SAS Group (SAS) is a Scandinavian airline founded in 1946. [SAS Group] SAS is headquartered in Solna Municipality, Sweden, with its main office in the SAS Corporate Headquarters building at Stockholm Arlanda Airport. [SAS Group] The company is owned by SAS AB (publ) with 55.8% of the shares, Scandinavian Airlines with 42.7%, and the Danish State with 1.5%. [SAS Group] SAS is a member of the Oneworld airline alliance.",2,SUPPORTS,"SAS Group, SAS Technical Services",0.39999999523328006,0.5102040816326531,0.32894736842105265,0.16184970626349038,0.21212121212121213,0.1308411214953271,0.38399999523328004,0.4897959183673469,0.3157894736842105
"[Merrick Boulevard buses] The Q5 and Q85 bus routes constitute a public transit corridor running along Merrick Boulevard in Southeastern Queens, New York City, United States. [Merrick Boulevard buses] The routes run from the Jamaica Center transit hub and business district to Rosedale, with continued service to the Green Acres Mall shopping center in Nassau County. [Green Acres Mall] Green Acres Mall is an indoor shopping mall located in South Valley Stream, New York, off Sunrise Highway in Nassau County right off the border of New York City and the Incorporated Village of Valley Stream (part of the parking lot and stores on the north side of the property are in the Village, while the mall itself is in an unincorporated hamlet of the Town of Hempstead). [Green Acres Mall] The mall has a gross leasable area (GLA) of 1800000 sqft .","1800000 sqft is the gross leasable area of the shopping mall. [Merrick Boulevard buses] The Merrick Boulevard buses serve the Merrick Park Shopping Center. [Merrick Park Shopping Center] Merrick Park is a 1,800,000-square-foot (167,000 m2) open-air shopping mall in Coral Gables, Florida, United States. [Merrick Park Shopping Center] The Merrick Park Shopping Center has 120 stores, 12 restaurants, 10 banks, 3 hotels, 3 office buildings, 2 day spas, 1 supermarket, 1 hair salon, 1 nail salon, 1 barber shop, 1 veterinary clinic, 1 medical clinic, 1 dental clinic, 1 florist, 1 catering service, 1 dry cleaner, 1 car wash, 1 pet shop, 1 hardware store, 1 book store, 1 shoe store, 1 toy store, 1 clothing store, 1 furniture store, 1 art gallery, 1 jewelry store, 1 toy store, 1 electronics store, 1 home decor store, 1 music store, 1 sports store, 1 garden store, 1 pet store, 1 bakery, 1 florist, 1 shoe repair shop, 1 bicycle repair shop, 1 beauty salon, 1 barber shop, 1 tanning salon, 1 dry cleaning shop, 1 laundromat, 1 dry cleaner, 1 catering service, 1 hair salon, 1 nail salon, 1 barber shop, 1 veterinary clinic, 1 medical clinic, 1 dental clinic, 1 florist, 1 catering service, 1 hair salon, 1 nail salon, 1 barber shop, 1 veterinary clinic, 1 medical clinic, 1 dental clinic, 1 florist, 1 catering service, 1 hair salon, 1 nail salon, 1 barber shop, 1",2,SUPPORTS,"Green Acres Mall, Merrick Boulevard buses",0.23728813059338003,0.23863636363636365,0.23595505617977527,0.08461537961656836,0.08333333333333333,0.0859375,0.2146892605368829,0.2159090909090909,0.21348314606741572
"[Robert Purcell (virologist)] Robert H. Purcell (born 19 December 1935) is a virologist who, together with Stephen Feinstone and Albert Kapikian, co-identified the Hepatitis A virus (HAV) in 1973. [Hepatitis A] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.","1) [Robert Purcell] Robert Purcell (born 1955) is an American biologist who was a co-recipient of the 1998 Nobel Prize in Physiology or Medicine, along with Dr. Robert F. Cures, for their discovery of the mechanism for regulating the number of lymphocytes in the human body. [Symptoms of the virus identified by Robert Purcell] Symptoms of the virus identified by Robert Purcell are nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain. 2) [Robert Purcell] Robert Purcell (born 1955) is an American biologist who was a co-recipient of the 1998 Nobel Prize in Physiology or Medicine, along with Dr. Robert F. Cures, for their discovery of the mechanism for regulating the number of lymphocytes in the human body. [Symptoms of the virus identified by Robert Purcell] Symptoms of the virus identified by Robert Purcell are nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.",2,SUPPORTS,"Robert Purcell (virologist), Hepatitis A",0.359999995018,0.33962264150943394,0.3829787234042553,0.1415929154420865,0.125,0.16326530612244897,0.33999999501800005,0.32075471698113206,0.3617021276595745
"[Rock (Nominees) Ltd v RCO Holdings Ltd] RCO itself was in the cleaning, catering and security porterage business. [ISS A/S] ISS services include: cleaning services, support services, property services, catering services, security services and facility management services.","2016 Rock Nominees Ltd is a private limited company registered in England and Wales. [Rock Nominees Ltd] Its registered office is on the 5th floor of 30 Warwick Street, London, W1B 5NZ. [ISS A/S] Integrated Service Solutions (ISS) is a Danish multinational facility services company, headquartered in Ballerup, Denmark. [ISS A/S] It provides a range of services including cleaning, catering and security.",2,SUPPORTS,"Rock (Nominees) Ltd v RCO Holdings Ltd, ISS A/S",0.333333328731098,0.26,0.4642857142857143,0.08421052160886454,0.06779661016949153,0.1111111111111111,0.333333328731098,0.26,0.4642857142857143
"[Both Sides Now (Joni Mitchell album)] The album won two Grammy awards in 2001 for Best Traditional Pop Vocal Album and Best Instrumental Arrangement Accompanying Vocalist(s) for the song ""Both Sides, Now"". [Both Sides, Now] ""Both Sides, Now"" is a song by Joni Mitchell, and one of her best-known songs. [Both Sides, Now] She re-recorded the song in a lusher, orchestrated version for her 2000 album ""Both Sides Now""; this version was subsequently featured on the soundtrack to the 2003 film ""Love Actually"" and was performed by Sara Bareilles during the 89th Academy Awards' ""In Memoriam"" homage.","[Joni Mitchell] Joni Lynn Mitchell (; born November 7, 1943) is a Canadian singer-songwriter, musician, and painter. [Love Actually] Love Actually is a 2003 romantic comedy film directed by Richard Curtis and written by Curtis and four other screenwriters. [Love Actually] It features an ensemble cast including Hugh Grant, Liam Neeson, Colin Firth, Rita Wilson, Emma Thompson, Laura Linney, Keira Knightley, Bill Nighy, and Rowan Atkinson. [Love Actually] The film follows nine separate couples, each with its own particular set of tensions and misunderstandings. [Love Actually] The film was nominated for the Academy Award for Best Original Song for the track ""Things Have Changed"", sung by Mitchell. [Love Actually] The song won the Grammy Award for Best Song Written for a Motion Picture, Television or Other Visual Media. [Love Actually] The album Love Actually was nominated for the Grammy Award for Best Compilation Soundtrack Album for a Motion Picture, Television or Other Visual Media. [Love Actually] The album won the Grammy Award for Best Song Written for a Motion Picture, Television or Other Visual Media. [Love Actually]",2,SUPPORTS,"Both Sides Now (Joni Mitchell album), Both Sides, Now",0.2366863857007809,0.2,0.2898550724637681,0.04651162302477066,0.04032258064516129,0.054945054945054944,0.22485206617415368,0.19,0.2753623188405797
"[Texas A&amp;M Aggies football] The Texas A&M Aggies football program represents Texas A&M University in the sport of American football. [Texas A&amp;M Aggies football] Kevin Sumlin is currently the team's head coach. [Kevin Sumlin] Previously, Sumlin was the head football coach at the University of Houston from 2007 to 2011.","1. [Kevin Sumlin] Kevin Sumlin (born June 28, 1964) is an American college football coach. He is the head coach at Texas A&M University, a position he has held since 2012. [Kevin Sumlin] Sumlin spent 10 seasons as the head coach of the Houston Cougars football team. [Kevin Sumlin] Sumlin began his coaching career at the University of Houston in 2003 as a graduate assistant. [Kevin Sumlin] In 2004, Sumlin became the offensive coordinator at the University of Houston, a position he held for four seasons. [Kevin Sumlin] He was promoted to offensive coordinator in 2005. [Kevin Sumlin] Sumlin left Houston to become the offensive coordinator at the University of Tulsa in 2008, but returned to Houston in 2009 as the head coach. [Kevin Sumlin] Sumlin was fired on December 1, 2011, after a 5-7 season and a 33-21 loss to the UAB Blazers in the 2011-2012 GMAC Bowl. [Kevin Sumlin] Sumlin was hired by Texas A&M University on December 7, 2011, to replace the departed head coach, Mike Sherman. [Kevin Sumlin] Sumlin was a finalist for the vacant head coach position at the University of Texas in 2014. [Kevin Sumlin] He is the only coach in college football history to lead two teams to 10-win seasons in his first two seasons as a head coach. [Kevin Sumlin] He is the only coach in college football history to lead two teams to 10-win seasons in his first two seasons as a head coach. [Kevin Sumlin] He is the only coach in college football history to lead two teams to 10-win seasons in his first two seasons as a head coach. [Kevin Sumlin] He is the only coach in college football history to lead two teams to 10-win seasons in his first two seasons as a head coach. [Kevin Sumlin] He is the only coach in college football history to lead two teams to 10-",2,SUPPORTS,"Texas A&amp;M Aggies football, Kevin Sumlin",0.2857142819831534,0.19,0.5757575757575758,0.1401869125665998,0.08875739644970414,0.3333333333333333,0.2857142819831534,0.19,0.5757575757575758
"[The Daily Howler] The Daily Howler is an American political blog written by Bob Somerby. [The Daily Howler] Despite being left of center in his politics, Somerby mainly critiques liberals in the U.S. mainstream media who he feels do poor journalism, such as Rachel Maddow and Keith Olbermann, both of MSNBC. [Rachel Maddow] Rachel Anne Maddow ( , ; born April 1, 1973) is an American television host, political commentator, and author.","Anne Garrels (born June 12, 1949) is an American journalist, best known for her coverage of the Persian Gulf War and the Iraq War. [Anne Garrels] She is currently a senior correspondent for NBC News. [Anne Garrels] She has also been a senior international correspondent for NBC News and a reporter for NBC News. [Anne Garrels] She has won three Emmy Awards, a Peabody Award and the Sigma Delta Chi Award for distinguished achievement in journalism. [Anne Garrels] She has also been a foreign correspondent for NBC News, based in Jerusalem, and for CNN, based in London. [Anne Garrels] She is a graduate of Wellesley College and holds a master's degree in journalism from Columbia University. [Anne Garrels] Garrels has also written two books, I'd Climb the Highest Mountain: The Life of Corrie ten Boom and The Nuremberg Trials. [Anne Garrels] She has also won two Emmy Awards for her reporting. [Anne Garrels] Garrels is married to David Rohde, an American journalist and author. [Anne Garrels] She is also the mother of three children. [Anne Garrels] She is the sister of the American journalist and author, Robert A. Caro. [Anne Garrels] She is also the daughter of the American journalist and author, Robert A. Garrels. [Anne Garrels] She is the granddaughter of the American journalist and author, Robert A. Garrels. [Anne Garrels] She is the sister-in-law of the American journalist and author, Robert A. Garrels. [Anne Garrels] She is also the sister of the American journalist and author, Robert A. Garrels. [Anne Garrels] She is also the sister-in-law of the American journalist and author, Robert A. Garrels. [Anne Garrels] She is also the sister of the American journalist and author, Robert A. Garrels. [Anne Garrels] She is also the sister-in-law of the American journalist and author, Robert A. Garrels. [Anne Gar",2,SUPPORTS,"The Daily Howler, Rachel Maddow",0.14102563632232099,0.1134020618556701,0.1864406779661017,0.02714931700661397,0.0196078431372549,0.04411764705882353,0.1282051235018082,0.10309278350515463,0.1694915254237288
"[Madonna (entertainer)] Madonna Louise Ciccone ( ; born August 16, 1958) is an American singer, songwriter, actress, and businesswoman. [William Friedkin] William Friedkin (born August 29, 1935) is an American film director, producer and screenwriter best known for directing ""The French Connection"" in 1971 and ""The Exorcist"" in 1973; for the former, he won the Academy Award for Best Director.","[Madonna] Madonna Louise Ciccone (born August 16, 1958) is an American singer, songwriter, and actress. [William Friedkin] William Gerard Friedkin (born July 29, 1935) is an American film and television director, producer, and screenwriter.",2,SUPPORTS,"William Friedkin, Madonna (entertainer)",0.5714285668004723,0.7857142857142857,0.4489795918367347,0.3863636318001033,0.5483870967741935,0.2982456140350877,0.5714285668004723,0.7857142857142857,0.4489795918367347
"[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton, a city in Augusta County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport 7 mi west of downtown Santa Barbara, California, United States.","[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 1 mile (1.6 km) south of the central business district of Staunton, a city in Virginia. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport located three miles (5 km) northwest of the central business district of Santa Barbara, a city in California.",2,SUPPORTS,"Shenandoah Valley Regional Airport, Santa Barbara Municipal Airport",0.7346938725697626,0.782608695652174,0.6923076923076923,0.6611570198019261,0.6896551724137931,0.6349206349206349,0.7346938725697626,0.782608695652174,0.6923076923076923
