True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Brandeis Award (privacy)] The Brandeis Award is named in honor of Louis Brandeis and awarded by Patient Privacy Rights, a health privacy watchdog. [Louis Brandeis] Louis Dembitz Brandeis ( ; November 13, 1856 – October 5, 1941) was an American lawyer and associate justice on the Supreme Court of the United States from 1916 to 1939.","[Patient Privacy Rights] Patient Privacy Rights is a 501(c)(3) nonprofit organization founded in 2006 by Pam Dixon. [Justice Louis D. Brandeis] Louis Dembitz Brandeis (] ; November 13, 1856 – October 5, 1941) was an American lawyer and associate justice on the Supreme Court of the United States from 1916 to 1939. [Brandeis Award] The Brandeis Award is an award given by Patient Privacy Rights to a person or organization that has made a significant contribution to privacy. [Brandeis Award] The award was established in 2006 and named after Justice Louis D. Brandeis. [Brandeis Award] The Brandeis Award was first awarded to the American Civil Liberties Union. [Brandeis Award] The Brandeis Award was given to the Electronic Privacy Information Center in 2007. [Brandeis Award] The Brandeis Award was given to the Electronic Frontier Foundation in 2008. [Brandeis Award] The Brandeis Award was given to the American Association for the Advancement of Science in 2009. [Brandeis Award] The Brandeis Award was given to the Center for Democracy & Technology in 2010.",2,REFUTES,"Brandeis Award (privacy), Louis Brandeis",0.6131386815365764,0.4772727272727273,0.8571428571428571,0.3736263694088879,0.2677165354330709,0.6181818181818182,0.598540141390591,0.4659090909090909,0.8367346938775511
"[Polar Bear (cocktail)] A Polar Bear, After Eight or Peppermint Paddy (a play on ""Peppermint Pattie"") is a mint chocolate cocktail that tastes like a York Peppermint Pattie or an After Eight wafer. [Daiquiri] Daiquiri ( ; Spanish: ""daiquirí"" ] ) is a family of cocktails whose main ingredients are rum, citrus juice (typically lime juice), and sugar or other sweetener.",1. The Polar Bear is a cocktail. 2. The Daiquiri is a cocktail.,2,REFUTES,"Polar Bear (cocktail), Daiquiri",0.19354838461498441,0.6666666666666666,0.11320754716981132,0.029411762197232044,0.1,0.017241379310344827,0.1612903200988554,0.5555555555555556,0.09433962264150944
"[FC Dynamo Kyiv] Football Club Dynamo Kyiv (Ukrainian: Футбольний клуб «Динамо» Київ , ] ) is a Ukrainian professional football club based in Kiev. [FC Dynamo Kyiv] Their home is the 70,050 capacity Olimpiyskiy National Sports Complex. [Olimpiyskiy National Sports Complex] The Olympic National Sports Complex (also known as Olympic Stadium; Ukrainian: Національний спортивний комплекс ""Олімпійський"" ) is a multi-use sports and recreation facility in Kiev, Ukraine, located on the slopes of the city's central Cherepanov Hill, Pechersk Raion.","1) [Olimpiyskiy National Sports Complex] Olimpiyskiy National Sports Complex is a multi-purpose recreation and recreation facility that currently houses professional football club Dynamo Kyiv. [Dynamo Kyiv] Dynamo Kyiv (; Ukrainian: Динамо Київ, Diyano Kyyiv) is a Ukrainian professional football club based in Kyiv. [Olimpiyskiy National Sports Complex] It is the most successful club in Ukraine, having won 25 Ukrainian Premier League titles and 23 Ukrainian Cups. [Olimpiyskiy National Sports Complex] In 1936, Dynamo Kyiv became the first Ukrainian club to join the Soviet Top League. [Olimpiyskiy National Sports Complex] In 1944, the club was disbanded by the Soviet authorities, but was restored in 1945. [Olimpiyskiy National Sports Complex] In 1951, Dynamo Kyiv became the first Soviet club to win the Soviet Top League. [Olimpiyskiy National Sports Complex] In 1991, Dynamo Kyiv became the first Ukrainian club to win the Soviet Top League. [Olimpiyskiy National Sports Complex] In 1992, Dynamo Kyiv became the first Ukrainian club to win the Ukrainian Premier League. [Olimpiyskiy National Sports Complex] In 1995, Dynamo Kyiv became the first Ukrainian club to win the Ukrainian Premier League. [Olimpiyskiy National Sports Complex] In 2002, Dynamo Kyiv became the first Ukrainian club to win the Ukrainian Premier League. [Olimpiyskiy National Sports Complex] In 2004, Dynamo Kyiv became the first Ukrainian club to win the Ukrainian Premier League. [Olimpiyskiy National Sports Complex] In 2005, Dynamo Kyiv became the first Ukrainian club to win the Ukrainian Premier League. [Olimpiyskiy National Sports Complex] In 2006, Dynamo Kyiv became the first Ukrainian club to win the Ukrainian Premier League. [Olimpiyskiy National Sports Complex] In 2007, Dynamo Kyiv became the first Ukrainian club to",2,REFUTES,"Olimpiyskiy National Sports Complex, FC Dynamo Kyiv",0.345864656677031,0.323943661971831,0.3709677419354839,0.17679557534263313,0.14545454545454545,0.22535211267605634,0.345864656677031,0.323943661971831,0.3709677419354839
"[Red Velvet discography] The discography of the South Korean girl group Red Velvet consists of one studio album, five extended plays, and twelve singles. [S.M. Entertainment] It is currently one of the largest entertainment companies in South Korea.","[Red Velvet] Red Velvet (Hangul: 레드벨벳; RR: Redibeobeo) is a South Korean girl group formed by S.M. Entertainment in 2007. [SM Entertainment] S.M. Entertainment (Hangul: 에스엠엔터테인먼트) is a South Korean entertainment company established in 1995 by Lee Soo-man. [S.M. Entertainment] It is the largest entertainment company in South Korea. [S.M. Entertainment] S.M. Entertainment has a total of 11 artists under its label, including Kangta, BoA, TVXQ, Super Junior, Girls Generation, SHINee, f(x), and Red Velvet. [S.M. Entertainment] The company also has several subsidiaries, including the S.M. Culture & Contents business unit, which produces television shows and movies.",2,REFUTES,"Red Velvet discography, S.M. Entertainment",0.3960395995608274,0.29411764705882354,0.6060606060606061,0.19199999583232008,0.13636363636363635,0.32432432432432434,0.3960395995608274,0.29411764705882354,0.6060606060606061
"[Edwin Forrest] His feud with the British actor William Charles Macready was the cause of the deadly Astor Place Riot of 1849. [Astor Place Riot] The Astor Place Riot occurred on May 10, 1849, at the now-demolished Astor Opera House in Manhattan, New York City and left at least 25 dead and more than 120 injured.","[Edwin Forrest] Edwin Forrest (March 17, 1815 – May 10, 1872) was an American actor and singer, who had a successful career in New York and London. [Horace H. Fuller] Horace H. Fuller (March 10, 1815 – May 10, 1872) was an American actor and manager. [The Astor Place Riot] The Astor Place Riot was a riot that occurred on May 10, 1849, in Manhattan, New York City, during a boxing match between the English champion, William ""Bendigo"" Smith, and the American champion, John ""Young"" Heenan. [The Astor Place Riot] The riot was precipitated by a dispute between the two boxers' managers, Edwin Forrest and Horace H. Fuller.",2,REFUTES,"Astor Place Riot, Edwin Forrest",0.3853210960693545,0.328125,0.4666666666666667,0.1857142810091838,0.14942528735632185,0.24528301886792453,0.3486238483629324,0.296875,0.4222222222222222
"[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic high fantasy adventure film directed by Peter Jackson and produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer. [Metro-Goldwyn-Mayer] Metro-Goldwyn-Mayer Studios Inc. (abbreviated as MGM or M-G-M, also known as Metro-Goldwyn-Mayer Pictures, Metro-Goldwyn-Mayer or simply Metro, and for a former interval known as Metro-Goldwyn-Mayer/United Artists, or MGM/UA) is an American media company, involved primarily in the production and distribution of feature films and television programs.","1. [The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 fantasy film directed by Peter Jackson. It is the second installment of The Hobbit film series, based on the novel by J. R. R. Tolkien, and a sequel to The Hobbit: An Unexpected Journey (2012). [Metro-Goldwyn-Mayer Studios Inc.] Metro-Goldwyn-Mayer Studios Inc. (MGM) is an American media company, involved in motion picture, television, music, and theater production. [The Hobbit: The Desolation of Smaug] MGM was the major producer of the 2013 film, The Hobbit: The Desolation of Smaug. [The Hobbit: The Desolation of Smaug] The film is the sequel to the 2012 film The Hobbit: An Unexpected Journey. [The Hobbit: The Desolation of Smaug] MGM also produced the 2001 film, The Lord of the Rings: The Fellowship of the Ring. [The Hobbit: The Desolation of Smaug] The film is the second installment of The Hobbit film series, based on the novel by J. R. R. Tolkien, and a sequel to The Hobbit: An Unexpected Journey (2012). [The Hobbit: The Desolation of Smaug] The film is the sequel to the 2012 film The Hobbit: An Unexpected Journey. [The Hobbit: The Desolation of Smaug] MGM also produced the 2001 film, The Lord of the Rings: The Fellowship of the Ring. [The Hobbit: The Desolation of Smaug] The film is the second installment of The Hobbit film series, based on the novel by J. R. R. Tolkien, and a sequel to The Hobbit: An Unexpected Journey (2012). [The Hobbit: The Desolation of Smaug] The film is the sequel to the 2012 film The Hobbit: An Unexpected Journey. [The Hobbit: The Desolation of Smaug] MGM also produced the 2",2,REFUTES,"Metro-Goldwyn-Mayer, The Hobbit: The Desolation of Smaug",0.47692307193372785,0.45588235294117646,0.5,0.24309391773267003,0.21568627450980393,0.27848101265822783,0.46153845654911246,0.4411764705882353,0.4838709677419355
"[WJAR] WJAR (more commonly known as NBC 10) is the NBC-affiliated television station for the state of Rhode Island and Bristol County, Massachusetts licensed to Providence. [WJAR] Owned by Sinclair Broadcast Group, the station shares studios on Kenney Drive in Cranston with ZGS Communications-owned Telemundo affiliate WRIW-CD. [Sinclair Broadcast Group] Sinclair Broadcast Group is an American telecommunications company that is owned by the family of company founder Julian Sinclair Smith.","[WJAR] WJAR (channel 10) is a television station in Providence, Rhode Island, United States, affiliated with NBC. [NBC 10] The station is owned by NBCUniversal and is part of the networks NBC Owned Television Stations subsidiary. [NBC 10] It serves as the NBC affiliate for the state of Rhode Island and southernmost Massachusetts. [NBC 10] The station is also available on satellite television providers Dish Network and DirecTV. [NBC 10]",2,REFUTES,"WJAR, Sinclair Broadcast Group",0.4380952331174604,0.46938775510204084,0.4107142857142857,0.16793892630499402,0.1746031746031746,0.16176470588235295,0.3999999950222222,0.42857142857142855,0.375
"[The Desire to Live] The Desire to Live (Spanish: ""El Deseo de vivir"" ) is a 1973 Argentine romantic musical film directed by Julio Saraceni and starring Sandro and Elena Sedova. [Sandro de América] Roberto Sánchez-Ocampo (August 19, 1945 – January 4, 2010), better known by his artist names Sandro/Sandro de América (""Sandro of America""), ""Gitano"" (gypsy), and the Argentine Elvis, was a notable Argentine singer and actor.","1. [Julio Saraceni] Julio Saraceni (] ; 28 October 1924 – 11 February 2013) was an Argentine film director, writer and producer. [Aashiqui 2] Aashiqui 2 is a 2013 Indian romantic musical drama film directed by Mohit Suri. [Aashiqui 2] The film is a sequel to the 1990 film Aashiqui and is a loose adaptation of William Shakespeare's Romeo and Juliet. [Aashiqui 2] It stars Aditya Roy Kapur and Shraddha Kapoor in the lead roles, with Shaad Abdullah, Kunal Khemu, and Amrita Singh in supporting roles. [Aashiqui 2] It was produced by Mukesh Bhatt and Bhushan Kumar. [Aashiqui 2] The film released on 26 April 2013.",2,REFUTES,"Sandro de América, The Desire to Live",0.2537313383949655,0.22077922077922077,0.2982456140350877,0.061728390233196546,0.052083333333333336,0.07575757575757576,0.22388059212630887,0.19480519480519481,0.2631578947368421
"[Horse Creek (McKenzie River)] It begins in the Cascade Range in the Three Sisters Wilderness of the Willamette National Forest. [Cascade Range] The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California.",[Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington. [Horse Creek] Horse Creek,2,REFUTES,"Horse Creek (McKenzie River), Cascade Range",0.2857142819642857,0.5714285714285714,0.19047619047619047,0.0677966065498422,0.14285714285714285,0.044444444444444446,0.2857142819642857,0.5714285714285714,0.19047619047619047
"[Miklos Wright] Miklos Wright is an American film editor. [Miklos Wright] His most notable works include ""Open Range"" and ""Mr. Brooks"", both of which starred Kevin Costner, along with doing multiple episodes of ""Southland (TV Series)"" and ""Chicago PD (TV Series)"". [Open Range (2003 film)] The film was the final on-screen appearance of Jeter, who died before it was released, and the film was dedicated to Jeter's memory, and to that of Costner's parents, Bill and Sharon.","Miklos Wright (born 1943) is a film editor who has worked on over 40 films, including The Ninth Configuration (1980), The Fog (1980), The Howling (1981), The Evil Dead (1981), The Lost Boys (1987), Arachnophobia (1990), The People Under the Stairs (1991), Sleepwalkers (1992), The Horror Show (1989), and The People Under the Stairs (1991). [Bea Arthur] Bea Arthur (] ; December 13, 1922 – April 25, 2009) was an American actress, comedian, singer, and activist, who was known for her role as the man-hungry, chain-smoking, alcoholic waitress and cook, Maude Findlay, on the sitcom Maude (1972–1978), which won her an Emmy Award. [The Last Married Couple in America] The Last Married Couple in America is a 1980 American comedy film directed by Gilbert Cates and starring Bea Arthur and Richard Mulligan.",2,REFUTES,"Miklos Wright, Open Range (2003 film)",0.166666661932939,0.13541666666666666,0.21666666666666667,0.031088078198073146,0.025,0.0410958904109589,0.1538461491124262,0.125,0.2
