True Evidence,Generated Evidence,Hops,Label,Topics,bartscore
"[Tura Beach, New South Wales] Tura Beach is suburb of Merimbula, on the South Coast of New South Wales, Australia, in the Bega Valley Shire local government area. [Merimbula] At the 2016 census , the population was 3,544. [Elwood Zimmerman] Elwood Curtin Zimmerman (born in Spokane, Washington on December 8, 1912; died in Tura Beach, New South Wales on June 18, 2004) was an American entomologist best known for his two multivolume series: ""Insects of Hawaii"" published by the University of Hawaiʻ i Press and ""Australian Weevils (Coleoptera: Curculionoidea)"" published by Australia's CSIRO.","Elwood Zimmerman was an American entomologist who died from cancer in a suburb of a town with a population of 3,544 at the 2016 census. [Elwood Zimmerman] Elwood Zimmerman (1928-2018) was an American entomologist and academic who specialized in the study of beetles. [Town with a population of 3,544 at the 2016 census] The town with a population of 3,544 at the 2016 census is likely to be a small town or village in a rural area.",3,REFUTES,"Tura Beach, New South Wales, Merimbula, Elwood Zimmerman",-4.127625942230225
"[Frailea] Frailea is a genus of globular to short cylindrical cacti native to Brazil. [Cyathodes] Cyathodes is a genus of shrubs within the heath family. [Frailea castanea] Frailea castanea is a species of Frailea found in Argentina, Brazil and Uruguay.","Cyathodes is a genus of plants in the family Cyathodiaceae. [Frailea castanea] Frailea castanea is a species of succulent plant in the family Cactaceae. [Cyathodes] Cyathodes is a genus of plants in the family Cyathodiaceae, which are also known as ""false cyads"". [Cyathodes] Cyathodes is a genus of plants in the family Cyathodiaceae, which are also known as ""false cyads"".",3,REFUTES,"Frailea, Cyathodes, Frailea castanea",-3.2514405250549316
"[Lulu (opera)] Theodor W. Adorno wrote ""The opera ""Lulu"" is one of those works that reveals the extent of its quality the longer and more deeply one immerses oneself in it."" [Theodor W. Adorno] Theodor W. Adorno ( ; ] ; born Theodor Ludwig Wiesengrund; September 11, 1903 – August 6, 1969) was a German philosopher, sociologist, and composer known for his critical theory of society. [Donald Gramm] "" Among the most notable of his many operatic roles were the title role in Verdi's ""Falstaff"", Leporello in Mozart's ""Don Giovanni"", and Dr. Schön and Jack the Ripper in Berg's ""Lulu"".","🔍 Theodor W. Adorno wrote ""The Opera as Music Drama"" in 1953. 🎭 Donald Gramm played the role of Jack the Ripper in the 1988 opera ""Jack the Ripper: The Operas."" 🎵 Adorno was a prominent member of the Frankfurt School of social theory, and his work critiqued the effects of mass culture on society. 📚 Adorno's ""The Opera as Music Drama"" is a critical analysis of the opera as a genre, exploring its relationship to society and culture. 🎭 Donald Gramm is an American baritone singer and actor, known for his performances in operas and musicals. 🎵 Adorno's critique of mass culture is reflected in his analysis of the opera as a form of cultural expression. 📚 Adorno's work is influential in the field of cultural studies, and his ideas continue to be studied and debated by scholars today. 🎭 Donald Gramm's performance in ""Jack the Ripper: The Operas"" is an example of how the opera can be used to explore social and cultural issues.",3,REFUTES,"Donald Gramm, Theodor W. Adorno, Lulu (opera)",-9.774826049804688
"[Steyr Mannlicher] Originally part of Steyr-Daimler-Puch, it became independent when the conglomerate was broken up in 1989. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was a large manufacturing conglomerate based in Steyr, Austria, which was broken up in stages between 1987 and 2001. [Steyr SSG 08] The Steyr SSG 08 (German: Scharfschützengewehr 2008, English: Sniper Rifle 08) is a modern bolt-action sniper rifle developed and produced by Steyr Mannlicher in Austria.","[Steyr SSG 08] The Steyr SSG 08 is a bolt-action sniper rifle manufactured by Steyr-Daimler-Puch in Austria. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was an Austrian manufacturing conglomerate that was broken up in stages between the years of 1987 and 2001. [Steyr-Daimler-Puch] The company was formed in 1987 through the merger of Steyr-Puch and Daimler-Benz, and was later broken up into smaller companies in 2001.",3,REFUTES,"Steyr-Daimler-Puch, Steyr SSG 08, Steyr Mannlicher",-2.459475040435791
"[Andrew Stanton] His film work includes writing and directing Pixar's ""A Bug's Life"" (1998) (as co-director), ""Finding Nemo"" (2003), and ""WALL-E"" (2008), and the live-action film, Disney's ""John Carter"" (2012). [A Bug's Life] Directed by John Lasseter, the film involves a misfit ant named Flik that is looking for ""tough warriors"" to save his colony from greedy grasshoppers, only to recruit a group of bugs that turn out to be an inept circus troupe. [Finding Dory] Directed by Andrew Stanton with co-direction by Angus MacLane, the screenplay was written by Stanton and Victoria Strouse.","🌟 Finding Dory (2016) 🌟 Andrew Stanton directed Finding Dory, but he did not co-direct A Bug's Life (2002). 🐞 A Bug's Life (2002) 🐞 Stanton did not work on A Bug's Life.",3,REFUTES,"A Bug's Life, Andrew Stanton, Finding Dory",-4.228841781616211
"[Yorkshire Terrier] The Yorkshire Terrier is a small dog breed of terrier type, developed during the 19th century in Yorkshire, England, to catch rats in clothing mills. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small spaniel classed as a toy dog by The Kennel Club and the American Kennel Club. [Hypoplasia of dens] It is more commonly seen in certain breeds, including the Chihuahua, the Papillon, the Pointer and the Yorkshire Terrier.","🐶 The Kennel Club of dens affects this dog breed. 🐕 The breed that is affected and the Cavalier King Charles Spaniel are kinds of dog. 🐕 The Cavalier King Charles Spaniel is a breed of dog that is prone to developing mitral valve disease, a heart condition that can lead to congestive heart failure. 🐕 The breed that is affected by this condition is the Cardigan Welsh Corgi. 🐕 The Cardigan Welsh Corgi is a breed of dog that is closely related to the Pembroke Welsh Corgi and is also prone to developing mitral valve disease. 🐕 The Pembroke Welsh Corgi is a breed of dog that is known for its short stature and distinctive appearance. 🐕 The Pembroke Welsh Corgi is a popular breed of dog that is often kept as a pet and is known for its intelligence and loyalty. 🐕 The Pembroke Welsh Corgi is a breed of dog that is prone to developing a number of health problems, including mitral valve disease, hip dysplasia, and eye problems. 🐕 The Pembroke Welsh Corgi is a breed of dog that is known for its short stature and distinctive appearance. 🐕 The Pembroke Welsh Corgi is a popular breed of dog that is often kept as a pet and is known for its intelligence and loyalty. 🐕 The Pembroke Welsh Corgi is a breed of dog that is prone to developing a number of health problems, including mitral valve disease, hip dysplasia, and eye problems. 🐕 The Pembroke Welsh Corgi is a breed of dog that is known for its short stature and distinctive appearance. 🐕 The Pembroke Welsh Corgi is a popular breed of dog that is often kept as a pet and is known for its intelligence and loyalty. 🐕 The Pembroke Welsh Corgi is a breed of dog that is prone to developing a number of health problems, including mitral valve disease, hip dysplasia, and eye",3,REFUTES,"Yorkshire Terrier, Hypoplasia of dens, Cavalier King Charles Spaniel",-15.445960998535156
"[Eddie Cahill] Edmund Patrick ""Eddie"" Cahill (born January 15, 1978) is an American actor best known for portraying ""Miracle on Ice"" goalie Jim Craig in the movie ""Miracle"", and for playing the roles of Tag Jones on ""Friends"" and Detective Don Flack on ""."" [Jim Craig (ice hockey)] James Downey Craig (born May 31, 1957) is a retired American ice hockey goaltender who is most notable for being part of the 1980 U.S. Olympic hockey team that won the Olympic gold medal at the Lake Placid Winter Games. [Glory Days (2002 TV series)] The series was created by Kevin Williamson, and stars Eddie Cahill and Poppy Montgomery.","[Mike ""Miracle on Ice"" Eruzione] Mike Eruzione is a retired American ice hockey goaltender who played for the United States national ice hockey team in the 1980 Winter Olympics. [Glory Days] Glory Days is a 2002 American television series starring John Michael Higgins as Coach Gordon ""Gordie"" Gronke, a former college hockey player who becomes the coach of the Cougars, a fictional college hockey team.",3,REFUTES,"Glory Days (2002 TV series), Eddie Cahill, Jim Craig (ice hockey)",-4.3825201988220215
"[Excuse My French (album)] Excuse My French is the debut studio album by American rapper French Montana. [Excuse My French (album)] The album features guest appearances from Diddy, Nicki Minaj, Drake, Ace Hood, Lil Wayne, Birdman, The Weeknd, Rick Ross, 2 Chainz, Max B, Ne-Yo, Machine Gun Kelly, Raekwon, Scarface and Snoop Dogg, among others. [Machine Gun Kelly (rapper)] Richard Colson Baker (born April 22, 1990), better known by his stage names MGK and Machine Gun Kelly, is an American rapper and actor, from Cleveland, Ohio. [Pop That] Released as the first single from his debut studio album ""Excuse My French"" (2013), it features guest appearances from fellow rappers Rick Ross, Drake and Lil Wayne.","1. [Pop That] Pop That is a song by American rapper and actor, Tyler, The Creator, from his debut studio album, Bastard (2009). [Tyler, The Creator] Tyler, the Creator (real name Tyler Gregory Okonma; born April 6, 1991) is an American rapper, singer, songwriter, record producer, and filmmaker from Los Angeles, California. [Tyler, The Creator] 2. [The Neptunes] The Neptunes are an American hip hop production duo from Virginia Beach, Virginia, composed of Pharrell Williams and Chad Hugo. [The Neptunes] Pharrell Williams (born April 3, 1973) is an American rapper, singer, songwriter, record producer, and actor from Virginia Beach, Virginia. [Pharrell Williams] Chad Hugo (born May 29, 1974) is an American musician, composer, and producer from Virginia Beach, Virginia. [Chad Hugo] The Neptunes are known for their work with various hip-hop and R&B artists, including Jay-Z, Britney Spears, Justin Timberlake, and Gwen Stefani.",3,REFUTES,"Machine Gun Kelly (rapper), Excuse My French (album), Pop That",-5.88283634185791
"[2014 in video gaming] In addition, it saw the release of many new intellectual properties, such as ""Destiny"", ""Five Nights at Freddy's,"" ""Sunset Overdrive"", ""Titanfall"", ""The Evil Within"" and ""Watch Dogs"". [Five Nights at Freddy's (video game)] The game centers around a fictional pizza restaurant called ""Freddy Fazbear's Pizza"", where the player must act as a night security guard, defending themselves from the malfunctioning, haunted animatronic characters by tracking their movement through the facility using security cameras. [Five Nights at Freddy's 2] It is the second game in the ""Five Nights at Freddy's"" series, and is chronologically set before the events of the first game.","1. [Five Nights at Freddy's 2] Five Nights at Freddy's 2 is a survival horror video game developed by Scott Cawthon and released on July 27, 2014 for PC. [Five Nights at Freddy's 2] 2. [Five Nights at Freddy's] Five Nights at Freddy's is a survival horror video game developed by Scott Cawthon and released on August 8, 2014 for PC. [Five Nights at Freddy's] The game was first released in summer 2002 as a new intellectual property.",3,REFUTES,"Five Nights at Freddy's (video game), 2014 in video gaming, Five Nights at Freddy's 2",-3.9385061264038086
"[Conspirare] Conspirare has commissioned works from composers including David Lang, Tarik O'Regan, Jocelyn Hagen, Donald Grantham, Eric Whitacre, Nico Muhly, Mark Adamo, Robert Kyr, Jake Heggie, Eric Banks, and Jake Runestad. [Eric Whitacre] Eric Edward Whitacre (born January2, 1970) is a Grammy-winning American composer, conductor, and speaker, known for his choral, orchestral and wind ensemble music. [Eric Whitacre] He is also known for his ""Virtual Choir"" projects, bringing individual voices from around the globe together into an online choir. [Tarik O'Regan: Threshold of Night] Tarik O'Regan: Threshold of Night is the third release by the choral group Conspirare and the second recording of the work of Tarik O'Regan.","🎶 [Tarik O'Regan: Threshold of Night] is an album released by the Austin-based ensemble, the Lund Chamber Choir, conducted by Eric Edward Whitacre. [Eric Edward Whitacre] Eric Edward Whitacre (born January 2, 1970) is an American composer, conductor, and teacher of choral music. [Eric Edward Whitacre] He is known for his innovative and technologically advanced compositions, and has worked with ensembles such as the Los Angeles Master Chorale, the BBC Singers, and the Royal Philharmonic Orchestra.",3,REFUTES,"Eric Whitacre, Conspirare, Tarik O'Regan: Threshold of Night",-2.8678412437438965
