True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Canine follicular dysplasia] Certain breeds, such as the Mexican Hairless Dog and Chinese Crested Dog, are bred specifically for alopecia. [Mexican Hairless Dog] The Xoloitzcuintli ( ; Nahuatl pronunciation: ), or Xolo for short, is a hairless breed of dog, found in toy, miniature, and standard sizes.","1. [Chinese Crested Dog] The Chinese Crested Dog (also known as the Crested Chinese Dog or the Crested Dog) is a rare breed of toy dog known for its hairlessness, and is one of the oldest dog breeds in the world. [Xoloitzcuintli] Xoloitzcuintli (Mexican Hairless Dog) is a rare breed of dog native to Mexico. The breed is known for its hairlessness and is considered to be one of the oldest dog breeds in the world.",2,SUPPORTS,"Canine follicular dysplasia, Mexican Hairless Dog",0.40963854923501236,0.4358974358974359,0.38636363636363635,0.09615384122041447,0.08620689655172414,0.10869565217391304,0.3855421636928437,0.41025641025641024,0.36363636363636365
"[SAS Technical Services] The company is owned by the SAS Group and provides technical maintenance of aircraft to airlines in and outside the SAS Group. [SAS Technical Services] It is headquartered at Arlanda outside Stockholm and has 3,600 employees. [SAS Group] Scandinavian Airlines System Aktiebolag (, Nasdaq: SAS , ), trading as SAS Group and SAS AB, is an airline holding company headquartered in the SAS Frösundavik Office Building in Solna Municipality, Sweden. [SAS Group] It also owns the aviation services companies SAS Business Opportunities, SAS Cargo Group, SAS Ground Services, and SAS Technical Services. [SAS Group] SAS Group is partially owned by the governments of Sweden, Denmark, and Norway, with a 21.4%, 14.3%, and 14.3% ownership, respectively.","SAS Group [SAS Group] SAS Group (IATA: SK, ICAO: SAS, call sign: SAS) is a Scandinavian airline company that operates in Northern Europe, headquartered at Skyport in Stockholm, Sweden. [Arlanda, Sweden] Arlanda Airport (IATA: ARN, ICAO: ESSA) is an international airport located in the municipality of Solna, Sweden, and is one of Swedens largest airports.",2,SUPPORTS,"SAS Group, SAS Technical Services",0.31147540513840366,0.41304347826086957,0.25,0.08749999556953147,0.1320754716981132,0.06542056074766354,0.2950819625154528,0.391304347826087,0.23684210526315788
"[Merrick Boulevard buses] The Q5 and Q85 bus routes constitute a public transit corridor running along Merrick Boulevard in Southeastern Queens, New York City, United States. [Merrick Boulevard buses] The routes run from the Jamaica Center transit hub and business district to Rosedale, with continued service to the Green Acres Mall shopping center in Nassau County. [Green Acres Mall] Green Acres Mall is an indoor shopping mall located in South Valley Stream, New York, off Sunrise Highway in Nassau County right off the border of New York City and the Incorporated Village of Valley Stream (part of the parking lot and stores on the north side of the property are in the Village, while the mall itself is in an unincorporated hamlet of the Town of Hempstead). [Green Acres Mall] The mall has a gross leasable area (GLA) of 1800000 sqft .","[Merrick Boulevard] Merrick Boulevard is a major north-south street in West Palm Beach, Florida. [Gross leasable area] Gross leasable area (GLA) is a term used in real estate to refer to the total rentable area of a commercial property, including both the rentable space and any common areas.",2,SUPPORTS,"Green Acres Mall, Merrick Boulevard buses",0.20312499576293955,0.3333333333333333,0.14606741573033707,0.045977007604703725,0.08695652173913043,0.03125,0.20312499576293955,0.3333333333333333,0.14606741573033707
"[Robert Purcell (virologist)] Robert H. Purcell (born 19 December 1935) is a virologist who, together with Stephen Feinstone and Albert Kapikian, co-identified the Hepatitis A virus (HAV) in 1973. [Hepatitis A] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.","Robert Purcell] Robert Purcell (February 16, 1658 – March 17, 1718) was an English clergyman, theologian, and scientist. [Symptoms of the virus] Nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain are common symptoms of many viral infections.",2,SUPPORTS,"Hepatitis A, Robert Purcell (virologist)",0.2716049334003964,0.3235294117647059,0.23404255319148937,0.1411764657051905,0.16666666666666666,0.12244897959183673,0.246913575375705,0.29411764705882354,0.2127659574468085
"[Rock (Nominees) Ltd v RCO Holdings Ltd] RCO itself was in the cleaning, catering and security porterage business. [ISS A/S] ISS services include: cleaning services, support services, property services, catering services, security services and facility management services.","[Rock Nominees Ltd] Rock Nominees Ltd is a limited liability company registered in England and Wales. [ISS A/S (Integrated Service Solutions)] ISS A/S (Integrated Service Solutions) is a Danish company that provides cleaning, catering and security services.",2,SUPPORTS,"ISS A/S, Rock (Nominees) Ltd v RCO Holdings Ltd",0.3859649072822407,0.3793103448275862,0.39285714285714285,0.11594202399495926,0.12121212121212122,0.1111111111111111,0.35087718798399514,0.3448275862068966,0.35714285714285715
"[Both Sides Now (Joni Mitchell album)] The album won two Grammy awards in 2001 for Best Traditional Pop Vocal Album and Best Instrumental Arrangement Accompanying Vocalist(s) for the song ""Both Sides, Now"". [Both Sides, Now] ""Both Sides, Now"" is a song by Joni Mitchell, and one of her best-known songs. [Both Sides, Now] She re-recorded the song in a lusher, orchestrated version for her 2000 album ""Both Sides Now""; this version was subsequently featured on the soundtrack to the 2003 film ""Love Actually"" and was performed by Sara Bareilles during the 89th Academy Awards' ""In Memoriam"" homage.","[Love Actually (soundtrack)] Love Actually is a 2003 British romantic comedy film directed by Richard Curtis. [Joni Mitchell] Joni Mitchell (; born Roberta Joan Anderson; November 7, 1943) is a Canadian singer-songwriter and painter. [Grammy Awards] The 50th Annual Grammy Awards took place on February 8, 2008, at the Nokia Theatre in Los Angeles, California. [Album named after the Joni Mitchell song] The album, Love Actually: The Original Motion Picture Soundtrack, was released on November 4, 2003, by Universal Classics.",2,SUPPORTS,"Both Sides, Now, Both Sides Now (Joni Mitchell album)",0.20437955704406216,0.20588235294117646,0.2028985507246377,0.0119047569394862,0.012987012987012988,0.01098901098901099,0.18978101689807675,0.19117647058823528,0.18840579710144928
"[Texas A&amp;M Aggies football] The Texas A&M Aggies football program represents Texas A&M University in the sport of American football. [Texas A&amp;M Aggies football] Kevin Sumlin is currently the team's head coach. [Kevin Sumlin] Previously, Sumlin was the head football coach at the University of Houston from 2007 to 2011.","[Kevin Sumlin] Kevin Sumlin (born January 9, 1964) is an American football coach who is the current head coach of the Texas A&M Aggies football team. [University of Houston] The University of Houston (UH or U of H) is a public research university located in Houston, Texas. [University of Houston] Art Briles was the head football coach at the University of Houston from 2007 to 2011, before Sumlin took over.",2,SUPPORTS,"Kevin Sumlin, Texas A&amp;M Aggies football",0.5609756049464605,0.46938775510204084,0.696969696969697,0.3486238483629324,0.296875,0.4222222222222222,0.43902438543426536,0.3673469387755102,0.5454545454545454
"[The Daily Howler] The Daily Howler is an American political blog written by Bob Somerby. [The Daily Howler] Despite being left of center in his politics, Somerby mainly critiques liberals in the U.S. mainstream media who he feels do poor journalism, such as Rachel Maddow and Keith Olbermann, both of MSNBC. [Rachel Maddow] Rachel Anne Maddow ( , ; born April 1, 1973) is an American television host, political commentator, and author.","[Kornacki, Steve] Steve Kornacki (born September 27, 1982) is an American journalist and television host who is currently a national political correspondent for NBC News and a political analyst for MSNBC. [Kornacki, Steve] He has also been a contributor on The Rachel Maddow Show, a nightly television program on MSNBC, hosted by Rachel Maddow. [Maddow, Rachel] Rachel Maddow (born April 1, 1973) is an American television host, radio host, and author who is the host of The Rachel Maddow Show, a nightly television program on MSNBC. [Maddow, Rachel] She is also a MSNBC journalist critiqued on the Daily Howler.",2,SUPPORTS,"Rachel Maddow, The Daily Howler",0.3684210476377348,0.38181818181818183,0.3559322033898305,0.13245032617516794,0.12048192771084337,0.14705882352941177,0.3684210476377348,0.38181818181818183,0.3559322033898305
"[Madonna (entertainer)] Madonna Louise Ciccone ( ; born August 16, 1958) is an American singer, songwriter, actress, and businesswoman. [William Friedkin] William Friedkin (born August 29, 1935) is an American film director, producer and screenwriter best known for directing ""The French Connection"" in 1971 and ""The Exorcist"" in 1973; for the former, he won the Academy Award for Best Director.","[Madonna] Madonna Ciccone (born August 16, 1958) is an American singer-songwriter, actress, and entrepreneur. [William Friedkin] William Friedkin (born December 29, 1935) is an American film director, producer, and screenwriter.",2,SUPPORTS,"Madonna (entertainer), William Friedkin",0.540540536066472,0.8,0.40816326530612246,0.3809523765901361,0.5925925925925926,0.2807017543859649,0.540540536066472,0.8,0.40816326530612246
"[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton, a city in Augusta County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport 7 mi west of downtown Santa Barbara, California, United States.","Shenandoah Valley Regional Airport is located in Winchester, Virginia, United States. [Shenandoah Valley Regional Airport] Santa Barbara Municipal Airport is located in Santa Barbara, California, United States. [Santa Barbara Municipal Airport]",2,SUPPORTS,"Santa Barbara Municipal Airport, Shenandoah Valley Regional Airport",0.5070422496012696,0.9473684210526315,0.34615384615384615,0.39080459370590565,0.7083333333333334,0.2698412698412698,0.5070422496012696,0.9473684210526315,0.34615384615384615
