True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Terri Nunn] Terri Kathleen Nunn (born June 26, 1961), is an American singer and actress. [Sonya Scarlet] Sonya Scarlet (born 2 April 1980) is the singer and lyricist of the Italian extreme gothic metal band Theatres des Vampires. [Information (Berlin album)] It was recorded during the period when Terri Nunn had temporarily left the band to pursue an acting career and Virginia Macolino performed the lead vocals.","[Sonya Scarlet] Sonya Scarlet (born September 1990) is a British singer, songwriter and model. [Information (Berlin album)] Information is the debut studio album by the German electronic music project Ber",3,SUPPORTS,"Sonya Scarlet, Terri Nunn, Information (Berlin album)",0.26829267842950627,0.39285714285714285,0.2037037037037037,0.1489361659461296,0.2413793103448276,0.1076923076923077,0.26829267842950627,0.39285714285714285,0.2037037037037037
"[Carl Barât] Carlos Ashley Raphael Barât (born 6 June 1978) is a British musician, best known for being the co-frontman with Peter Doherty of the garage rock band The Libertines. [Carl Barât] He was the frontman and lead guitarist of Dirty Pretty Things, and in 2010 debuted a solo album. [Carl Barât] In 2014 he announced the creation of his new band, The Jackals. [Jesse Michaels] Jesse Michaels is a songwriter, vocalist, guitarist and artist from Berkeley, California. [Jesse Michaels] He is most well known as the vocalist for the ska punk band Operation Ivy. [Big Rig (band)] Big Rig was a punk band from the San Francisco Bay Area fronted by singer/songwriter Jesse Michaels.","[Carl Barât] Carlos Ashley Raphael ""Carl"" Barât (born 20 May 1970) is a British singer, songwriter, musician, and actor. [Big Rig] Big Rig is a punk band from the United Kingdom, formed in 1990.",3,SUPPORTS,"Jesse Michaels, Carl Barât, Big Rig (band)",0.3716814118693711,0.65625,0.25925925925925924,0.1714285679020409,0.375,0.1111111111111111,0.3716814118693711,0.65625,0.25925925925925924
"[James Schuyler] His awards include the Pulitzer Prize for Poetry for his 1980 collection ""The Morning of the Poem"". [H. G. Wells] His most notable science fiction works include ""The Time Machine"" (1895), ""The Island of Doctor Moreau"" (1896), ""The Invisible Man"" (1897), and ""The War of the Worlds"" (1898). [Darragh Park] Darragh Park (July 24, 1939 – April 17, 2009) was an American Artist, and the literary executor of the estate of Pulitzer Prize–winning poet James Schuyler.","[Darragh Park] Darragh Park is a literary agent and the literary executor of the estate of William Trevor. [H.G. Wells] Herbert George Wells (21 September 1866 – 13 August 1946), known as H. G. Wells, was an English writer, historian, and social commentator. [William Trevor] William Trevor (1913 – 2011) was an Irish novelist, playwright, and short story writer.",3,SUPPORTS,"H. G. Wells, Darragh Park, James Schuyler",0.2909090859685951,0.32653061224489793,0.26229508196721313,0.19696969206267229,0.22807017543859648,0.17333333333333334,0.2909090859685951,0.32653061224489793,0.26229508196721313
"[Enkianthus] Enkianthus is a genus of shrubs or small trees in the heath family (Ericaceae). [Scadoxus] Species of ""Scadoxus"" are grown as ornamental plants for their brilliantly coloured flowers, either in containers or in the ground in frost-free climates. [Enkianthus campanulatus] The hardiest of ""Enkianthus"" species is E. campanulatus (furin-tsutsuji or redvein enkianthus), a medium-sized, narrow, upright, deciduous shrub.","Enkianthus campanulatus is a species of flowering plant in the family Spiraeaceae, commonly known as Chinese lantern or Chinese bellflower. [Scadoxus] Scadoxus (also known as Haemanthus) is a genus of flowering plants in the family Haemanthusaceae, commonly known as ""African daisies"". They are native to southern Africa and are popular ornamental plants in warm temperate and subtropical regions. [Small enough] The plant is small enough to be grown in a container, making it a popular choice for indoor gardening.",3,SUPPORTS,"Enkianthus, Scadoxus, Enkianthus campanulatus",0.3846153796320267,0.36363636363636365,0.40816326530612246,0.07874015253270537,0.07142857142857142,0.08771929824561403,0.326923071939719,0.3090909090909091,0.3469387755102041
"[Dave Peverett] David Jack Peverett (16 April 1943 – 7 February 2000), also known as Lonesome Dave, was an English singer and musician, best known as the original lead vocalist and rhythm guitarist of the rock band Foghat, which he founded following his tenure in Savoy Brown. [Jang Hyun-seung] Jang Hyun-seung (; born September 3, 1989) most often credited as Hyunseung, is a South Korean singer. [Zig-Zag Walk] Unlike the previous year's ""In the Mood for Something Rude"", which consisted of all outside material, lead singer Dave Peverett wrote five of the album's ten songs, with guitarist Erik Cartwright contributing a sixth.","[Jang Hyun-seung] Jang Hyun-seung (born July 29, 1986) is a South Korean singer, songwriter, and actor. [Zig-Zag Walk] Zig-Zag Walk is a 1983 song by the South Korean rock band, Seo Taiji & Boys.",3,SUPPORTS,"Dave Peverett, Jang Hyun-seung, Zig-Zag Walk",0.2260869526654065,0.43333333333333335,0.15294117647058825,0.10769230406035514,0.22580645161290322,0.0707070707070707,0.2260869526654065,0.43333333333333335,0.15294117647058825
"[Mount Ida] In Greek mythology, two sacred mountains are called Mount Ida, the ""Mountain of the Goddess"": Mount Ida in Crete; and Mount Ida in the ancient Troad region of western Anatolia (in modern-day Turkey) which was also known as the ""Phrygian Ida"" in classical antiquity and is the mountain that is mentioned in the Iliad of Homer and the Aeneid of Virgil. [Rhea (mythology)] Rhea ( ; Greek: Ῥέα , ] ) is a character in Greek mythology, the Titaness daughter of the earth goddess Gaia and the sky god Uranus, and sister and wife to Cronus. [Amari Valley] The Amari Valley is a fertile valley on the foothills of Mount Ida and Mount Kedros in Crete.","[Rhea] Rhea (; born 1977) is a Mexican actress and model. [Amari Valley] The Amari Valley is a valley in the north of the island of Madagascar. [Mythology] Mythology is a collection of religious or legends, often based on cultural or ethnic folklore, that are passed down from generation to generation through oral retelling or written works.",3,SUPPORTS,"Rhea (mythology), Amari Valley, Mount Ida",0.26771653077066165,0.3617021276595745,0.2125,0.09876542765432118,0.14814814814814814,0.07407407407407407,0.22047243628247265,0.2978723404255319,0.175
"[Massimo Giordano] Massimo Giordano (born 19 February 1971) is an Italian-born operatic tenor who is known for his bel canto repertoire. [Massimo Giordano] Giordano was born in Pompei, Italy into an Italian working-class family. [Pompei] Pompei (] ) is a city and ""comune"" in the Metropolitan City of Naples in Italy, home of the ancient Roman ruins part of the UNESCO World Heritage Sites. [Marcello Giordani] (He is not to be confused with another Italian tenor, Massimo Giordano, who toured with Anna Netrebko in 2009.)","[Marcello Giordani] Marcello Giordani (born July 27, 1960) is an Italian operatic tenor. [Another Italian tenor] Another Italian tenor (born in the Metropolitan City of Naples) is Placido Domingo.",3,SUPPORTS,"Pompei, Massimo Giordano, Marcello Giordani",0.2857142818306968,0.5416666666666666,0.19402985074626866,0.14414414037172318,0.2857142857142857,0.0963855421686747,0.2857142818306968,0.5416666666666666,0.19402985074626866
"[Denzel Washington] Denzel Hayes Washington Jr. (born December 28, 1954) is an American actor, director, and producer. [David Hewlett] David Ian Hewlett (born 18 April 1968) is an English-born Canadian actor, writer, director, and voice actor best known for his role as Dr. Rodney McKay on the Canadian-American science fiction TV shows ""Stargate SG-1"", ""Stargate Atlantis"" and ""Stargate Universe"". [Herman Boone] Herman Ike Boone (born October 28, 1935) is a former American high school football coach, most famous for coaching the 1971 T. C. Williams High School football team to a 13-0 season, state championship, and national championship runner-up; the basis for the 2000 film ""Remember the Titans"" where Boone was portrayed by Denzel Washington.","[Herman Boone] Herman Boone is a fictional character in the 2000 film Remember the Titans. [David Hewlett] David Hewlett (born 1961) is a Canadian actor, writer, and director. He is known for his role as Dr. Rodney McKay on the Stargate Atlantis television series.",3,SUPPORTS,"David Hewlett, Denzel Washington, Herman Boone",0.41860464694429417,0.6923076923076923,0.3,0.24675324278630467,0.4523809523809524,0.16964285714285715,0.41860464694429417,0.6923076923076923,0.3
"[43d Air Mobility Operations Group] The 43d Air Mobility Operations Group is an active duty air mobility unit at Pope Field, Fort Bragg, North Carolina (formerly Pope AFB), and is part of the Air Mobility Command (AMC) USAF Expeditionary Center. [Fort Bragg] Fort Bragg, North Carolina, is a military installation of the United States Army and is the largest military installation in the world (by population) with more than 50,000 active duty personnel. [43d Aeromedical Evacuation Squadron] It is part of the 43d Air Mobility Operations Group at Pope Army Air Field, North Carolina.","[43d Aeromedical Evacuation Squadron] The 43d Aeromedical Evacuation Squadron is a unit of the United States Air Force, assigned to the 43d Operations Group at Pope Air Force Base, North Carolina. [Fort Bragg] Fort Bragg is a U.S. Army post located in Cumberland County, North Carolina, United States. It is home to the U.S. Army Airborne and Special Operations Command (ABN &amp; SOC), and is the largest military installation in the world in terms of population.",3,SUPPORTS,"Fort Bragg, 43d Aeromedical Evacuation Squadron, 43d Air Mobility Operations Group",0.599999995001653,0.6111111111111112,0.5892857142857143,0.34246574842841065,0.352112676056338,0.3333333333333333,0.5636363586380165,0.5740740740740741,0.5535714285714286
"[Len Reynolds (politician)] In 1958, he was selected as the Labor candidate for the seat of Barton, which party leader H. V. Evatt was leaving as it was perceived to be too marginal. [Division of Barton] The Division of Barton is an Australian electoral division in the state of New South Wales. [Division of Barton] The division was created in 1922 and is named for Sir Edmund Barton, the first Prime Minister of Australia. [Bill Arthur] However, in 1966 he defeated Labor member Len Reynolds and was elected for the Liberal Party.","[Bill Arthur] Bill Arthur ( ; 20 December 1935 – 27 April 2019) was an Australian politician who served as a member of the Australian House of Representatives from 1980 to 1990, representing the Division of Gellibrand in Melbourne, Victoria. [Labor candidate] A Labor candidate is a candidate for election to a political office, particularly in Australia, who is supported by the Australian Labor Party. [Division created in 1922] The Division of Gellibrand was created in 1922, as one of the original 65 divisions contemplated by the Commonwealth Electoral Act 1918.",3,SUPPORTS,"Bill Arthur, Len Reynolds (politician), Division of Barton",0.31007751438014547,0.3076923076923077,0.3125,0.0935672464635275,0.09523809523809523,0.09195402298850575,0.29457363841115325,0.2923076923076923,0.296875
